"dendlabs","prey_class","prey_order","prey_family","prey_sp","prey_age_reported_1","life_stage","vert_habitat","horz_habitat","diel_migrant_cat","season_cat","gregarious","prob.clust.num"
"120","Cephalopoda","Octopoda","Octopodidae","Pteroctopus tetracirrhus","juvenile","juvenile","benthic","continental shelf","diel (yes)","season (yes)","solitary",3
"121","Actinopterygii","Tetraodontiformes","Molidae","Ranzania laevis","none","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","solitary",5
"122","Actinopterygii","Perciformes","Gobiidae","Rhinogobiops nicholsii","none","adult","benthic","continental shelf","diel (no)","season (yes)","schooling",4
"123","Actinopterygii","Clupeiformes","Clupeidae","Sardina pilchardus","none","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling",3
"124","Actinopterygii","Clupeiformes","Clupeidae","Sardinella aurita","none","juvenile","epipelagic","coastal","diel (yes)","season (no)","schooling",7
"125","Actinopterygii","Clupeiformes","Clupeidae","Sardinops sagax","juvenile","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling",3
"126","Cephalopoda","Octopoda","Octopodidae","Scaeurgus unicirrhus","juvenile","juvenile","benthic","continental shelf","diel (yes)","season (yes)","schooling",3
"127","Actinopterygii","Perciformes","Scombridae","Scomber japonicus","none","juvenile","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",3
"128","Actinopterygii","Perciformes","Scombridae","Scomber scombrus","none","juvenile","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",3
"129","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes diploproa","juvenile","juvenile","demersal","continental shelf","diel (no)","season (yes)","schooling",4
"130","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes proriger","juvenile","juvenile","epipelagic","continental shelf","diel (no)","season (no)","schooling",6
"131","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes zacentrus","juvenile","juvenile","demersal","continental shelf","diel (yes)","season (no)","schooling",6
"132","Cephalopoda","Sepiida","Sepiolidae","Sepietta oweniana","none","adult","benthic","continental shelf","diel (yes)","season (yes)","schooling",3
"133","Actinopterygii","Perciformes","Sparidae","Spondyliosoma cantharus","none","juvenile","epipelagic","coastal","diel (no)","season (no)","schooling",7
"134","Actinopterygii","Stomiiformes","Sternoptychidae","Sternoptyx diaphana","none","adult","mesopelagic","oceanic","diel (no)","season (no)","solitary",1
"135","Actinopterygii","Stomiiformes","Sternoptychidae","Sternoptyx obscura","adult","adult","mesopelagic","oceanic","diel (yes)","season (no)","solitary",1
"136","Cephalopoda","Oegopsida","Ommastrephidae","Sthenoteuthis oualaniensis","none","juvenile","mesopelagic","oceanic","diel (no)","season (yes)","schooling",4
"137","Malacostraca","Amphipoda","Oxyccephalidae","Streetsia challengeri","none","adult","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",3
"138","Malacostraca","Euphausiacea","Euphausiidae","Stylocheiron abbreviatum","none","adult","epipelagic","coastal","diel (no)","season (yes)","schooling",4
"139","Actinopterygii","Myctophiformes","Myctophidae","Symbolophorus barnardi","none","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",1
"140","Actinopterygii","Myctophiformes","Myctophidae","Symbolophorus evermanni","none","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",1
"141","Malacostraca","Decapoda","Oplophpridae","Systellaspis debilis","none","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",1
"142","Actinopterygii","Perciformes","Tetragonuridae","Tetragonurus atlanticus","none","juvenile","epipelagic","oceanic","diel (no)","season (no)","schooling",7
"143","Actinopterygii","Perciformes","Tetragonuridae","Tetragonurus cuvieri","none","juvenile","epipelagic","oceanic","diel (no)","season (no)","schooling",7
"144","Actinopterygii","Osmeriformes","Osmeridae","Thaleichthys pacificus","none","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling",3
"145","Malacostraca","Amphipoda","Hyperiidae","Themisto gaudichaudii","none","adult","epipelagic","oceanic","diel (yes)","season (yes)","schooling",1
"146","Cephalopoda","Oegopsida","Ommastrephidae","Todarodes pacificus","none","juvenile","demersal","continental shelf","diel (yes)","season (yes)","schooling",3
"147","Cephalopoda","Oegopsida","Ommastrephidae","Todarodes sagittatus","juvenile","juvenile","demersal","continental shelf","diel (yes)","season (yes)","schooling",3
"148","Cephalopoda","Oegopsida","Ommastrephidae","Todaropsis eblanae","none","juvenile","demersal","continental shelf","diel (yes)","season (yes)","schooling",3
"149","Actinopterygii","Perciformes","Carangidae","Trachinotus ovatus","none","juvenile","epipelagic","coastal","diel (no)","season (yes)","schooling",4
"150","Actinopterygii","Perciformes","Carangidae","Trachurus japonicus","none","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling",3
"151","Actinopterygii","Perciformes","Carangidae","Trachurus symmetricus","juvenile","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","schooling",5
"152","Actinopterygii","Perciformes","Carangidae","Trachurus trachurus","none","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling",3
"153","Actinopterygii","Myctophiformes","Myctophidae","Triphoturus mexicanus","none","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",1
"154","Cephalopoda","Vampyromorpha","Vampyroteuthidae","Vampyroteuthis infernalis","none","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","solitary",5
"155","Malacostraca","Amphipoda","Vibiliidae","Vibilia gibbosa","none","adult","epipelagic","continental shelf","diel (yes)","season (no)","schooling",2
"156","Actinopterygii","Stomiiformes","Phosichthyidae","Vinciguerria lucetia","juvenile","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",5
