OceanBasinQ,StudyID,CiteYear,YearRange,YearEnd,LocatName,LocatSpan, LocatLatitude,LocatLongitude,pred_life
NE Pacific,Hart1948,1948,1946,1946,Washington Coast,"Washington Coast, large span",47.046499,-124.79124,juvenile
NE Pacific,Hart1948,1948,1947,1947,Deck Collection Washington Coast,"Washington Coast, large span",47.046499,-124.79124,juvenile
NE Pacific,Hart1948,1948,1947,1947,Washington Coast,"Washington Coast, large span",47.046499,-124.79124,juvenile
NE Pacific,Iversen1962,1962,1950–57,1957,NE Pacific,"Hawaii, Marquesas, CA-N to Mexico",15,-150,juvenile
NE Pacific,Jordan1880,1880,1880,1880,"C Cal, Santa Barbara Channel","C Cal, Santa Barbara Channel",34.345859,-119.723274,juvenile
NE Pacific,Madigan2015,2015,2008–10,2010,Mexico to California,"span Mexico to California, large study area",34.633208,-124.292542,juvenile
NE Pacific,McHugh1952,1952,1949,1949,"Mexico to USA, Baja to northern California",CA-N to Mexico,32.5,-121,juvenile
NE Pacific,Pinkas1971,1971,1968,1968,Central California (Region 2),Central California,35.28333333,-122,"juvenile, adult"
NE Pacific,Pinkas1971,1971,1968,1968,Oregon-Washington (Region 3),Oregon-Washington,45,-126,"juvenile, adult"
NE Pacific,Pinkas1971,1971,1968,1968,Southern California (Region 1),Southern California,32,-119.5,"juvenile, adult"
NE Pacific,Pinkas1971,1971,1969,1969,Oregon-Washington (Region 3),Oregon-Washington,45,-126,"juvenile, adult"
NE Pacific,Pinkas1971,1971,1969,1969,Southern California (Region 1),Southern California,32,-119.5,"juvenile, adult"
NW Atlantic,Logan2013,2013,2001–02,2002,North Atlantic,"Central & West North Atlantic, large, Longline sets extended from 35N to 43N in June–July, 2001and from 23N to 36N in May–June, 2002",29.5,-70,adult
NW Atlantic,Matthews1977,1977,1957–64,1964,NW Atlantic,"NW Atlantic, large span",38,-56,adult
NW Atlantic,Teffer2015,2015,2007–10,2010,Cape Cod and the Islands of Massachusetts,Cape Cod and the Islands of Massachusetts,41.475596,-70.285034,adult
NW Indian ,Romanov2020,2020,2001-2015,2015,Indian Monsoon Gyre Province,,-8,57,adult
NW Pacific,Watanabe-etal2004,2004,2001,2001,"central North Pacifc between 34°N and 45°N, and 151°E and 175°E","central North Pacifc between 34°N and 45°N, and 151°E and 175°E",40,163,juvenile
NW Pacific,Watanabe-etal2004,2004,2002,2002,"central North Pacifc between 34°N and 45°N, and 151°E and 175°E","central North Pacifc between 34°N and 45°N, and 151°E and 175°E",36,160,juvenile
SE Atlantic,Romanov2020,2020,2013-14,2014,"Atlantic Ocean off Cape Town, South Africa",,-35,18,adult
SE Atlantic,Romanov2020,2020,2013–14,2014,"Atlantic Ocean off Cape Town, South Africa",,-32,35,adult
SW Atlantic,DosSantos&Haimovici2002,2002,1980–1998,1998,Southern Brazil,Southern Brazil,-30,-47.035828,NA
SW Indian ,Romanov2020,2020,2003-14,2014,"Indian South Subtropical Gyre Province, Reunion Island",,-19,53,adult
SW Indian ,Romanov2020,2020,2003-14,2014,"Mozambique Channel, Madagascar",,-18,48,adult
SW Pacific,Williams2015,2015,2008,2008,New Zealand,SW New Zealand,-42.5,170,"juvenile, adult"
SW Pacific,Williams2015,2015,2009,2009,New Zealand,SW New Zealand,-42.5,170,"juvenile, adult"
SW Pacific,Williams2015,2015,2010,2010,New Caledonia,New Caledonia,-19,168,"juvenile, adult"
SW Pacific,Williams2015,2015,2010,2010,New Zealand,NE New Zealand,-40,178,"juvenile, adult"
SW Pacific,Williams2015,2015,2010,2010,New Zealand,NE New Zealand L,-40,178,"juvenile, adult"
SW Pacific,Williams2015,2015,2010,2010,New Zealand,NE New Zealand T,-40,178,"juvenile, adult"
SW Pacific,Williams2015,2015,2010,2010,Tonga,Tonga,-20,-175.093115,"juvenile, adult"
SW Pacific,Young2010,2010,2004–06,2006,"Eastern Australia, offshore, Eastern Tuna and Billfish fishery",samples span AFMA's Eastern Tuna and Billfish Fishery from the Coral Sea to Tasmania,-31,160,adult
SW Pacific,Young2010,2010,2004–06,2006,"Eastern Australia, offshore, Eastern Tuna and Billfish fishery",samples span AFMA's Eastern Tuna and Billfish Fishery from the Coral Sea to Tasmania,-30,160,"juvenile, adult"
