"StudyID","rep_ID","YearEnd","OceanBasin","OceanBasinQ","province","code","lat_cat","pred_life_adjust","OceanBasinUse"
"Goni2011","Goni2011_26","2006","Mediterranean","Mediterranean","Westerlies - Mediterranean Sea, Black Sea Province","MEDI","temperate","juvenile","Mediterranean"
"Goni2011","Goni2011_27","2008","Mediterranean","Mediterranean","Westerlies - Mediterranean Sea, Black Sea Province","MEDI","temperate","juvenile","Mediterranean"
"Goni2011","Goni2011_28","2005","N Atlantic","NE Atlantic","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","temperate","mixed","N Atlantic"
"Goni2011","Goni2011_29","2004","N Atlantic","NE Atlantic","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","temperate","mixed","N Atlantic"
"Goni2011","Goni2011_30","2005","N Atlantic","NE Atlantic","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","temperate","mixed","N Atlantic"
"Goni2011","Goni2011_31","2006","N Atlantic","NE Atlantic","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","temperate","mixed","N Atlantic"
"Goni2011","Goni2011_32","2005","N Atlantic","NE Atlantic","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","temperate","mixed","N Atlantic"
"Goni2011","Goni2011_33","2006","N Atlantic","NE Atlantic","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","temperate","mixed","N Atlantic"
"Goni2011","Goni2011_34","2006","N Atlantic","NE Atlantic","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","temperate","mixed","N Atlantic"
"Goni2011","Goni2011_35","2005","N Atlantic","NE Atlantic","Coastal - Canary Coastal Province (EACB)","CNRY","temperate","mixed","N Atlantic"
"Goni2011","Goni2011_36","2006","N Atlantic","NE Atlantic","Coastal - Canary Coastal Province (EACB)","CNRY","temperate","mixed","N Atlantic"
"Goni2011","Goni2011_37","2007","N Atlantic","NE Atlantic","Coastal - Canary Coastal Province (EACB)","CNRY","temperate","mixed","N Atlantic"
"Hart1948","Hart1948_38","1947","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","mixed","N Pacific"
"Hart1948","Hart1948_39","1941","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","mixed","N Pacific"
"Hart1948","Hart1948_40","1946","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","mixed","N Pacific"
"Hart1948","Hart1948_41","1941","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","mixed","N Pacific"
"Hart1948","Hart1948_42","1945","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","mixed","N Pacific"
"Hart1948","Hart1948_43","1946","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","mixed","N Pacific"
"Hart1948","Hart1948_44","1947","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","mixed","N Pacific"
"Iversen1962","Iversen1962_45","1957","N Pacific","NE Pacific","Trades - N. Pacific Tropical Gyre Province","NPTG","tropical","juvenile","N Pacific"
"Jordan1880","Jordan1880_46","1880","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","mixed","N Pacific"
"Joubin1918","Joubin1918_47","1918","N Atlantic","NE Atlantic","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","temperate","mixed","N Atlantic"
"Madigan2015","Madigan2015_48","2010","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile","N Pacific"
"Matthews1977","Matthews1977_49","1964","N Atlantic","NW Atlantic","Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)","NASW","temperate","adult","N Atlantic"
"McHugh1952","McHugh1952_50","1949","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","mixed","N Pacific"
"Monaco1888","Monaco1888_51","1888","Mediterranean","Mediterranean","Westerlies - Mediterranean Sea, Black Sea Province","MEDI","temperate","adult","Mediterranean"
"OrtizZarate1987","OrtizZarate1987_52","1968","N Atlantic","NE Atlantic","Coastal - NE Atlantic Shelves Province","NECS","temperate","juvenile","N Atlantic"
"Pinkas1971","Pinkas1971_53","1968","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile","N Pacific"
"Pinkas1971","Pinkas1971_54","1968","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile","N Pacific"
"Pinkas1971","Pinkas1971_55","1969","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile","N Pacific"
"Pinkas1971","Pinkas1971_56","1968","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile","N Pacific"
"Pinkas1971","Pinkas1971_57","1969","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile","N Pacific"
