"prey_class","prey_order","prey_family","prey_sp","vert_habitat","horz_habitat","diel_migrant","diel_migrant_cat","refuge","refuge_cat","season_migrant","season_cat","body_shape","l_max","phys_defense","transparent","col_disrupt","silver","countershade","gregarious_primary","trophic_level","fisheries_status"
"Hydrozoa","Siphonophorae","Diphyidae","Chelophyes appendiculata","epipelagic","continental shelf","1.0","diel_yes","0.0","refuge_no","1.0","season_yes","fusiform",0.2,1,"1.0","0.0","0.0","0.0","schooling","NA","none"
"Malacostraca","Decapoda","Acanthephyridae","Acanthephyra pelagica","mesopelagic","oceanic","1.0","diel_yes","0.0","refuge_no","1.0","season_yes","elongated",27,1,"0.0","0.0","0.0","0.0","schooling","NA","none"
"Malacostraca","Decapoda","Oplophpridae","Systellaspis debilis","mesopelagic","oceanic","1.0","diel_yes","0.0","refuge_no","1.0","season_yes","elongated",1.7,1,"0.0","0.0","0.0","0.0","schooling","3.32","none"
"Malacostraca","Decapoda","Polybiidae","Polybius henslowii","epipelagic","continental shelf","NA","diel_UN","1.0","refuge_yes","0.0","season_no","depressiform",4.4,1,"0.0","1.0","0.0","0.0","shoaling","3.46","none"
"Actinopterygii","Perciformes","Scombridae","Katsuwonus pelamis","epipelagic","oceanic","1.0","diel_yes","0.0","refuge_no","1.0","season_yes","fusiform",110,1,"0.0","1.0","1.0","1.0","schooling","4.43","highly commercial"
"Actinopterygii","Perciformes","Scombridae","Scomber scombrus","epipelagic","continental shelf","1.0","diel_yes","0.0","refuge_no","1.0","season_yes","fusiform",60,1,"0.0","1.0","1.0","1.0","schooling","3.63","highly commercial"
"Cephalopoda","Oegopsida","Onychoteuthidae","Onychoteuthis borealijaponica","epipelagic","oceanic","1.0","diel_yes","0.0","refuge_no","1.0","season_yes","fusiform",37,0,"0.0","1.0","0.0","0.0","schooling","4.5","commercial"
"Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis felis","mesopelagic","oceanic","1.0","diel_yes","0.0","refuge_no","NA","season_NA","fusiform",8,0,"1.0","1.0","0.0","0.0","NA","NA","none"
"Cephalopoda","Oegopsida","Ommastrephidae","Ornithoteuthis volatilis","mesopelagic","oceanic","1.0","diel_yes","0.0","refuge_no","1.0","season_yes","fusiform",31,0,"0.0","1.0","0.0","0.0","schooling","3.67","potential"
"Cephalopoda","Oegopsida","Ommastrephidae","Hyaloteuthis pelagica","mesopelagic","oceanic","1.0","diel_yes","0.0","refuge_no","0.0","season_no","fusiform",9,0,"0.0","1.0","0.0","0.0","schooling","3.8","none"
