"","StudyID","rep_ID","YearEnd","OceanBasin","prob.clust.num","clustFO","totalFO","relFO","yearrepID"
"46","Bouxin&Legendre","Bouxin&Legendre_9",1932,"N Atlantic","4",8.57142857142858,1276.8253968254,0.00671307807061164,"1932_Bouxin&Legendre_9"
"47","Bouxin&Legendre","Bouxin&Legendre_9",1932,"N Atlantic","5",266.613756613757,1276.8253968254,0.20880987899884,"1932_Bouxin&Legendre_9"
"48","Bouxin&Legendre","Bouxin&Legendre_9",1932,"N Atlantic","6",351.322751322751,1276.8253968254,0.275153323388032,"1932_Bouxin&Legendre_9"
"49","Bouxin&Legendre","Bouxin&Legendre_9",1932,"N Atlantic","7",128.571428571429,1276.8253968254,0.100696171059175,"1932_Bouxin&Legendre_9"
"50","Bouxin&Legendre","Bouxin&Legendre_9",1932,"N Atlantic",NA,11.4285714285714,1276.8253968254,0.00895077076081551,"1932_Bouxin&Legendre_9"
"51","Consoli2008","Consoli2008_18",2006,"Mediterranean","1",2.5862068965,18.965517241,0.136363636363636,"2006_Consoli2008_18"
"52","Consoli2008","Consoli2008_18",2006,"Mediterranean","2",0.8620689655,18.965517241,0.0454545454545454,"2006_Consoli2008_18"
"53","Consoli2008","Consoli2008_18",2006,"Mediterranean","5",2.5862068965,18.965517241,0.136363636363636,"2006_Consoli2008_18"
"54","Consoli2008","Consoli2008_18",2006,"Mediterranean","6",9.4827586205,18.965517241,0.5,"2006_Consoli2008_18"
"55","Consoli2008","Consoli2008_18",2006,"Mediterranean","7",3.448275862,18.965517241,0.181818181818182,"2006_Consoli2008_18"
"56","DosSantos&Haimovici2002","DosSantos&Haimovici2002_19",1998,"S Atlantic","2",12,88,0.136363636363636,"1998_DosSantos&Haimovici2002_19"
"57","DosSantos&Haimovici2002","DosSantos&Haimovici2002_19",1998,"S Atlantic","3",20,88,0.227272727272727,"1998_DosSantos&Haimovici2002_19"
"58","DosSantos&Haimovici2002","DosSantos&Haimovici2002_19",1998,"S Atlantic","5",15,88,0.170454545454545,"1998_DosSantos&Haimovici2002_19"
"59","DosSantos&Haimovici2002","DosSantos&Haimovici2002_19",1998,"S Atlantic","6",12,88,0.136363636363636,"1998_DosSantos&Haimovici2002_19"
"60","DosSantos&Haimovici2002","DosSantos&Haimovici2002_19",1998,"S Atlantic","7",29,88,0.329545454545455,"1998_DosSantos&Haimovici2002_19"
"61","Glaser2015","Glaser2015_20",2006,"N Pacific","2",12,177,0.0677966101694915,"2006_Glaser2015_20"
"62","Glaser2015","Glaser2015_20",2006,"N Pacific","3",22,177,0.124293785310734,"2006_Glaser2015_20"
"63","Glaser2015","Glaser2015_20",2006,"N Pacific","4",2,177,0.0112994350282486,"2006_Glaser2015_20"
"64","Glaser2015","Glaser2015_20",2006,"N Pacific","5",104,177,0.587570621468927,"2006_Glaser2015_20"
"65","Glaser2015","Glaser2015_20",2006,"N Pacific","6",30,177,0.169491525423729,"2006_Glaser2015_20"
"66","Glaser2015","Glaser2015_20",2006,"N Pacific",NA,7,177,0.0395480225988701,"2006_Glaser2015_20"
"67","Goni2011","Goni2011_21",2005,"Mediterranean","5",29.2,141.7,0.206069160197601,"2005_Goni2011_21"
"68","Goni2011","Goni2011_21",2005,"Mediterranean","6",112.5,141.7,0.7939308398024,"2005_Goni2011_21"
"69","Goni2011","Goni2011_22",2006,"Mediterranean","6",116.5,129,0.903100775193798,"2006_Goni2011_22"
"70","Goni2011","Goni2011_22",2006,"Mediterranean","7",12.5,129,0.0968992248062016,"2006_Goni2011_22"
"71","Goni2011","Goni2011_23",2008,"Mediterranean","6",44.7,51.6,0.866279069767442,"2008_Goni2011_23"
"72","Goni2011","Goni2011_23",2008,"Mediterranean","7",6.9,51.6,0.133720930232558,"2008_Goni2011_23"
"73","Goni2011","Goni2011_24",2005,"N Atlantic","3",56.5,165.1,0.34221683827983,"2005_Goni2011_24"
"74","Goni2011","Goni2011_24",2005,"N Atlantic","5",54.3,165.1,0.328891580860085,"2005_Goni2011_24"
"75","Goni2011","Goni2011_24",2005,"N Atlantic","6",54.3,165.1,0.328891580860085,"2005_Goni2011_24"
"76","Goni2011","Goni2011_25",2004,"N Atlantic","2",15.8,131.6,0.120060790273556,"2004_Goni2011_25"
"77","Goni2011","Goni2011_25",2004,"N Atlantic","3",26.3,131.6,0.199848024316109,"2004_Goni2011_25"
"78","Goni2011","Goni2011_25",2004,"N Atlantic","5",15.8,131.6,0.120060790273556,"2004_Goni2011_25"
"79","Goni2011","Goni2011_25",2004,"N Atlantic","6",73.7,131.6,0.560030395136778,"2004_Goni2011_25"
"80","Goni2011","Goni2011_26",2005,"N Atlantic","3",42.8,114.2,0.374781085814361,"2005_Goni2011_26"
"81","Goni2011","Goni2011_26",2005,"N Atlantic","5",57.1,114.2,0.5,"2005_Goni2011_26"
"82","Goni2011","Goni2011_26",2005,"N Atlantic","6",14.3,114.2,0.125218914185639,"2005_Goni2011_26"
"83","Goni2011","Goni2011_27",2006,"N Atlantic","3",64.1,110.3,0.581142339075249,"2006_Goni2011_27"
"84","Goni2011","Goni2011_27",2006,"N Atlantic","5",30.8,110.3,0.2792384406165,"2006_Goni2011_27"
"85","Goni2011","Goni2011_27",2006,"N Atlantic","6",15.4,110.3,0.13961922030825,"2006_Goni2011_27"
"86","Goni2011","Goni2011_28",2005,"N Atlantic","2",17.2,117,0.147008547008547,"2005_Goni2011_28"
"87","Goni2011","Goni2011_28",2005,"N Atlantic","3",6.8,117,0.0581196581196581,"2005_Goni2011_28"
"88","Goni2011","Goni2011_28",2005,"N Atlantic","5",27.5,117,0.235042735042735,"2005_Goni2011_28"
"89","Goni2011","Goni2011_28",2005,"N Atlantic","6",65.5,117,0.55982905982906,"2005_Goni2011_28"
"90","Goni2011","Goni2011_29",2006,"N Atlantic","2",10.2,130.9,0.0779220779220779,"2006_Goni2011_29"
"91","Goni2011","Goni2011_29",2006,"N Atlantic","5",24.1,130.9,0.184110007639419,"2006_Goni2011_29"
"92","Goni2011","Goni2011_29",2006,"N Atlantic","6",96.6,130.9,0.737967914438503,"2006_Goni2011_29"
"93","Goni2011","Goni2011_30",2006,"N Atlantic","3",17.6,123.5,0.14251012145749,"2006_Goni2011_30"
