"StudyID","CiteYear","OceanBasin","OceanBasinQ","LocatName","LocatLatitude","LocatLongitude","YearEnd","MonthRange","stomachs_used","pred_life","pred_flmean","pred_flmin","pred_flmax","pred_flmean_est","pred_flest"
"Goni2011","2011.0","N Atlantic","NE Atlantic","Bay of Biscay (Zone 5)",44,-2.7,2005,"Jun–Oct","186","juvenile, adult",63.2,39.6,112,"Measured: study reported","Measured: study reported"
"Goni2011","2011.0","N Atlantic","NE Atlantic","Bay of Biscay (Zone 5)",44,-2.7,2006,"Jun–Oct","58","juvenile, adult",61.1,39.6,112,"Measured: study reported","Measured: study reported"
"Goni2011","2011.0","N Atlantic","NE Atlantic","Bay of Biscay (Zone 5)",44,-2.7,2007,"Aug–Oct","31","juvenile, adult",61.1,39.6,112,"Measured: study reported","Measured: study reported"
"Hart1948","1948.0","N Pacific","NE Pacific","Vancouver Island",49.117928,-127.546089,1941,NA,"214","juvenile",68.4,37,105,"Estimated: by meta-analysis","Estimated: by meta-analysis"
"Hart1948","1948.0","N Pacific","NE Pacific","Washington Coast",47.046499,-124.79124,1941,NA,"196","juvenile",68.4,37,105,"Estimated: by meta-analysis","Estimated: by meta-analysis"
"Hart1948","1948.0","N Pacific","NE Pacific","Washington Coast",47.046499,-124.79124,1945,NA,"45","juvenile",68.4,37,105,"Estimated: by meta-analysis","Estimated: by meta-analysis"
"Hart1948","1948.0","N Pacific","NE Pacific","Vancouver Island",49.117928,-127.546089,1946,NA,"3","juvenile",68.4,37,105,"Estimated: by meta-analysis","Estimated: by meta-analysis"
"Hart1948","1948.0","N Pacific","NE Pacific","Washington Coast",47.046499,-124.79124,1946,NA,"222","juvenile",68.4,37,105,"Estimated: by meta-analysis","Estimated: by meta-analysis"
"Hart1948","1948.0","N Pacific","NE Pacific","Washington Coast",47.046499,-124.79124,1947,NA,"88","juvenile",68.4,37,105,"Estimated: by meta-analysis","Estimated: by meta-analysis"
"Iversen1962","1962.0","N Pacific","NE Pacific","Central NE Pacific",15,-150,1957,"Year-round","348","juvenile",67,50,85,"Measured: study reported","Measured: study reported"
"Jordan1880","1880.0","N Pacific","NE Pacific","Central CA, Santa Barbara Channel",34.345859,-119.723274,1880,NA,"1","juvenile",68.4,37,105,"Estimated: by meta-analysis","Estimated: by meta-analysis"
"Joubin1918","1918.0","N Atlantic","NE Atlantic","Golfe de Gascogne",46.307336,-12.25,1918,NA,"not reported","juvenile, adult",72.9,40,110,"Estimated: by meta-analysis","Estimated: by meta-analysis"
"Madigan2015","2015.0","N Pacific","NE Pacific","Mexico to California",34.633208,-124.292542,2010,"Jul–Oct","86","juvenile",75.6,54,99,"Estimated: by meta-analysis","Estimated: by meta-analysis"
"Matthews1977","1977.0","N Atlantic","NW Atlantic","NW Atlantic",38,-56,1964,NA,"38","adult",101,96,106,"Measured: study reported","Measured: study reported"
"McHugh1952","1952.0","N Pacific","NE Pacific","Baja to northern CA",32.5,-121,1949,"Jun & Oct","301","juvenile",68.4,37,105,"Estimated: by meta-analysis","Estimated: by meta-analysis"
"Monaco1888","1888.0","Mediterranean","Mediterranean","Mediterranean",34.061761,19.209595,1888,"Sep","not reported","juvenile, adult",63.4875,40,110,"Estimated: by meta-analysis","Estimated: by meta-analysis"
"OrtizZarate1987","1987.0","N Atlantic","NE Atlantic","Bay of Biscay",46.986108,-5.407589,1968,NA,"97","juvenile",72.9,52,90,"Estimated: by meta-analysis","Measured: study reported"
"Pinkas1971","1971.0","N Pacific","NE Pacific","Central California (Region 2)",35.283333333,-122,1968,"Jul–Nov","286","juvenile",68.4,52.2,93.2,"Estimated: by meta-analysis","Measured: study reported"
"Pinkas1971","1971.0","N Pacific","NE Pacific","Oregon-Washington (Region 3)",45,-126,1968,"Jul–Nov","177","juvenile",68.4,52.2,93.2,"Estimated: by meta-analysis","Measured: study reported"
"Pinkas1971","1971.0","N Pacific","NE Pacific","Southern California (Region 1)",32,-119.5,1969,"Jul–Sep","200","juvenile",68.4,52.2,93.2,"Estimated: by meta-analysis","Measured: study reported"
"Pinkas1971","1971.0","N Pacific","NE Pacific","Southern California (Region 1)",32,-119.5,1968,"Jul–Nov","222","juvenile",68.4,52.2,93.2,"Estimated: by meta-analysis","Measured: study reported"
"Pinkas1971","1971.0","N Pacific","NE Pacific","Oregon-Washington (Region 3)",45,-126,1969,"Jul–Sep","20","juvenile",68.4,52.2,93.2,"Estimated: by meta-analysis","Measured: study reported"
"Pusineri2005","2005.0","N Atlantic","NE Atlantic","Bay of Biscay",45,-17.5,1993,"Jun–Sep","27","juvenile",72.9,53,93,"Estimated: by meta-analysis","Measured: study reported"
"Romanov2020","2020.0","Indian","SW Indian","Indian South Subtropical Gyre Province, Reunion Island",-19,53,2014,"Multi-month","184","juvenile, adult",95.5,67,119,"Measured: study reported","Measured: study reported"
"Romanov2020","2020.0","Indian","SW Indian","Mozambique Channel, Madagascar",-15.5,42.76,2014,"Multi-month","63","juvenile, adult",95.5,67,119,"Measured: study reported","Measured: study reported"
"Romanov2020","2020.0","S Atlantic","SE Atlantic","Atlantic Ocean off Cape Town, South Africa",-35,18,2014,"Multi-month","290","juvenile, adult",95.5,67,119,"Measured: study reported","Measured: study reported"
"Romanov2020","2020.0","Indian","NW Indian","Indian Monsoon Gyre Province",-8,57,2015,"Multi-month","150","juvenile, adult",95.5,67,119,"Measured: study reported","Measured: study reported"
"Romeo2012","2012.0","Mediterranean","Mediterranean","S. Tyrrhenian sea and Strait of Messina",38.6,15,2008,NA,"not reported","juvenile",72.84,48,91,"Estimated: by meta-analysis","Measured: study reported"
"Salman&Karakulak2009","2009.0","Mediterranean","Mediterranean","Antalya Bay (Levantine Sea)",36.5,31.5,2007,"May-July","61","juvenile",73.9,64,91,"Measured: study reported","Measured: study reported"
"Watanabe2004","2004.0","N Pacific","NW Pacific","central North Pacifc between 34°N and 45°N, and 151°E and 175°E",40,163,2001,"September","14","juvenile",54.763,51.7,56.4,"Estimated: by meta-analysis","Measured: study reported"
"Watanabe2004","2004.0","N Pacific","NW Pacific","central North Pacifc between 34°N and 45°N, and 151°E and 175°E",36,160,2002,"July","46","juvenile",64.006,48.9,76.2,"Estimated: by meta-analysis","Measured: study reported"
"Watanabe2004","2004.0","N Pacific","NW Pacific","central North Pacifc between 34°N and 45°N, and 151°E and 175°E",36,160,2002,"May-June","64","juvenile",64.006,50.5,75.8,"Estimated: by meta-analysis","Measured: study reported"
"Williams2015","2015.0","S Pacific","SW Pacific","New Caledonia (NC_L_2010)",-19,168,2010,"Feb–Oct","342","juvenile, adult",90.13,73,106,"Estimated: by meta-analysis","Measured: study reported"
"Williams2015","2015.0","S Pacific","SW Pacific","SW New Zealand (NZ_T_2008)",-42.5,170,2008,"Jan–Apr","152","juvenile",64.006,43,86,"Estimated: by meta-analysis","Measured: study reported"
"Williams2015","2015.0","S Pacific","SW Pacific","SW New Zealand (NZ_T_2009)",-42.5,170,2009,"Jan–Mar","61","juvenile",74.248,43,90,"Estimated: by meta-analysis","Measured: study reported"
"Williams2015","2015.0","S Pacific","SW Pacific","NE New Zealand (NZ_T_2010)",-40,178,2010,"Apr–May","11","juvenile, adult",84.409,69,95,"Estimated: by meta-analysis","Measured: study reported"
"Williams2015","2015.0","S Pacific","SW Pacific","Tonga (TO_L_2010)",-20,-175.093115,2010,"Jun–Jul","42","juvenile, adult",90.13,76,105,"Estimated: by meta-analysis","Measured: study reported"
"Young2010","2010.0","S Pacific","SW Pacific","Eastern Australia, offshore, Eastern Tuna and Billfish fishery",-31,160,2006,"Year-round","10","adult",90.5,100,113,"Measured: study reported","Measured: study reported"
"Young2010","2010.0","S Pacific","SW Pacific","Eastern Australia, offshore, Eastern Tuna and Billfish fishery",-30,160,2006,"Year-round","36","juvenile, adult",90.5,63,100,"Measured: study reported","Measured: study reported"
