"StudyID","rep_ID","YearEnd","OceanBasin","OceanBasinQ","province","code","lat_cat","pred_life_adjust","Abraliopsis affinis","Abraliopsis felis","Abraliopsis gilchristi","Abraliopsis morisii","Alepisaurus ferox","Alloteuthis subulata","Anchylomera blossevillei","Ancistrocheirus lesueurii","Ancistroteuthis lichtensteinii","Antimora rostrata","Arctozenus risso","Argonauta argo","Argonauta nodosus","Ateleopus natalensis","Balistes punctatus","Belone belone","Benthosema glaciale","Beryx splendens","Brachyscelus crusculum","Bregmaceros mcclellandi","Capros aper","Cavolinia tridentata","Ceratias tentaculatus","Ceratoscopelus warmingii","Chiasmodon niger","Cololabis saira","Cubiceps capensis","Cubiceps pauciradiatus","Decapterus macrosoma","Diacria trispinosa","Diaphus effulgens","Diaphus lucidus","Diaphus perspicillatus","Diaphus theta","Diretmus argenteus","Doryteuthis opalescens","Dosidicus gigas","Electrona risso","Engraulis capensis","Engraulis encrasicolus","Engraulis japonicus","Engraulis mordax","Entelurus aequoreus","Eucleoteuthis luminosa","Funchalia taaningi","Funchalia woodwardi","Gempylus serpens","Gonatopsis borealis","Gonatus berryi","Gonatus pyros","Gonatus steenstrupi","Heterocarpus laevigatus","Heteroteuthis dispar","Histioteuthis reversa","Hyaloteuthis pelagica","Illex coindetii","Janicella spinicauda","Japetella diaphana","Japetella heathi","Lampadena luminosa","Lampanyctodes hectoris","Leptocotis tenuirostris","Lestidiops similis","Lestrolepis intermedia","Lycoteuthis lorigera","Lysiosquilla tredecimdentata","Macroramphosus scolopax","Magnisudis atlantica","Makaira mazara","Mastigoteuthis dentata","Maurolicus imperatorius","Maurolicus muelleri","Medialuna californiensis","Meganyctiphanes norvegica","Merluccius productus","Micromesistius poutassou","Myctophum asperum","Nansenia macrolepis","Natosquilla investigatoris","Nealotus tripes","Nematoscelis megalops","Neoanchisquilla tuberculata","Notoscopelus kroyeri","Nyctiphanes australis","Octopoteuthis rugosa","Octopoteuthis sicula","Octopus bimaculatus","Ocythoe tuberculata","Odontodactylus scyllarus","Ommastrephes bartramii","Omosudis lowii","Onychoteuthis banksii","Onychoteuthis borealijaponica","Onykia loennbergii","Onykia robusta","Oplophorus typus","Ornithoteuthis volatilis","Paralepis coregonoides","Paralepis speciosa","Parapronoe crustulum","Phrosina semilunata","Platyscelus ovoides","Platyscelus serratulus","Pleuroncodes planipes","Polybius henslowii","Primno macropa","Pterycombus petersii","Ranzania laevis","Rexea prometheoides","Salpa maxima","Sardina pilchardus","Sardinella aurita","Sardinops sagax","Scomber japonicus","Scomber scombrus","Scomberesox saurus","Scopelarchus analis","Scopelosaurus hoedti","Scyllarus arctus","Stenobrachius leucopsarus","Sthenoteuthis oualaniensis","Stigmatoteuthis dofleini","Stigmatoteuthis hoylei","Streetsia challengeri","Sudis hyalina","Symbolophorus barnardi","Themisto gaudichaudii","Thyrsitoides marleyi","Thysanoteuthis rhombus","Todarodes pacificus","Todarodes sagittatus","Todaropsis eblanae","Trachurus japonicus","Trachurus symmetricus","Trachurus trachurus","Tremoctopus gracilis","Triphoturus mexicanus","Vibilia gibbosa","Vinciguerria lucetia","Walvisteuthis rancureli"
"Goni2011","Goni2011_29",2006,"N Atlantic","NE Atlantic","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","temperate","mixed",0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.3,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0
"Goni2011","Goni2011_30",2006,"N Atlantic","NE Atlantic","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","temperate","mixed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.4,0,29.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Goni2011","Goni2011_31",2005,"N Atlantic","NE Atlantic","Coastal - Canary Coastal Province (EACB)","CNRY","temperate","mixed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.7,0,22.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.2,0,0,0,2.6,0,0,0,0,0,0,0,0.1,0,0,0,0.2,0,0,0,7.8,0,0,0,0,0
"Goni2011","Goni2011_32",2006,"N Atlantic","NE Atlantic","Coastal - Canary Coastal Province (EACB)","CNRY","temperate","mixed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0,68.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0.9,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0
"Goni2011","Goni2011_33",2007,"N Atlantic","NE Atlantic","Coastal - Canary Coastal Province (EACB)","CNRY","temperate","mixed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.9,0,57.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Madigan2015","Madigan2015_44",2010,"N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile",0.00609243441494352,2.13235204523023,0,0,0,0,0,0,0,0,0,0.000609243441494352,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00609243441494352,0,0,0,0,0,0,0,0,0,22.6638560235899,3.35083892821894,0,0,0,0,0.974789506390964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000609243441494352,0,0,0,0,0,0,0,0,0,0,0,0,0.609243441494352,0.182773032448306,0.000609243441494352,0,0,0,0,0.792016473942658,0,0,0,0,0,0,0,0,0,0,0.182773032448306,0,0,0,0,0,0,0,0,7.4327699862311,0.00609243441494352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.5378035555447,0,0,0.000609243441494352,0,0,0
"McHugh1952","McHugh1952_46",1949,"N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,0,0,0,0,4.95,0
"OrtizZarate1987","OrtizZarate1987_48",1968,"N Atlantic","NE Atlantic","Coastal - NE Atlantic Shelves Province","NECS","temperate","juvenile",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,19.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.4,0,0,0,0,0
"Romanov2020","Romanov2020_55",2014,"Indian","SW Indian","Trades - Indian S. Subtropical Gyre Province","ISSG","tropical","mixed",0,0,0,1.7,1,0,0,0.2,0,0,0,1.3,0,0.5,0.2,0,0,0.4,0,0,0,0,0.3,0,1.1,0,0.5,0,0.1,0.1,0,0.8,0.9,0,4.6,0,0,0.1,0,0,0,0,0,1.9,0.3,0,0.5,0,0,0,0,0,0,0,0,0,0.1,1.1,0,0.5,0,0,0.1,4.9,0,0.7,0,2.4,0.5,0,0,0,0,0,0,0,0.6,4.2,0,0.1,0,0.3,0,0,0,0,0,0,1.3,1.6,1.2,5.5,0,0.3,0,0.3,0.2,0,0,0,0,0.8,0,0,0,0,0.1,1.6,0.7,0.3,0,0,0,0,0,0.3,0.9,0.2,0,0,8.5,0.5,1.1,0,0,0,0,0.9,0.1,0,0,0,0,0,0,0.4,0,0,0,11.3
"Romanov2020","Romanov2020_56",2014,"Indian","SW Indian","Coastal - E. Africa Coastal Province","EAFR","tropical","mixed",0,0,0,3.4,0,0,0,0.1,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0.1,4.4,5,0,0.6,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0.1,0,0,0,0,0,2.1,0,0,0,0,0,1.8,0,0.2,0,2.2,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.4,0,0,0,0,0,0,2.4,1.6,0,0.9,0,0,0,0.2,1.4,0,0,0,0.1,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,4.4,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,1.5,0,0,0,3.5
