"StudyID","YearEnd","OceanBasin","prey_order","maxFO"
"Goni2011",2004,"N Atlantic","Myctophiformes",15.8
"Goni2011",2005,"Mediterranean","Amphipoda",33.3
"Goni2011",2005,"Mediterranean","Clupeiformes",29.2
"Goni2011",2005,"Mediterranean","Euphausiacea",75
"Goni2011",2005,"N Atlantic","Amphipoda",54.3
"Goni2011",2005,"N Atlantic","Beloniformes",35.7
"Goni2011",2005,"N Atlantic","Clupeiformes",21.8
"Goni2011",2005,"N Atlantic","Euphausiacea",65.5
"Goni2011",2005,"N Atlantic","Gadiformes",28.6
"Goni2011",2005,"N Atlantic","Myctophiformes",10.3
"Goni2011",2005,"N Atlantic","Syngnathiformes",21.7
"Goni2011",2006,"Mediterranean","Amphipoda",33.3
"Goni2011",2006,"Mediterranean","Euphausiacea",79
"Goni2011",2006,"N Atlantic","Beloniformes",20.5
"Goni2011",2006,"N Atlantic","Clupeiformes",12.1
"Goni2011",2006,"N Atlantic","Decapoda",20.7
"Goni2011",2006,"N Atlantic","Euphausiacea",89.7
"Goni2011",2006,"N Atlantic","Gadiformes",72.4
"Goni2011",2006,"N Atlantic","Syngnathiformes",41
"Goni2011",2007,"N Atlantic","Clupeiformes",12.5
"Goni2011",2007,"N Atlantic","Euphausiacea",56.3
"Goni2011",2007,"N Atlantic","Gadiformes",62.5
"Goni2011",2008,"Mediterranean","Amphipoda",27.6
"Goni2011",2008,"Mediterranean","Oegopsida",10.3
"Hart1948",1946,"N Pacific","Beloniformes",33.33333333
"Hart1948",1946,"N Pacific","Gadiformes",33.33333333
"Hart1948",1946,"N Pacific","Osmeriformes",33.33333333
"Hart1948",1946,"N Pacific","Perciformes",33.33333333
"Hart1948",1946,"N Pacific","Pleuronectiformes",33.33333333
"Hart1948",1946,"N Pacific","Scorpaeniformes",33.33333333
"Hart1948",1947,"N Pacific","Beloniformes",25
"Hart1948",1947,"N Pacific","Gadiformes",25
"Hart1948",1947,"N Pacific","Osmeriformes",25
"Hart1948",1947,"N Pacific","Perciformes",25
"Hart1948",1947,"N Pacific","Pleuronectiformes",25
"Hart1948",1947,"N Pacific","Scorpaeniformes",25
"Iversen1962",1957,"N Pacific","Beloniformes",10.9
"Jordan1880",1880,"N Pacific","Gadiformes",100
"Jordan1880",1880,"N Pacific","Myctophiformes",100
"Madigan2015",2010,"N Pacific","Clupeiformes",29.0697674418605
"Madigan2015",2010,"N Pacific","Octopoda",11.6279069767442
"Madigan2015",2010,"N Pacific","Oegopsida",12.7906976744186
"Madigan2015",2010,"N Pacific","Perciformes",40.6976744186046
"Matthews1977",1964,"N Atlantic","Amphipoda",65
"McHugh1952",1949,"N Pacific","Beloniformes",54.35
"McHugh1952",1949,"N Pacific","Clupeiformes",12.75
"McHugh1952",1949,"N Pacific","Decapoda",27.75
"McHugh1952",1949,"N Pacific","Gadiformes",15.15
"McHugh1952",1949,"N Pacific","Stomiiformes",20.1
"OrtizZarate1987",1968,"N Atlantic","Beloniformes",26
"OrtizZarate1987",1968,"N Atlantic","Gadiformes",12
"OrtizZarate1987",1968,"N Atlantic","Perciformes",43
"OrtizZarate1987",1968,"N Atlantic","Stomiiformes",12
"Pinkas1971",1968,"N Pacific","Beloniformes",42.8
"Pinkas1971",1968,"N Pacific","Clupeiformes",26.5
"Pinkas1971",1968,"N Pacific","Decapoda",45
"Pinkas1971",1968,"N Pacific","Euphausiacea",38.9
"Pinkas1971",1968,"N Pacific","Myctophiformes",16.7
"Pinkas1971",1968,"N Pacific","Myopsida",13.4
"Pinkas1971",1968,"N Pacific","Octopoda",15.9
"Pinkas1971",1968,"N Pacific","Oegopsida",58.5
"Pinkas1971",1969,"N Pacific","Beloniformes",45.5
"Pinkas1971",1969,"N Pacific","Clupeiformes",23.5
"Pinkas1971",1969,"N Pacific","Decapoda",23.1
"Pinkas1971",1969,"N Pacific","Euphausiacea",19.8
"Pinkas1971",1969,"N Pacific","Myopsida",10.2
"Pinkas1971",1969,"N Pacific","Oegopsida",44.9
"Pusineri2005",1993,"N Atlantic","Amphipoda",18
"Pusineri2005",1993,"N Atlantic","Aulopiformes",52
"Pusineri2005",1993,"N Atlantic","Beloniformes",48
"Pusineri2005",1993,"N Atlantic","Oegopsida",20
"Pusineri2005",1993,"N Atlantic","Stomiiformes",46
"Romanov2020",2014,"Indian","Aulopiformes",16.3
"Romanov2020",2014,"Indian","Beryciformes",11.4
"Romanov2020",2014,"Indian","Oegopsida",26.6
"Romanov2020",2014,"Indian","Osmeriformes",13.6
"Romanov2020",2014,"Indian","Stomatopoda",27
"Romanov2020",2014,"S Atlantic","Amphipoda",27.2
"Romanov2020",2014,"S Atlantic","Myctophiformes",23.4
"Romanov2020",2014,"S Atlantic","Oegopsida",32.8
"Romanov2020",2014,"S Atlantic","Stomiiformes",37.2
"Romanov2020",2015,"Indian","Perciformes",70.7
"Romeo2012",2008,"Mediterranean","Octopoda",24
"Romeo2012",2008,"Mediterranean","Oegopsida",57
"Romeo2012",2008,"Mediterranean","Sepiida",66
"Salman&Karakulak2009",2007,"Mediterranean","Octopoda",21.31
"Salman&Karakulak2009",2007,"Mediterranean","Oegopsida",50.81
"Salman&Karakulak2009",2007,"Mediterranean","Sepiida",49.1
"Watanabe2004",2001,"N Pacific","Clupeiformes",27.8
"Watanabe2004",2001,"N Pacific","Oegopsida",11.1
"Watanabe2004",2002,"N Pacific","Amphipoda",13.6
"Watanabe2004",2002,"N Pacific","Clupeiformes",85.4
"Watanabe2004",2002,"N Pacific","Oegopsida",28.8
"Williams2015",2008,"S Pacific","Euphausiacea",13.2
"Williams2015",2009,"S Pacific","Euphausiacea",27.9
"Williams2015",2010,"S Pacific","Aulopiformes",16.7
