"prey_sp","maxFO","maxN","maxM"
"Lampanyctus intricarius",37.03703704,0,0
"Lampanyctus mexicanus",0.996677741,0,0
"Lanceola sayana",1.851851852,0,0
"Lepidocybium flavobrunneum",1.6,0,0
"Leptocotis tenuirostris",2.1,0.1,0.1
"Lestidiops ringens",4,0,0
"Lestidiops similis",1.6,0.2,0.1
"Lestidiops sphyrenoides",31.48148148,0,0
"Lestrolepis intermedia",16.3,4.4,4.9
"Leuroglossus stilbius",0.4,0.1,0
"Liocranchia reinhardtii",1.851851852,0,0
"Lobianchia gemellarii",4,0.1,0
"Lycoteuthis lorigera",32.8,17.3,25.8
"Lysiosquilla tredecimdentata",7.9,0.9,0.7
"Macroparalepis affinis",4,0,0
"Macroramphosus scolopax",30,0,0.07
"Magnisudis atlantica",8.2,2,2.4
"Makaira mazara",0.5,0.5,0.5
"Mastigoteuthis dentata",22.5,1.8,0.2
"Masturus lanceolatus",0.5,0.1,0
"Maurolicus imperatorius",4.2,0.2,0.1
"Maurolicus muelleri",85.71428571,78.5,24.6
"Medialuna californiensis",1.162790698,0.076511094,0.000609243
"Meganyctiphanes norvegica",89.7,7.3,84.3
"Melamphaes lugubris",5.9,1.1,0
"Melanostomias valdiviae",0,0,0
"Merluccius productus",100,19,30
"Microgadus proximus",33.33333333,0.5,0
"Micromesistius poutassou",72.4,4.5,68.5
"Microstomus pacificus",0,0,0
"Monacoa grimaldii",0.5,0,0
"Mugil cephalus",0,0,0
"Mullus barbatus barbatus",1.851851852,0,0
"Myctophum asperum",2.2,0.9,0.6
"Myctophum punctatum",68.51851852,0,0
"Nannobrachium regale",0.996677741,0,0
"Nannobrachium ritteri",1.8,0.1,0
"Nansenia macrolepis",13.6,5,4.2
"Natosquilla investigatoris",2,1.8,1.5
"Nealotus tripes",3,0,0.1
"Nematoscelis megalops",80,0.61,4.2
"Neoanchisquilla tuberculata",9.5,1.1,0.4
"Neognathophausia gigas",0.7,0.1,0
"Neognathophausia ingens",11.11111111,0,0
"Nesiarchus nasutus",3,0,0
"Notoscopelus kroyeri",15.8,0,6.3
"Nyctiphanes australis",27.9,0,20.4
"Octopoteuthis nielseni",0.332225914,0,0
"Octopoteuthis rugosa",1,0.1,0.2
"Octopoteuthis sicula",32.7,2.37,0.609243441
"Octopus bimaculatus",15.9,1.836266259,0.182773032
"Octopus vulgaris",16.66666667,0,0
"Ocythoe tuberculata",17.2,0.7,0.6
"Odontodactylus hansenii",0.3,0.047793532,0
"Odontodactylus scyllarus",27,5.1,2.4
"Ommastrephes bartramii",5,1.6,6.2
"Omosudis lowii",16.7,0.7,1.2
"Onychoteuthis banksii",83.33333333,12.32,5.5
"Onychoteuthis borealijaponica",58.5,13.4,3.3
"Onykia loennbergii",0.5,0,0.3
"Onykia robusta",6,0.5,0.3
"Opisthoteuthis californiana",0.5,0.1,0
"Oplophorus typus",3.2,0.5,0.3
"Ornithoteuthis antillarum",12,0,0
"Ornithoteuthis volatilis",20.7,3.3,2.8
"Ostracion cubicus",1.6,0.2,0
"Palinurus mauritanicus",8,0,0
"Paralepis coregonoides",81.48148148,20.38,26.89
"Paralepis speciosa",0.862068966,17.1,23.04
"Parapasiphae sulcatifrons",4,0,0
"Parapronoe crustulum",1.5,0.2,0.1
"Parribacus antarcticus",0.5,0.1,0
"Peprilus simillimus",0.5,0.1,0
"Peristedion gracile",3,0,0
"Photonectes margarita",0,0,0
"Phrosina semilunata",65,4.2,6.5
"Platyscelus armatus",0,0,0
"Platyscelus ovoides",9.259259259,1.1,1.3
"Platyscelus serratulus",1.851851852,0.06,0.08
"Pleuroncodes planipes",27.75,1.3,23.3
"Pleuronichthys decurrens",33.33333333,0,0
"Polybius henslowii",51.42857143,0,1
"Primno macropa",2.857142857,0.49,0.24
"Protomyctophum crockeri",2.7,0.2,0
"Psenes pellucidus",3,0,0
"Pteroctopus tetracirrhus",24,3.4,0
"Pterycombus petersii",4.7,0.1,2.2
"Pterygioteuthis giardi",1.63,0.16,0
"Pterygioteuthis microlampas",0.332225914,0,0
"Pyrosoma atlanticum",2.857142857,0,0
"Pyroteuthis margaritifera",1.63,0.16,0
"Ranzania laevis",2.2,1.3,1.6
"Rexea prometheoides",2.2,0.1,0.7
"Rhinogobiops nicholsii",0,0,0
"Robustosergia robusta",2.857142857,0,0
"Salpa maxima",4.8,1.9,1.3
"Sardina pilchardus",3.4,5.8,7.68
"Sardinella aurita",0.862068966,0.86,0.86
"Sardinops sagax",29.06976744,3.9020658,7.432769986
"Scaeurgus unicirrhus",5,1.6,0
"Scomber japonicus",3,0.306044376,0.006092434
"Scomber scombrus",1.1,0.4,0.2
"Scomberesox saurus",64.81481481,2.1,26.3
"Scombrolabrax heterolepis",0.5,0,0
"Scopelarchus analis",6,1,0.9
"Scopelogadus bispinosus",2.7,0.4,0
"Scopelosaurus hoedti",0.5,0,0.2
"Scyllarus arctus",20.7,0,4.1
"Sebastes aleutianus",0,0,0
"Sebastes brevispinis",1,0,0
"Sebastes diploproa",1,0,0
"Sebastes helvomaculatus",0,0,0
"Sebastes maliger",0,0,0
"Sebastes miniatus",0,0,0
"Sebastes proriger",1,0,0
"Sebastes wilsoni",1,0,0
"Sebastes zacentrus",0,0,0
"Selene setapinnis",3,0,0
"Sepietta oweniana",2.857142857,0,0
"Soestia zonaria",8.571428571,0,0
"Spirula spirula",0.7,0.1,0
"Spondyliosoma cantharus",1.851851852,0,0
"Stenobrachius leucopsarus",7.6,0.2,0.2
"Sternoptyx diaphana",44.44444444,0.1,0
"Sternoptyx obscura",0.996677741,0,0
"Sthenoteuthis oualaniensis",17.9,7,8.5
"Stigmatoteuthis dofleini",2.2,0.6,0.5
"Stigmatoteuthis hoylei",1.6,0.6,1.1
"Streetsia challengeri",40,0.19,0.05
"Strongylura exilis",0.996677741,0,0
"Stylocheiron abbreviatum",16.66666667,0,0
"Sudis hyalina",0.862068966,0.43,0.82
"Symbolophorus barnardi",9,3.7,4.7
"Symbolophorus evermanni",0.3,0,0
"Syngnathus californiensis",1,0,0
"Systellaspis debilis",8,0,0
"Taningia danae",3.3,0.2,0
"Taractes asper",0,0,0
"Tarletonbeania crenularis",100,5.4,0
"Tetragonurus atlanticus",14.28571429,0,0
"Tetragonurus cuvieri",0.6,0.047793532,0
"Teuthowenia megalops",16.66666667,0.1,0
"Thaleichthys pacificus",33.33333333,0,0
"Themisto gaudichaudii",54.3,5.1,27.3
"Thyrsitoides marleyi",2.7,0.4,0.9
"Thysanoteuthis rhombus",1.6,0,0.6
"Todarodes pacificus",1.5,0.2,0.4
"Todarodes sagittatus",73.7,39.5,0.3
"Todaropsis eblanae",2.777777778,0,13.64
"Trachinotus ovatus",1.851851852,0,0
"Trachipterus trachypterus",0,0,0
"Trachurus japonicus",5.6,0.8,13.9
"Trachurus symmetricus",40.69767442,13.69548585,27.53780356
"Trachurus trachurus",43,28.1,42.4
"Tremoctopus gracilis",3.2,0.1,1.5
"Tremoctopus violaceus",21.31,7.42,0
"Triphoturus mexicanus",6.976744186,0.459066565,0.000609243
"Vampyroteuthis infernalis",0.5,0.1,0
"Vibilia gibbosa",0.862068966,0.24,0.05
"Vinciguerria lucetia",20.1,0.1,4.95
"Walvisteuthis rancureli",26.6,8.6,11.3
