"prey_sp","prey_age_reported_1","maxTL","meanGAPE","l_adult","meanLENGTH","meanFRAC","larva_adult_use","juve_adult_use","life_stage","maxFO"
"Pleuroncodes planipes","adult",3.38,7.53546,13,6.38549,49.1191538461538,5.53846153846154,11.1538461538462,"adult",27.75
"Pleuronichthys decurrens","none",0,7.38732,37,7.38732,19.9657297297297,5.67567567567568,34.3414634146341,"juvenile",33.33333333
"Polybius henslowii","larva",0,7.75767,4.4,4.4,100,13.2277038321486,85.9090909090909,"larva",51.4285714285714
"Primno macropa","none",0,8.642395,2.1,2.1,100,13.2277038321486,35.9384836382273,"adult",2.85714285714286
"Protomyctophum crockeri","none",0,7.38732,4.55149002704557,4.55149002704557,100,40.5405405405406,55.0321262222587,"adult",2.7
"Psenes pellucidus","none",0,10.0703,80,10.0703,12.587875,2.34858017733805,15,"juvenile",3
"Pteroctopus tetracirrhus","juvenile",0,7.752732,50.3132642965941,7.752732,15.4089226934234,4.78571428571429,71.4285714285713,"juvenile",24
"Pterycombus petersii","none",0,9.2937995,45.937961469899,9.2937995,20.2311970375303,2.41758241758241,27.4725274725275,"juvenile",4.7
"Pterygioteuthis giardi","none",0,7.83997,6.24609969644303,6.24609969644303,100,12.5,37.5000000000001,"adult",1.63
"Pterygioteuthis microlampas","juvenile",0,7.38732,9.41149507777527,7.38732,78.4925236527484,12.5,34,"juvenile",0.332225913621262
"Pyroteuthis margaritifera","none",0,8.72881,11.5485704309348,8.72881,75.5834676872075,12.5,35.75,"adult",1.63
"Ranzania laevis","none",0,9.61765,100,9.61765,9.61765,0.707237929743801,30,"juvenile",2.2
"Rexea prometheoides","none",0,9.61765,46.4932403148315,9.61765,20.6861254127989,3.30944055944056,40.673597904993,"juvenile",2.2
"Rhinogobiops nicholsii","none",0,7.38732,15,7.38732,49.2488,21.0077345185207,37.8139221333372,"adult",0
"Robustosergia robusta","none",0,7.75767,NA,NA,NA,13.2277038321486,10.7407407407407,"adult",2.85714285714286
"Salpa maxima","none",0,9.61765,10,9.61765,96.1765,NA,NA,"adult",4.8
"Sardina pilchardus","none",0,7.5334025,27.5,7.5334025,27.3941909090909,9.01818181818182,51.6363636363636,"juvenile",3.4
"Sardinella aurita","none",0,9.52712,36,9.52712,26.4642222222222,5.44912476050836,40,"juvenile",0.8620689655
"Sardinops sagax","juvenile",4.92,7.97988,47.3092693135439,6.44994,13.6335650361725,6.12658227848102,22.7848101265822,"juvenile",29.0697674418605
"Scaeurgus unicirrhus","juvenile",0,7.752732,40.4510882670788,7.752732,19.1656945019934,22.2222222222222,55.5555555555556,"juvenile",5
"Scomber japonicus","none",0,8.206205,64,8.206205,12.8221953125,2.76546202524808,40.78125,"juvenile",3
"Scomber scombrus","none",0,7.09104,60,7.09104,11.8184,7.95659716287323,47.8333333333333,"juvenile",1.1
"Scombrolabrax heterolepis","none",0,9.61765,30,9.61765,32.0588333333333,5.82987063656477,36.7942330347152,"juvenile",0.5
"Scopelarchus analis","none",0,9.61765,14.0319507043528,9.61765,68.5410760245655,18.2440777760563,40.2230160108363,"adult",6
"Scopelogadus mizolepis bispinosus","none",0,7.38732,NA,NA,NA,9.5,35.9090909090909,"adult",2.7
"Scopelosaurus hoedti","none",0,9.61765,15.7987346714369,9.61765,60.876077736707,10.4054536978785,40.2230160108363,"adult",0.5
"Scyllarus arctus","larva",0,7.19509071428571,16,7.19509071428571,44.9693169642857,17.5,13.125,"larva",20.7
"Sebastes aleutianus","juvenile",1.18,7.97988,97,1.18,1.21649484536082,3.78728402764412,48.4536082474227,"juvenile",0
"Sebastes brevispinis","juvenile",1.25,7.97988,71,1.25,1.76056338028169,5.11812127263811,64.7887323943662,"juvenile",1
"Sebastes diploproa","juvenile",1.68,7.97988,46,1.68,3.65217391304348,7.9426949196597,41.304347826087,"juvenile",1
"Sebastes helvomaculatus","juvenile",0,7.97988,41,7.97988,19.4631219512195,4.68133574017017,56.0975609756098,"juvenile",0
"Sebastes maliger","juvenile",0,7.97988,61,7.97988,13.0817704918033,2.89796067451184,50.8196721311475,"juvenile",0
"Sebastes miniatus","juvenile",0.99,7.97988,91,0.99,1.08791208791209,3.00840062924297,40.6593406593407,"juvenile",0
"Sebastes proriger","juvenile",1.44,7.97988,61,1.44,2.36065573770492,7.65710482192993,49.1803278688525,"juvenile",1
"Sebastes wilsoni","juvenile",1.3,7.97988,23,1.3,5.65217391304348,18.5158589206884,50.8573932072977,"juvenile",1
"Sebastes zacentrus","juvenile",1.93,7.97988,45,1.93,4.28888888888889,4.54474332862669,55.5555555555556,"juvenile",0
"Selene setapinnis","none",0,10.0703,60,10.0703,16.7838333333333,1.58333333333333,34.1666666666667,"juvenile",3
"Sepietta oweniana","none",0,7.75767,11.0145231878666,7.75767,70.4312830222711,7.99055640964786,44.0000000000001,"adult",2.85714285714286
"Spirula spirula","none",0,9.61765,7.7391532117755,7.7391532117755,100,7.99055640964786,43.519846336253,"adult",0.7
"Spondyliosoma cantharus","none",0,7.75767,76.6198309197293,7.75767,10.1248853030325,2.96175869841431,32.8333333333333,"juvenile",1.85185185185185
"Stenobrachius leucopsarus","none",0,7.38732,13,7.38732,56.8255384615385,17.7183662655785,50,"adult",7.6
"Sternoptyx diaphana","none",0,7.89117888888889,7.46188117014716,7.43702744676477,99.6669241600654,20.5454545454546,47.2727272727273,"adult",44.4444444444444
"Sternoptyx obscura","adult",0,7.38732,5.85848610281474,5.85848610281474,100,24.7947748227462,42.8309830230011,"adult",0.996677740863787
"Sthenoteuthis oualaniensis","none",0,9.010214275,112.261280206458,9.010214275,8.0261103903585,3.48893481394648,28.1538461538461,"juvenile",17.9
"Stigmatoteuthis dofleini","none",0,9.61765,33.5,9.61765,28.7094029850746,6.84210526315788,36.5530303030302,"juvenile",2.2
"Stigmatoteuthis hoylei","none",0,9.61765,86.9180616333413,9.61765,11.0651915370265,6.84210526315788,36.5530303030302,"juvenile",1.6
"Streetsia challengeri","none",0,8.2000325,4.9,4.9,100,13.2277038321486,35.9384836382273,"adult",40
"Strongylura exilis","adult",0,7.38732,91,7.38732,8.11793406593407,8.26752992762885,27.536231884058,"adult",0.996677740863787
"Stylocheiron abbreviatum","none",0,7.75767,1.6,1.6,100,13.2277038321486,48.8211077844311,"adult",16.6666666666667
"Sudis hyalina","adult",0,9.52712,100,9.52712,9.52712,10.9322069467605,40,"adult",0.8620689655
"Symbolophorus barnardi","none",0,9.61765,13.9839152931526,9.61765,68.776517866276,17.3397107607587,67.935194120146,"adult",9
"Symbolophorus evermanni","none",0,9.61765,9.50588222242958,9.50588222242958,100,26.375,55.0321262222587,"adult",0.3
"Syngnathus californiensis","none",0,7.6836,50,7.6836,15.3672,9.15408758669816,42.1173584659917,"juvenile",1
"Systellaspis debilis","none",0,7.75767,1.7,1.7,100,27.1764705882353,62,"adult",8
"Taningia danae","none",0,9.61765,324.210290276718,9.61765,2.96648511427296,7.21716900528456,46.6657905243552,"larva",3.3
"Taractes asper","none",0,7.38732,68.4922046065369,7.38732,10.7856361792375,1.82,35.5999999999999,"juvenile",0
"Tarletonbeania crenularis","none",0,7.38732,12.7,7.38732,58.167874015748,20.8273803730309,39.3700787401575,"adult",100
"Tetragonurus atlanticus","none",0,7.75767,50,7.75767,15.51534,4.24622840753532,36.7942330347152,"juvenile",14.2857142857143
"Tetragonurus cuvieri","none",0,7.36811666666667,70,7.36811666666667,10.525880952381,3.53437319753124,36.7942330347152,"juvenile",0.6
"Teuthowenia megalops","none",0,7.75767,62.5787956123373,7.75767,12.3966431825521,21.25,45.5,"larva",16.6666666666667
"Thaleichthys pacificus","none",0,7.38732,34,7.38732,21.7274117647059,12.7168836124561,47.0588235294118,"juvenile",33.33333333
"Themisto gaudichaudii","none",1.8,7.02657166666667,2.8,2.71666666666667,100,13.2277038321486,35.9384836382273,"adult",54.3
"Thyrsitoides marleyi","none",0,9.61765,200,9.61765,4.808825,3.30944055944056,56.8778637517625,"juvenile",2.7
"Thysanoteuthis rhombus","none",0,9.61765,165.016659790511,9.61765,5.82829031457165,7.21716900528456,60.0000000000002,"larva",1.6
"Todarodes pacificus","none",0,7.0256938,78.2727683733864,7.0256938,8.97591071071509,1.42,34,"juvenile",1.5
"Todarodes sagittatus","juvenile",0,6.3762645,157.971713163682,6.3762645,4.03633307020811,3.99999999999999,30.9333333333332,"juvenile",73.7
"Todaropsis eblanae","none",0,9.20615,55.8178886315148,9.20615,16.4931892368322,3.48893481394648,69.6296296296296,"juvenile",2.777777778
"Trachinotus ovatus","none",0,7.75767,70,7.75767,11.0823857142857,2.71428571428571,27.8571428571429,"juvenile",1.85185185185185
"Trachipterus trachypterus","none",0,7.38732,300,7.38732,2.46244,2.15159036413434,60,"juvenile",0
"Trachurus japonicus","none",0,6.2649949,50,6.2649949,12.5299898,2.6523449937541,34.2,"juvenile",5.6
"Trachurus symmetricus","juvenile",0,7.6836,81,7.6836,9.48592592592593,2.4644355505682,30.8641975308642,"juvenile",40.6976744186046
"Trachurus trachurus","none",12,7.46139,70,7.93276,11.3325142857143,4.34772220017514,34.1428571428571,"juvenile",43
"Tremoctopus gracilis","none",0,9.61765,187.151643339179,9.61765,5.13896102027259,9.02460995505148,13.6,"larva",3.2
"Tremoctopus violaceus","none",0,7.83997,100,7.83997,7.83997,9.02460995505148,13.6,"larva",21.31
"Triphoturus mexicanus","none",0,7.6836,7.5,7.44366,99.2488,28.5642126483123,60,"adult",6.97674418604651
"Vampyroteuthis infernalis","none",0,7.38732,30,7.38732,24.6244,20.0832386460453,43.519846336253,"juvenile",0.5
"Vibilia gibbosa","none",0,9.52712,0.8,0.8,100,13.2277038321486,35.9384836382273,"adult",0.8620689655
"Vinciguerria lucetia","juvenile",0,7.38732,8,7.38732,92.3415,18.125,56.25,"juvenile",20.1
"Walvisteuthis rancureli","none",0,9.61765,32.0216588661211,9.61765,30.034827490388,2.2162814988902,53.3333333333332,"juvenile",26.6
