"prey_sp","prey_age_reported_1","maxTL","meanGAPE","l_adult","meanLENGTH","meanFRAC","larva_adult_use","juve_adult_use","life_stage","maxFO"
"Centrolophus niger","none",0,7.75767,187.826915701525,7.75767,4.13022274844127,4.23913043478261,30.2666666666667,"larva",1.85185185185185
"Ceratias tentaculatus","none",0,9.61765,88,9.61765,10.9291477272727,9.15408758669816,42.1173584659917,"juvenile",0.5
"Ceratoscopelus maderensis","adult",0,7.75767,10.5322651117163,7.75767,73.6562355553528,22.2222222222222,43.20987654321,"adult",29.6296296296296
"Ceratoscopelus townsendi","none",0,7.38732,18.4,7.38732,40.1484782608696,10.2114448262183,55.0321262222587,"juvenile",7.7
"Ceratoscopelus warmingii","none",0,6.64534435,10.7234943571089,6.64534435,61.9699524119637,22.2222222222222,43.2098765432099,"adult",5.6
"Chelophyes appendiculata","none",0,7.75767,0.2,0.2,100,NA,NA,"adult",16
"Chiasmodon niger","none",0,8.8358,29.9384245654508,8.8358,29.513243025475,4.87857020853057,36.7942330347152,"juvenile",9.5
"Chilara taylori","none",0,7.38732,40.4,7.38732,18.2854455445545,17.3267326732673,42.1173584659917,"juvenile",0
"Chiroteuthis veranii","none",0,8.00457,130,8.00457,6.15736153846154,4.53635472797972,46.6657905243552,"juvenile",36.06
"Chlorophthalmus agassizi","none",0,7.75767,40,7.75767,19.394175,7.5,28.75,"juvenile",2.85714285714286
"Chromis punctipinnis","none",0,7.38732,32.5375876759007,7.38732,22.7039572619315,5.83940032348266,56,"juvenile",0
"Chtenopteryx sicula","none",0,7.75767,20.2118670033495,7.75767,38.3817585911999,7.99055640964786,60,"juvenile",33.3333333333333
"Citharichthys sordidus","none",0,7.38732,41,7.38732,18.0178536585366,11.0709091415093,29.0243902439024,"juvenile",0
"Clupea pallasii","none",0,7.38732,46,7.38732,16.0593913043478,6.85010219703778,46.5217391304348,"juvenile",0
"Cololabis saira","adult",0,7.38732,44.7516792857244,7.38732,16.5073581995314,10,56.75,"adult",54.35
"Cookeolus japonicus","none",0,9.61765,NA,NA,NA,4.87857020853057,36.7942330347152,"adult",0.5
"Coryphaena hippurus","none",0,7.2721,210,7.2721,3.46290476190476,6.66666666666667,26.5714285714286,"larva",0.3
"Cranchia scabra","none",0,8.87420666666667,20.8192192744261,8.87420666666667,42.6250694115488,25.3333333333334,86.6666666666667,"juvenile",1.1
"Cubiceps capensis","none",0,9.61765,101,9.61765,9.52242574257426,7.06602519861735,30.6191588785047,"juvenile",0.7
"Cubiceps gracilis","none",12,7.572495,107,9.69366,9.0594953271028,13.6448598130841,46.2383177570093,"larva",10
"Cubiceps pauciradiatus","none",0,9.61765,20,9.61765,48.08825,5.2046356054299,30.6191588785047,"adult",70.7
"Cymatogaster aggregata","none",0,7.38732,20.3,7.38732,36.3907389162562,4.87857020853057,24.6305418719212,"adult",0.5
"Cyphocaris faurei","none",0,9.61765,3,3,100,13.2277038321486,35.9384836382273,"adult",1.6
"Dactyloptena orientalis","none",0,9.61765,40,9.61765,24.044125,4.3375,45.4278495545466,"juvenile",1.1
"Decapterus macarellus","none",0,9.61765,46,9.61765,20.9079347826087,3.26086956521739,61.9210538420617,"juvenile",0.5
"Decapterus macrosoma","none",0,9.61765,35,9.61765,27.479,2.83716522622231,50.2857142857143,"juvenile",0.5
"Desmodema polystictum","none",0,7.38732,110,7.38732,6.71574545454546,2.5,60,"juvenile",0
"Diaphus effulgens","none",0,9.61765,6.05651485090635,6.05651485090635,100,17.3397107607587,55.0321262222587,"adult",2.1
"Diaphus lucidus","none",0,9.61765,14.8054573546932,9.61765,64.9601681973795,17.3397107607587,60.7883956867234,"adult",7.9
"Diaphus luetkeni","adult",0,7.75767,10.3319749837103,7.75767,75.0840958503188,17.3397107607587,46.590909090909,"adult",2.85714285714286
"Diaphus ostenfeldi","none",0,9.61765,15.1991531126716,9.61765,63.27753874643,17.3397107607587,55.0321262222587,"adult",0.7
"Diaphus perspicillatus","none",0,9.61765,8.75602566659638,8.75602566659638,100,17.3397107607587,57.1035329313235,"adult",7.9
