"prey_class","prey_order","prey_family","prey_sp","life_stage","vert_habitat","horz_habitat","diel_migrant","diel_migrant_cat","refuge","refuge_cat","season_migrant","season_cat","body_shape","l_max","phys_defense","transparent","col_disrupt","silver","countershade","gregarious_primary","trophic_level","fisheries_status"
"Actinopterygii","Aulopiformes","Paralepididae","Lestidiops similis","larva","mesopelagic","oceanic","1","diel_yes","0","refuge_no","NA","season_NA","elongated",NA,0,"1","0","0","0","NA","NA","none"
"Actinopterygii","Aulopiformes","Paralepididae","Lestrolepis intermedia","adult","mesopelagic","oceanic","1","diel_yes","0","refuge_no","NA","season_NA","elongated",33.8,0,"1","0","1","0","NA","4","none"
"Actinopterygii","Aulopiformes","Paralepididae","Lestrolepis intermedia","juvenile","mesopelagic","oceanic","1","diel_yes","0","refuge_no","NA","season_NA","elongated",NA,0,"1","0","1","0","NA","NA","none"
"Actinopterygii","Aulopiformes","Paralepididae","Lestrolepis intermedia","larva","epipelagic","oceanic","1","diel_yes","0","refuge_no","NA","season_NA","elongated",4,0,"1","0","0","0","schooling","NA","none"
"Actinopterygii","Aulopiformes","Scopelarchidae","Scopelarchus analis","adult","mesopelagic","oceanic","1","diel_yes","0","refuge_no","1","season_yes","elongated",12.6,0,"0","0","0","0","NA","4.2","none"
"Actinopterygii","Aulopiformes","Scopelarchidae","Scopelarchus analis","juvenile","mesopelagic","oceanic","1","diel_yes","0","refuge_no","0","season_no","elongated",NA,0,"0","0","0","0","NA","NA","none"
"Actinopterygii","Aulopiformes","Scopelarchidae","Scopelarchus analis","larva","epipelagic","oceanic","1","diel_yes","0","refuge_no","0","season_no","elongated",2.56,0,"1","0","0","0","schooling","NA","none"
"Actinopterygii","Beryciformes","Berycidae","Beryx splendens","adult","demersal","continental slope","1","diel_yes","1","refuge_yes","0","season_no","fusiform",70,1,"0","0","1","1","schooling","3.81","commercial"
"Actinopterygii","Beryciformes","Berycidae","Beryx splendens","juvenile","mesopelagic","continental slope","1","diel_yes","0","refuge_no","1","season_yes","fusiform",33.2,1,"0","0","1","1","schooling","NA","none"
"Actinopterygii","Beryciformes","Berycidae","Beryx splendens","larva","epipelagic","continental slope","1","diel_yes","0","refuge_no","1","season_yes","fusiform",1.5,1,"1","0","1","0","schooling","NA","none"
"Actinopterygii","Beryciformes","Diretmidae","Diretmus argenteus","adult","demersal","continental slope","1","diel_yes","NA","refuge_NA","NA","season_NA","compressiform",27.6,1,"0","0","1","1","NA","3.4","potential"
"Actinopterygii","Beryciformes","Diretmidae","Diretmus argenteus","juvenile","mesopelagic","oceanic","1","diel_yes","0","refuge_no","NA","season_NA","compressiform",NA,1,"0","0","1","1","NA","NA","none"
"Actinopterygii","Beryciformes","Diretmidae","Diretmus argenteus","larva","mesopelagic","oceanic","1","diel_yes","0","refuge_no","NA","season_NA","compressiform",1.7,1,"1","0","1","1","schooling","NA","none"
"Actinopterygii","Clupeiformes","Engraulidae","Engraulis capensis","adult","epipelagic","coastal","1","diel_yes","0","refuge_no","1","season_yes","elongated",17,0,"0","0","1","1","schooling","3","minor commercial"
"Actinopterygii","Clupeiformes","Engraulidae","Engraulis capensis","juvenile","epipelagic","coastal","1","diel_yes","0","refuge_no","1","season_yes","elongated",9.5,0,"0","0","1","1","schooling","NA","none"
"Actinopterygii","Clupeiformes","Engraulidae","Engraulis capensis","larva","epipelagic","coastal","1","diel_yes","0","refuge_no","1","season_yes","elongated",NA,0,"1","0","1","1","schooling","NA","none"
