"prey_class","prey_order","prey_family","prey_sp","life_stage","l_type","measure","length","l_type_use","b_shape_r","eye_body_r","standard_total","length_tl"
"Cephalopoda","Oegopsida","Onychoteuthidae","Onykia robusta","larva","ML","l_min",0.18,"SL",7.59702024743419,0.0114076278052255,0.573442471067685,0.313893736654804
"Cephalopoda","Oegopsida","Gonatidae","Berryteuthis anonychus","adult","ML","l_min",10,"SL",5.41472852037061,0.0539881723935213,0.606897526662022,16.4772462577013
"Cephalopoda","Oegopsida","Gonatidae","Berryteuthis anonychus","juvenile","ML","l_min",0.86,"SL",5.41472852037061,0.0539881723935213,0.606897526662022,1.41704317816231
"Cephalopoda","Oegopsida","Gonatidae","Berryteuthis anonychus","larva","ML","l_min",0.26,"SL",5.41472852037061,0.0539881723935213,0.606897526662022,0.428408402700235
"Cephalopoda","Oegopsida","Gonatidae","Gonatus onyx","adult",NA,"l_min",NA,NA,5.92717667262218,0.0455761960841425,0.51704262815379,NA
"Cephalopoda","Oegopsida","Gonatidae","Gonatus onyx","larva","ML","l_min",0.3,"SL",5.92717667262218,0.0455761960841425,0.51704262815379,0.580222951966676
"Cephalopoda","Octopoda","Eledonidae","Eledone cirrhosa","larva","ML","l_min",0.38,"SL",4.53636848852893,0.036985363042043,0.298527350690224,1.2729151922643
"Cephalopoda","Oegopsida","Gonatidae","Gonatopsis borealis","adult",NA,"l_min",NA,NA,5.7325569691604,0.0384063357679049,0.564971320264562,NA
"Cephalopoda","Oegopsida","Gonatidae","Gonatopsis borealis","larva",NA,"l_min",NA,NA,5.7325569691604,0.0384063357679049,0.564971320264562,NA
"Cephalopoda","Oegopsida","Gonatidae","Gonatus berryi","adult",NA,"l_min",NA,NA,8.83928866832423,0.0481612926333679,0.602522957811243,NA
"Cephalopoda","Oegopsida","Gonatidae","Gonatus berryi","larva",NA,"l_min",NA,NA,8.83928866832423,0.0481612926333679,0.602522957811243,NA
"Cephalopoda","Oegopsida","Ommastrephidae","Dosidicus gigas","larva","ML","l_min",0.08,"SL",6.12184249318679,0.0326599143341147,0.583018236731316,0.137216977034061
"Cephalopoda","Oegopsida","Ommastrephidae","Eucleoteuthis luminosa","adult","ML","l_min",9.5,"SL",6.65779074673977,0.0431757062823878,0.617539336090291,15.3836354136492
"Cephalopoda","Oegopsida","Ommastrephidae","Eucleoteuthis luminosa","juvenile","ML","l_min",1.24,"SL",6.65779074673977,0.0431757062823878,0.617539336090291,2.0079692539921
"Cephalopoda","Oegopsida","Ommastrephidae","Eucleoteuthis luminosa","larva","ML","l_min",0.14,"SL",6.65779074673977,0.0431757062823878,0.617539336090291,0.226706206095883
"Cephalopoda","Oegopsida","Ommastrephidae","Ommastrephes bartramii","adult","ML","l_min",25,"SL",5.43985371164068,0.0444631878738816,0.761282086428217,32.8393383289695
"Cephalopoda","Oegopsida","Ommastrephidae","Ommastrephes bartramii","juvenile","ML","l_min",13,"SL",5.43985371164068,0.0444631878738816,0.761282086428217,17.0764559310641
"Cephalopoda","Oegopsida","Ommastrephidae","Ommastrephes bartramii","larva","ML","l_min",0.1,"SL",5.43985371164068,0.0444631878738816,0.761282086428217,0.131357353315878
"Cephalopoda","Oegopsida","Cranchiidae","Galiteuthis armata","adult","ML","l_min",35,"SL",6.80268889366612,0.0601883954990335,0.807175183351013,43.3610952391975
"Cephalopoda","Oegopsida","Cranchiidae","Galiteuthis armata","juvenile","ML","l_min",1.3,"SL",6.80268889366612,0.0601883954990335,0.807175183351013,1.61055496602734
"Cephalopoda","Oegopsida","Cranchiidae","Galiteuthis armata","larva",NA,"l_min",NA,NA,6.80268889366612,0.0601883954990335,0.807175183351013,NA
"Cephalopoda","Oegopsida","Histioteuthidae","Histioteuthis reversa","adult","ML","l_min",5,"SL",5.7606380187446,0.0609496353283414,0.35190879524607,14.2082268688505
"Cephalopoda","Oegopsida","Histioteuthidae","Histioteuthis reversa","juvenile","ML","l_min",2,"SL",5.7606380187446,0.0609496353283414,0.35190879524607,5.68329074754018
"Cephalopoda","Oegopsida","Histioteuthidae","Histioteuthis reversa","larva","ML","l_min",0.4,"SL",5.7606380187446,0.0609496353283414,0.35190879524607,1.13665814950804
"Cephalopoda","Myopsida","Loliginidae","Doryteuthis opalescens","adult","ML","l_min",7,"SL",6.3168634731471,0.0786422429115184,0.652230196750622,10.7324071085234
"Cephalopoda","Myopsida","Loliginidae","Doryteuthis opalescens","juvenile","ML","l_min",1.5,"SL",6.3168634731471,0.0786422429115184,0.652230196750622,2.29980152325502
"Cephalopoda","Myopsida","Loliginidae","Doryteuthis opalescens","larva","ML","l_min",0.3,"SL",6.3168634731471,0.0786422429115184,0.652230196750622,0.459960304651003
"Cephalopoda","Oegopsida","Pyroteuthidae","Pterygioteuthis giardi","adult","ML","l_min",1.5,"SL",4.23567465052725,0.0776456036470682,0.640399640479303,2.34228738616614
"Cephalopoda","Oegopsida","Pyroteuthidae","Pterygioteuthis giardi","juvenile","ML","l_min",0.5,"SL",4.23567465052725,0.0776456036470682,0.640399640479303,0.780762462055378
"Cephalopoda","Oegopsida","Pyroteuthidae","Pterygioteuthis giardi","larva",NA,"l_min",NA,NA,4.23567465052725,0.0776456036470682,0.640399640479303,NA
"Cephalopoda","Oegopsida","Chiroteuthidae","Chiroteuthis veranii","larva",NA,"l_min",NA,NA,11.6644740226409,0.0586785201725694,0.271312387273858,NA
"Cephalopoda","Oegopsida","Ommastrephidae","Illex argentinus","adult","ML","l_min",14.2,"SL",4.79464379581997,0.0352973575534677,0.570488028516894,24.8909692932838
"Cephalopoda","Oegopsida","Ommastrephidae","Illex argentinus","juvenile","ML","l_min",1.6,"SL",4.79464379581997,0.0352973575534677,0.570488028516894,2.80461625839817
"Cephalopoda","Oegopsida","Ommastrephidae","Illex argentinus","larva","ML","l_min",0.1,"SL",4.79464379581997,0.0352973575534677,0.570488028516894,0.175288516149886
"Cephalopoda","Oegopsida","Ommastrephidae","Todarodes pacificus","adult","ML","l_min",17,"SL",6.96255135098816,0.0297150224484735,0.638791766780036,26.6127412469514
"Cephalopoda","Oegopsida","Ommastrephidae","Todarodes pacificus","juvenile","ML","l_min",1.6,"SL",6.96255135098816,0.0297150224484735,0.638791766780036,2.50472858794837
"Cephalopoda","Oegopsida","Ommastrephidae","Todarodes pacificus","larva","ML","l_min",0.06,"SL",6.96255135098816,0.0297150224484735,0.638791766780036,0.0939273220480637
"Cephalopoda","Oegopsida","Onychoteuthidae","Ancistroteuthis lichtensteinii","adult","ML","l_min",20,"SL",8.59555139407798,0.0444971717754115,0.560045638956997,35.7113753037111
"Cephalopoda","Oegopsida","Onychoteuthidae","Ancistroteuthis lichtensteinii","juvenile","ML","l_min",1.6,"SL",8.59555139407798,0.0444971717754115,0.560045638956997,2.85691002429689
"Cephalopoda","Oegopsida","Onychoteuthidae","Ancistroteuthis lichtensteinii","larva",NA,"l_min",NA,NA,8.59555139407798,0.0444971717754115,0.560045638956997,NA
"Cephalopoda","Octopoda","Octopodidae","Scaeurgus unicirrhus","adult","ML","l_min",5,"SL",6.17286721864459,0.0138382451420089,0.222490923867793,22.4728268150437
"Cephalopoda","Octopoda","Octopodidae","Scaeurgus unicirrhus","juvenile","ML","l_min",2,"SL",6.17286721864459,0.0138382451420089,0.222490923867793,8.98913072601749
"Cephalopoda","Octopoda","Octopodidae","Scaeurgus unicirrhus","larva","ML","l_min",0.2,"SL",6.17286721864459,0.0138382451420089,0.222490923867793,0.898913072601749
"Cephalopoda","Oegopsida","Ommastrephidae","Illex coindetii","adult","ML","l_min",20.7,"SL",7.21326775573866,0.0446798911314911,0.56136426964707,36.874452328457
"Cephalopoda","Oegopsida","Ommastrephidae","Illex coindetii","juvenile","ML","l_min",2,"SL",7.21326775573866,0.0446798911314911,0.56136426964707,3.56274901724223
"Cephalopoda","Oegopsida","Ommastrephidae","Illex coindetii","larva",NA,"l_min",NA,NA,7.21326775573866,0.0446798911314911,0.56136426964707,NA
"Cephalopoda","Oegopsida","Ancistrocheiridae","Ancistrocheirus lesueurii","adult","ML","l_min",10.2,"SL",6.53010348142899,0.0619700709073132,0.415195399779098,24.5667461764433
"Cephalopoda","Oegopsida","Ancistrocheiridae","Ancistrocheirus lesueurii","juvenile","ML","l_min",2.5,"SL",6.53010348142899,0.0619700709073132,0.415195399779098,6.0212613177557
"Cephalopoda","Oegopsida","Ancistrocheiridae","Ancistrocheirus lesueurii","larva",NA,"l_min",NA,NA,6.53010348142899,0.0619700709073132,0.415195399779098,NA
"Cephalopoda","Vampyromorpha","Vampyroteuthidae","Vampyroteuthis infernalis","larva","ML","l_min",0.9,"SL",4.15852949529725,0.0516419598155347,0.414939715660567,2.16898977377289
"Cephalopoda","Myopsida","Loliginidae","Alloteuthis subulata","adult","ML","l_min",7.8,"SL",7.0034787439957,0.0558524682657779,0.72505559450195,10.7577957595899
"Cephalopoda","Myopsida","Loliginidae","Alloteuthis subulata","juvenile","ML","l_min",3,"SL",7.0034787439957,0.0558524682657779,0.72505559450195,4.13761375368842
"Cephalopoda","Myopsida","Loliginidae","Alloteuthis subulata","larva","ML","l_min",0.025,"SL",7.0034787439957,0.0558524682657779,0.72505559450195,0.0344801146140702
"Cephalopoda","Oegopsida","Ommastrephidae","Todarodes sagittatus","adult","ML","l_min",23.2,"SL",6.73534466250394,0.045715426856833,0.474768542405368,48.8659166052989
"Cephalopoda","Oegopsida","Ommastrephidae","Todarodes sagittatus","juvenile","ML","l_min",3,"SL",6.73534466250394,0.045715426856833,0.474768542405368,6.31886852654727
"Cephalopoda","Oegopsida","Ommastrephidae","Todarodes sagittatus","larva","ML","l_min",NA,"SL",6.73534466250394,0.045715426856833,0.474768542405368,NA
"Cephalopoda","Oegopsida","Brachioteuthidae","Brachioteuthis riisei","adult","ML","l_min",6.6,"SL",6.88338765892976,0.0672648224495483,0.645379956290468,10.226533897854
"Cephalopoda","Oegopsida","Brachioteuthidae","Brachioteuthis riisei","juvenile","ML","l_min",3.15,"SL",6.88338765892976,0.0672648224495483,0.645379956290468,4.88084572397577
