"","prey_class","prey_order","prey_family","prey_sp","vert_habitat","horz_habitat","diel_migrant","diel_migrant_cat","refuge","refuge_cat","season_migrant","season_cat","body_shape","l_max","phys_defense","transparent","col_disrupt","silver","countershade","gregarious_primary","trophic_level","fisheries_status"
"139","Actinopterygii","Stomiiformes","Sternoptychidae","Maurolicus muelleri","mesopelagic","continental shelf","1","diel_yes","0","refuge_no","1","season_yes","elongated",8,0,"0","0","1","0","schooling","3.01","minor commercial"
"140","Actinopterygii","Clupeiformes","Engraulidae","Engraulis japonicus","epipelagic","coastal","1","diel_yes","0","refuge_no","1","season_yes","elongated",18,0,"0","1","1","1","schooling","3.14","highly commercial"
"141","Actinopterygii","Gadiformes","Lotidae","Gaidropsarus vulgaris","demersal","continental shelf","0","diel_no","1","refuge_yes","0","season_no","elongated",65,0,"0","1","0","1","solitary","3.47","minor commercial"
"142","Actinopterygii","Myctophiformes","Myctophidae","Nannobrachium regale","mesopelagic","oceanic","1","diel_yes","0","refuge_no","1","season_yes","fusiform",21,0,"0","1","1","1","schooling","3.2","none"
"143","Actinopterygii","Pleuronectiformes","Pleuronectidae","Pleuronichthys decurrens","demersal","continental shelf","0","diel_no","1","refuge_yes","NA","season_NA","depressiform",37,0,"0","1","0","0","solitary","3.85","minor commercial"
"144","Actinopterygii","Perciformes","Tetragonuridae","Tetragonurus cuvieri","mesopelagic","oceanic","1","diel_yes","0","refuge_no","1","season_yes","elongated",70,1,"0","0","0","0","shoaling","3.78","none"
"145","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes miniatus","demersal","reef-associated","1","diel_yes","1","refuge_yes","NA","season_NA","fusiform",91,1,"0","1","0","0","shoaling","3.9","minor commercial"
"146","Actinopterygii","Myctophiformes","Myctophidae","Tarletonbeania crenularis","mesopelagic","oceanic","1","diel_yes","0","refuge_no","NA","season_NA","fusiform",12.7,0,"0","1","1","1","schooling","3.13","none"
"147","Actinopterygii","Beloniformes","Belonidae","Belone belone","epipelagic","coastal","0","diel_no","0","refuge_no","1","season_yes","elongated",103.5,0,"0","0","1","1","schooling","4.16","commercial"
"148","Actinopterygii","Clupeiformes","Clupeidae","Sardina pilchardus","epipelagic","coastal","1","diel_yes","0","refuge_no","1","season_yes","fusiform",27.5,0,"0","0","1","1","schooling","3.06","highly commercial"
"149","Actinopterygii","Perciformes","Carangidae","Trachurus trachurus","epipelagic","coastal","1","diel_yes","0","refuge_no","1","season_yes","fusiform",70,1,"0","0","1","1","schooling","3.71","highly commercial"
"150","Actinopterygii","Perciformes","Gobiidae","Rhinogobiops nicholsii","benthic","continental shelf","0","diel_no","1","refuge_yes","1","season_yes","elongated",15,1,"0","1","0","0","shoaling","3.369999886","none"
"151","Actinopterygii","Stomiiformes","Stomiidae","Bathophilus flemingi","mesopelagic","oceanic","1","diel_yes","0","refuge_no","NA","season_NA","elongated",16,0,"0","1","0","0","solitary","3.5","none"
"152","Cephalopoda","Vampyromorpha","Vampyroteuthidae","Vampyroteuthis infernalis","mesopelagic","oceanic","1","diel_yes","0","refuge_no","0","season_no","globiform",30,0,"0","0","0","0","solitary","3.47","none"
"153","Actinopterygii","Clupeiformes","Clupeidae","Clupea pallasii","epipelagic","coastal","1","diel_yes","0","refuge_no","1","season_yes","fusiform",46,0,"0","0","1","1","schooling","3.16","highly commercial"
"154","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes maliger","demersal","reef-associated","NA","diel_UN","1","refuge_yes","1","season_yes","fusiform",61,1,"0","1","0","0","solitary","3.84","commercial"
"155","Actinopterygii","Argentiniformes","Bathylagidae","Leuroglossus stilbius","mesopelagic","oceanic","1","diel_yes","0","refuge_no","1","season_yes","fusiform",15,0,"0","0","1","1","schooling","3.26","none"
"156","Actinopterygii","Lampriformes","Trachipteridae","Desmodema polystictum","mesopelagic","oceanic","NA","diel_UN","0","refuge_no","NA","season_NA","eel-like",110,0,"0","1","1","1","solitary","4.1500000000000004","commercial"
"157","Actinopterygii","Aulopiformes","Chlorothalmidae","Chlorophthalmus agassizi","demersal","continental shelf","0","diel_no","0","refuge_no","1","season_yes","elongated",40,0,"0","1","1","0","schooling","3.66","minor commercial"
"158","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes aleutianus","demersal","continental shelf","1","diel_yes","1","refuge_yes","1","season_yes","fusiform",97,1,"0","0","0","0","shoaling","3.52","commercial"
"159","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes brevispinis","demersal","continental shelf","0","diel_no","1","refuge_yes","1","season_yes","fusiform",71,1,"0","0","1","1","shoaling","3.8","commercial"
"160","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes diploproa","demersal","continental shelf","0","diel_no","1","refuge_yes","1","season_yes","fusiform",46,1,"0","1","1","1","shoaling","3.7","minor commercial"
"161","Actinopterygii","Scorpaeniformes","Triglidae","Eutrigla gurnardus","demersal","continental shelf","0","diel_no","1","refuge_yes","1","season_yes","elongated",60,1,"0","1","1","1","shoaling","3.87","commercial"
"162","Actinopterygii","Pleuronectiformes","Bothidae","Arnoglossus imperialis","benthic","continental shelf","1","diel_yes","1","refuge_yes","1","season_yes","depressiform",25,0,"0","1","0","0","solitary","3.84","commercial"
"163","Actinopterygii","Gadiformes","Merlucciidae","Merluccius productus","demersal","continental shelf","1","diel_yes","0","refuge_no","1","season_yes","elongated",91,0,"0","0","1","1","schooling","4.3499999999999996","highly commercial"
"164","Actinopterygii","Osmeriformes","Osmeridae","Thaleichthys pacificus","epipelagic","coastal","1","diel_yes","0","refuge_no","1","season_yes","elongated",34,0,"0","0","1","1","schooling","3.25","commercial"
"165","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes wilsoni","demersal","continental shelf","1","diel_yes","1","refuge_yes","1","season_yes","fusiform",23,1,"0","1","0","0","shoaling","3.6","recreational"
"166","Actinopterygii","Aulopiformes","Paralepididae","Lestidiops ringens","mesopelagic","oceanic","1","diel_yes","0","refuge_no","NA","season_NA","elongated",21,0,"1","0","1","0","schooling","4.05","none"
"167","Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys sordidus","demersal","continental shelf","1","diel_yes","1","refuge_yes","1","season_yes","depressiform",41,0,"0","1","0","0","solitary","3.46","commercial"
"168","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes proriger","demersal","continental shelf","0","diel_no","1","refuge_yes","1","season_yes","fusiform",61,1,"0","1","1","1","shoaling","3.8","commercial"
"169","Actinopterygii","Scorpaeniformes","Gonatidae","Helicolenus dactylopterus","demersal","continental shelf","NA","diel_UN","1","refuge_yes","1","season_yes","fusiform",50,1,"0","1","0","0","schooling","3.54","commercial"
"170","Actinopterygii","Lampriformes","Trachipteridae","Trachipterus trachypterus","mesopelagic","oceanic","NA","diel_UN","0","refuge_no","NA","season_NA","eel-like",300,0,"1","1","1","0","solitary","2.88","minor commercial"
"171","Actinopterygii","Pleuronectiformes","Pleutonectidae","Microstomus pacificus","demersal","continental shelf","1","diel_yes","1","refuge_yes","1","season_yes","depressiform",76,0,"0","1","0","0","shoaling","3.22","minor commercial"
"172","Actinopterygii","Pleutonectiformes","Pleuronectidae","Glyptocephalus zachirus","demersal","continental shelf","0","diel_no","1","refuge_yes","1","season_yes","depressiform",60,0,"0","1","0","0","solitary","3.25","commercial"
"173","Actinopterygii","Ophidiiformes","Ophdiidae","Chilara taylori","demersal","continental shelf","NA","diel_UN","1","refuge_yes","NA","season_NA","eel-like",40.4,0,"0","1","0","0","solitary","4.07","none"
"174","Actinopterygii","Scorpaeniformes","Anoplopomatidae","Anoplopoma fimbria","demersal","continental shelf","1","diel_yes","1","refuge_yes","1","season_yes","fusiform",120,1,"0","1","0","0","solitary","3.84","highly commercial"
"175","Actinopterygii","Perciformes","Anarhichadidae","Anarrhichthys ocellatus","demersal","continental shelf","0","diel_no","1","refuge_yes","0","season_no","eel-like",240,1,"0","1","0","0","solitary","3.51","minor commercial"
"176","Actinopterygii","Perciformes","Coryphaenidae","Coryphaena hippurus","epipelagic","oceanic","0","diel_no","0","refuge_no","1","season_yes","elongated",210,0,"0","1","1","1","schooling","4.37","highly commercial"
"177","Actinopterygii","Perciformes","Nomeidae","Cubiceps gracilis","epipelagic","oceanic","NA","diel_UN","1","refuge_yes","1","season_yes","fusiform",107,0,"0","0","1","0","shoaling","3.4","none"
"178","Actinopterygii","Aulopiformes","Anotopteridae","Anotopterus nikparini","bathypelagic","oceanic","NA","diel_UN","0","refuge_no","1","season_yes","elongated",146,0,"0","0","1","1","solitary","4.5","none"
"179","Actinopterygii","Aulopiformes","Paralepididae","Macroparalepis affinis","mesopelagic","oceanic","1","diel_yes","0","refuge_no","NA","season_NA","elongated",55,0,"1","0","1","0","schooling","4.0999999999999996","none"
"180","Actinopterygii","Aulopiformes","Paralepididae","Sudis hyalina","mesopelagic","oceanic","NA","diel_UN","0","refuge_no","1","season_yes","elongated",100,0,"1","0","1","0","schooling","4.2","none"
"181","Actinopterygii","Beloniformes","Belonidae","Strongylura exilis","epipelagic","coastal","NA","diel_UN","0","refuge_no","1","season_yes","elongated",91,0,"0","0","1","1","schooling","4.5","minor commercial"
"182","Actinopterygii","Perciformes","Blenniidae","Blennius ocellaris","benthic","continental shelf","0","diel_no","1","refuge_yes","NA","season_NA","elongated",20,1,"0","1","0","0","solitary","3.49","minor commercial"
"183","Actinopterygii","Perciformes","Bramidae","Brama orcini","epipelagic","continental shelf","1","diel_yes","0","refuge_no","1","season_yes","compressiform",42,0,"0","0","1","1","schooling","3.9","minor commercial"
"184","Actinopterygii","Perciformes","Caproidae","Antigonia capros","demersal","continental shelf","NA","diel_UN","0","refuge_no","NA","season_NA","compressiform",30.5,1,"0","0","1","0","shoaling","4.05","minor commercial"
"185","Actinopterygii","Perciformes","Caproidae","Capros aper","demersal","continental shelf","NA","diel_UN","1","refuge_yes","NA","season_NA","compressiform",30,1,"0","0","1","0","schooling","3.14","of no interest"
"186","Actinopterygii","Perciformes","Embiotocidae","Cymatogaster aggregata","demersal","coastal","0","diel_no","1","refuge_yes","1","season_yes","compressiform",20.3,1,"0","1","1","0","shoaling","2.99","minor commercial"
"187","Actinopterygii","Perciformes","Labridae","Halichoeres nicholsi","demersal","reef-associated","0","diel_no","1","refuge_yes","0","season_no","fusiform",38,1,"0","1","0","0","solitary","4","none"
