"","prey_sp","b_shape_r","eye_body_r","standard_total"
"1","Abralia redfieldi",3.91441550657428,0.0848775355631824,0.526756112303038
"2","Abraliopsis affinis",5.34538495821609,0.0697949529570643,0.456921391606816
"3","Abraliopsis felis",5.28057889844523,0.050754532481781,0.458302808973147
"4","Abraliopsis gilchristi",5.63084699136462,0.0501037359549266,0.422439939371084
"5","Abraliopsis morisii",8.38990602283222,0.0421377421237308,0.349336874571408
"6","Acanthephyra pelagica",6.23705788599511,0.0221404596661903,0.800545022150694
"7","Alepisaurus ferox",14.3410788483398,0.0260265732773525,0.881745650515243
"8","Alloteuthis subulata",7.0034787439957,0.0558524682657779,0.72505559450195
"9","Alpheus glaber",5.77047205247166,0.0282400040246912,0.880318216897512
"10","Ammodytes tobianus",11.3523436326923,0.0281744212699575,1.91282657932961
"11","Anarrhichthys ocellatus",9.95801472670632,0.016591182179499,0
"12","Ancistrocheirus lesueurii",6.53010348142899,0.0619700709073132,0.415195399779098
"13","Ancistroteuthis lichtensteinii",8.59555139407798,0.0444971717754115,0.560045638956997
"14","Anoplopoma fimbria",5.49404925178233,0.0257709118576891,0.849833637963547
"15","Anotopterus nikparini",14.4544897925629,0.019153685579617,0.937415037925359
"16","Anotopterus pharao",14.608832623648,0.0312489094290915,0.927838531772894
"17","Antigonia capros",1.12770537703403,0.0968418878724362,0.754523587756125
"18","Antimora rostrata",5.15575784349625,0.0428873675194979,0.89197088973677
"19","Arctozenus risso",13.1973470810214,0.0307084096156233,0.916094246251108
"20","Argonauta argo",2.77803979041028,0.0687717239198642,0.500065631996491
"21","Argonauta nodosus",1.74109797924799,0.100304885680282,0.444491217911405
"22","Argyropelecus aculeatus",1.68311866984355,0.109884274313756,0.841177800826606
"23","Argyropelecus olfersii",1.97490772453378,0.0879693791807599,0.759731568098875
"24","Arnoglossus imperialis",2.95439822313399,0.0599815112173624,0.843008555060385
"25","Ateleopus natalensis",13.3488106490233,0.0181441084752163,0.94681268494452
"26","Atherinopsis californiensis",6.09838378126636,0.0363555883334569,0.82531001977582
"27","Atlanta peronii",1.60585905475616,0.0559896299204382,NA
"28","Axius stirhynchus",5.40001686237732,0.0153916311884278,0.841473690276954
"29","Balistes punctatus",2.31521759704951,0.0583284431658351,0.817719444437945
"30","Barathronus parfaiti",5.51114255394411,0,NA
"31","Bathophilus flemingi",8.63390629331855,0.0230372481335795,0.913341896122662
"32","Bathyagonus pentacanthus",10.6982645836794,0.0476063468486023,0.89496442103633
"33","Bathylagoides wesethi",7.92963727743795,0.0851668058762836,0.859175551515747
"34","Belone belone",16.6221510919748,0.0222358496041477,0.882398975225071
"35","Benthosema glaciale",4.76479999027014,0.0736038935586767,0.769068343602686
"36","Berryteuthis anonychus",5.41472852037061,0.0539881723935213,0.606897526662022
"37","Beryx splendens",3.31717375787226,0.0963723017930209,0.786926233530097
"38","Blennius ocellaris",4.27898298111615,0.128342694057521,0.794358354390595
"39","Boops boops",4.6049216738429,0.0729212876457039,0.817281480481137
"40","Brachioteuthis riisei",6.88338765892976,0.0672648224495483,0.645379956290468
"41","Brachyscelus crusculum",4.25470332127997,0.117075714794915,0.778255217418605
"42","Brama brama",2.83664382008211,0.0478158503032996,0.757359497010879
"43","Brama orcini",2.65651997711393,0.0628232329953204,0.692844722207276
"44","Bregmaceros mcclellandi",6.39146003196012,0.0409421713537944,0.911375302229822
"45","Calanus finmarchicus",4.41728752798318,0,0.677102832890904
"46","Canthidermis maculata",3.07111547875522,0.0462861369896785,0.830266635429824
"47","Capros aper",2.2884468276774,0.114707019421275,0.761140992517296
"48","Carinaria lamarckii",4.27872275311848,0,1
"49","Centrolophus niger",4.21282623849809,0.0392637426586238,0.798607587415024
"50","Ceratias tentaculatus",2.87649927478139,0.016449969931753,0.716383849548678
"51","Ceratoscopelus maderensis",6.06699915722744,0.0821437739952277,0.769065335336972
"52","Ceratoscopelus townsendi",5.81498036971857,0.0788866667037566,0.771725736829658
"53","Ceratoscopelus warmingii",5.95778808142091,0.0724484697762948,0.755350796135803
"54","Chelophyes appendiculata",4.10585429301604,0,1
"55","Chiasmodon niger",7.12672753263239,0.0396079535991368,0.835047279971112
"56","Chilara taylori",6.88167236075799,0.0412058946597092,1
"57","Chiroteuthis veranii",11.6644740226409,0.0586785201725694,0.271312387273858
