"prey_class","prey_order","prey_family","prey_sp","measure","adult","juvenile","larva","larva_adult","juve_adult"
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes aleutianus","l_max",97,47,3.6736655068148,3.78728402764412,48.4536082474227
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes aleutianus","l_min",47,5,0.41,0.872340425531915,10.6382978723404
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes brevispinis","l_max",71,46,3.63386610357306,5.11812127263811,64.7887323943662
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes brevispinis","l_min",46,15,0.4,0.869565217391304,32.6086956521739
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes diploproa","l_max",46,19,3.65363966304346,7.9426949196597,41.304347826087
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes diploproa","l_min",19,4.7497315619565,0.47,2.47368421052632,24.9985871681921
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes helvomaculatus","l_max",41,23,1.91934765346977,4.68133574017017,56.0975609756098
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes helvomaculatus","l_min",23,1.91934765346977,0.504443934565774,2.19323449811206,8.34498979769465
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes maliger","l_max",61,31,1.76775601145222,2.89796067451184,50.8196721311475
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes maliger","l_min",31,1.76775601145222,0.5,1.61290322580645,5.70243874662006
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes miniatus","l_max",91,37,2.73764457261111,3.00840062924298,40.6593406593407
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes miniatus","l_min",37,2.73764457261111,0.547528914522221,1.47980787708708,7.39903938543543
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes proriger","l_max",61,30,4.67083394137726,7.65710482192993,49.1803278688525
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes proriger","l_min",30,4.67083394137726,0.54,1.8,15.5694464712575
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes wilsoni","l_max",23,NA,4.25864755175835,18.5158589206885,NA
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes wilsoni","l_min",NA,4.25864755175835,NA,NA,NA
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes zacentrus","l_max",45,25,2.04513449788201,4.54474332862669,55.5555555555556
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes zacentrus","l_min",25,2.04513449788201,0.525019602441352,2.10007840976541,8.18053799152804
"Actinopterygii","Scorpaeniformes","Triglidae","Eutrigla gurnardus","l_max",60,18.8,3.65063028854464,6.08438381424107,31.3333333333333
"Actinopterygii","Scorpaeniformes","Triglidae","Eutrigla gurnardus","l_min",18.8,3.65063028854464,0.365063028854464,1.9418246215663,19.418246215663
"Actinopterygii","Stephanoberyciformes","Melamphaidae","Melamphaes lugubris","l_max",16,4,1.52,9.5,25
"Actinopterygii","Stephanoberyciformes","Melamphaidae","Melamphaes lugubris","l_min",4,1.52,0.53,13.25,38
