"StudyID","CiteYear","OceanBasin","OceanBasinQ","LocatName","LocatLatitude","LocatLongitude","MonthRange","YearEnd","stomachs_used","pred_life","lat_cat","pred_life_adjust","province","code","optional"
"Goni2011","2011.0","N Atlantic","NE Atlantic","Bay of Biscay (Zone 2)",47.8,-10,"Aug–Oct",2004,"19","juvenile, adult","temperate","mixed","Westerlies - N. Atlantic Drift Province (WWDR)","NADR",TRUE
"Goni2011","2011.0","N Atlantic","NE Atlantic","Bay of Biscay (Zone 2)",47.8,-10,"Jul",2005,"14","juvenile, adult","temperate","mixed","Westerlies - N. Atlantic Drift Province (WWDR)","NADR",TRUE
"Goni2011","2011.0","N Atlantic","NE Atlantic","Bay of Biscay (Zone 2)",47.8,-10,"Jul",2006,"39","juvenile, adult","temperate","mixed","Westerlies - N. Atlantic Drift Province (WWDR)","NADR",TRUE
"Goni2011","2011.0","N Atlantic","NE Atlantic","Bay of Biscay (Zone 3)",46.7,-5.6,"Aug",2005,"29","juvenile, adult","temperate","mixed","Westerlies - N. Atlantic Drift Province (WWDR)","NADR",TRUE
"Goni2011","2011.0","N Atlantic","NE Atlantic","Bay of Biscay (Zone 3)",46.7,-5.6,"Sep–Oct",2006,"32","juvenile, adult","temperate","mixed","Westerlies - N. Atlantic Drift Province (WWDR)","NADR",TRUE
"Goni2011","2011.0","N Atlantic","NE Atlantic","Bay of Biscay (Zone 4)",45.4,-3.5,"Jul–Sep",2006,"22","juvenile, adult","temperate","mixed","Westerlies - N. Atlantic Drift Province (WWDR)","NADR",TRUE
"Goni2011","2011.0","N Atlantic","NE Atlantic","Bay of Biscay (Zone 5)",44,-2.7,"Jun–Oct",2005,"186","juvenile, adult","temperate","mixed","Coastal - Canary Coastal Province (EACB)","CNRY",TRUE
"Goni2011","2011.0","N Atlantic","NE Atlantic","Bay of Biscay (Zone 5)",44,-2.7,"Jun–Oct",2006,"58","juvenile, adult","temperate","mixed","Coastal - Canary Coastal Province (EACB)","CNRY",TRUE
"Goni2011","2011.0","N Atlantic","NE Atlantic","Bay of Biscay (Zone 5)",44,-2.7,"Aug–Oct",2007,"31","juvenile, adult","temperate","mixed","Coastal - Canary Coastal Province (EACB)","CNRY",TRUE
"Hart1948","1948.0","N Pacific","NE Pacific","Deck Collection Washington Coast",47.046499,-124.79124,NA,1947,"4","juvenile","temperate","juvenile","Coastal - California Upwelling Coastal Province","CCAL",TRUE
"Hart1948","1948.0","N Pacific","NE Pacific","Vancouver Island",49.117928,-127.546089,NA,1941,"214","juvenile","temperate","juvenile","Coastal - California Upwelling Coastal Province","CCAL",TRUE
"Hart1948","1948.0","N Pacific","NE Pacific","Vancouver Island",49.117928,-127.546089,NA,1946,"3","juvenile","temperate","juvenile","Coastal - California Upwelling Coastal Province","CCAL",TRUE
"Hart1948","1948.0","N Pacific","NE Pacific","Washington Coast",47.046499,-124.79124,NA,1941,"196","juvenile","temperate","juvenile","Coastal - California Upwelling Coastal Province","CCAL",TRUE
"Hart1948","1948.0","N Pacific","NE Pacific","Washington Coast",47.046499,-124.79124,NA,1945,"45","juvenile","temperate","juvenile","Coastal - California Upwelling Coastal Province","CCAL",TRUE
"Hart1948","1948.0","N Pacific","NE Pacific","Washington Coast",47.046499,-124.79124,NA,1946,"222","juvenile","temperate","juvenile","Coastal - California Upwelling Coastal Province","CCAL",TRUE
"Hart1948","1948.0","N Pacific","NE Pacific","Washington Coast",47.046499,-124.79124,NA,1947,"84","juvenile","temperate","juvenile","Coastal - California Upwelling Coastal Province","CCAL",TRUE
"Iversen1962","1962.0","N Pacific","NE Pacific","Central NE Pacific",15,-150,"Year-round",1957,"348","juvenile","tropical","juvenile","Trades - N. Pacific Tropical Gyre Province","NPTG",TRUE
"Jordan1880","1880.0","N Pacific","NE Pacific","Central CA, Santa Barbara Channel",34.345859,-119.723274,NA,1880,"1","juvenile","temperate","juvenile","Coastal - California Upwelling Coastal Province","CCAL",TRUE
"Joubin1918","1918.0","N Atlantic","NE Atlantic","Golfe de Gascogne",46.307336,-12.25,NA,1918,"none reported","adult","temperate","adult","Westerlies - N. Atlantic Drift Province (WWDR)","NADR",TRUE
"Madigan2015","2015.0","N Pacific","NE Pacific","Mexico to California",34.633208,-124.292542,"Jul–Oct",2010,"86","juvenile","temperate","juvenile","Coastal - California Upwelling Coastal Province","CCAL",TRUE
"Matthews1977","1977.0","N Atlantic","NW Atlantic","NW Atlantic",38,-56,NA,1964,"38","adult","temperate","adult","Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)","NASW",TRUE
"McHugh1952","1952.0","N Pacific","NE Pacific","Baja to northern CA",32.5,-121,"Jun & Oct",1949,"301","juvenile","temperate","juvenile","Coastal - California Upwelling Coastal Province","CCAL",TRUE
"Monaco1888","1888.0","Mediterranean","Mediterranean","Mediterranean",34.061761,19.209595,"Sep",1888,"none reported","adult","temperate","adult","Westerlies - Mediterranean Sea, Black Sea Province","MEDI",TRUE
"OrtizZarate1987","1987.0","N Atlantic","NE Atlantic","Bay of Biscay",46.986108,-5.407589,NA,1968,"97","juvenile, adult","temperate","mixed","Coastal - NE Atlantic Shelves Province","NECS",TRUE
"Pinkas1971","1971.0","N Pacific","NE Pacific","Central California (Region 2)",35.283333333,-122,"Jul–Nov",1968,"286","juvenile, adult","temperate","mixed","Coastal - California Upwelling Coastal Province","CCAL",TRUE
"Pinkas1971","1971.0","N Pacific","NE Pacific","Oregon-Washington (Region 3)",45,-126,"Jul–Nov",1968,"177","juvenile, adult","temperate","mixed","Coastal - California Upwelling Coastal Province","CCAL",TRUE
"Pinkas1971","1971.0","N Pacific","NE Pacific","Oregon-Washington (Region 3)",45,-126,"Jul–Sep",1969,"20","juvenile, adult","temperate","mixed","Coastal - California Upwelling Coastal Province","CCAL",TRUE
"Pinkas1971","1971.0","N Pacific","NE Pacific","Southern California (Region 1)",32,-119.5,"Jul–Nov",1968,"222","juvenile, adult","temperate","mixed","Coastal - California Upwelling Coastal Province","CCAL",TRUE
