"StudyID","CiteAuth","LocatLatitude"
"Aloncle1973","Aloncle, H.",44.632016
"Aloncle1973","Aloncle, H.",44.632016
"Aloncle1973","Aloncle, H.",44.632016
"Aloncle1973","Aloncle, H.",44.632016
"Aloncle1973","Aloncle, H.",44.632016
"Aloncle1973","Aloncle, H.",44.632016
"Aloncle1973","Aloncle, H.",44.632016
"Aloncle1973","Aloncle, H.",44.632016
"Aloncle1973","Aloncle, H.",44.632016
"Aloncle1973","Aloncle, H.",44.632016
"Aloncle1973","Aloncle, H.",44.632016
"Aloncle1973","Aloncle, H.",44.632016
"Aloncle1973","Aloncle, H.",44.632016
"Aloncle1973","Aloncle, H.",44.632016
"Aloncle1973","Aloncle, H.",44.632016
"Bello1999","Bello, G.",41.096462
"Bello1999","Bello, G.",41.096462
"Bello1999","Bello, G.",41.096462
"Bello1999","Bello, G.",41.2
"Bello1999","Bello, G.",41.2
"Bello1999","Bello, G.",41.2
"Bernard1985","Bernard et al.",35.358333
"Bouxin&Legendre","Legendre & Bouxin",48
"Bouxin&Legendre","Legendre & Bouxin",48
"Bouxin&Legendre","Legendre & Bouxin",48
"Bouxin&Legendre","Legendre & Bouxin",48
"Bouxin&Legendre","Legendre & Bouxin",48
"Bouxin&Legendre","Legendre & Bouxin",48
"Bouxin&Legendre","Legendre & Bouxin",48
"Bouxin&Legendre","Legendre & Bouxin",48
"Bouxin&Legendre","Legendre & Bouxin",48
"Bouxin&Legendre","Legendre & Bouxin",48
"Bouxin&Legendre","Legendre & Bouxin",48
"Bouxin&Legendre","Legendre & Bouxin",48
"Bouxin&Legendre","Legendre & Bouxin",48
"Bouxin&Legendre","Legendre & Bouxin",48
"Bouxin&Legendre","Legendre & Bouxin",48
"Bouxin&Legendre","Legendre & Bouxin",48
"Bouxin&Legendre","Legendre & Bouxin",48
"Bouxin&Legendre","Legendre & Bouxin",48
"Bouxin&Legendre","Legendre & Bouxin",48
"Bouxin&Legendre","Legendre & Bouxin",48
"Bouxin&Legendre","Legendre & Bouxin",48
"Bouxin&Legendre","Legendre & Bouxin",48
"Bouxin&Legendre","Legendre & Bouxin",48
"Bouxin&Legendre","Legendre & Bouxin",48
"Bouxin&Legendre","Legendre & Bouxin",48
"Bouxin&Legendre","Legendre & Bouxin",48
"Bouxin&Legendre","Legendre & Bouxin",48
"Bouxin&Legendre","Legendre & Bouxin",48
"Bouxin&Legendre","Legendre & Bouxin",48
"Bouxin&Legendre","Legendre & Bouxin",48
"Bouxin&Legendre","Legendre & Bouxin",48
"Bouxin&Legendre","Legendre & Bouxin",48
"Bouxin&Legendre","Legendre & Bouxin",48
"Bouxin&Legendre","Legendre & Bouxin",48
"Bouxin&Legendre","Legendre & Bouxin",48
"Bouxin&Legendre","Legendre & Bouxin",48
"Bouxin&Legendre","Legendre & Bouxin",48
