prey_sp,prey_age_reported_1,maxTL,meanGAPE,l_adult,meanLENGTH,meanFRAC,larva_adult_use,juve_adult_use,life_stage,maxFO,maxN,maxM
Desmodema polystictum,none,0,7.38732,110,7.38732,6.715745455,2.5,60,juvenile,0,0,0
Diacria trispinosa,none,0,8.377663333,NA,NA,NA,NA,NA,adult,5.714285714,0.3,0.1
Diaphus effulgens,none,0,9.61765,6.056514851,6.056514851,100,17.33971076,55.03212622,adult,2.1,0.2,0.2
Diaphus lucidus,none,0,9.61765,14.80545735,9.61765,64.9601682,17.33971076,60.78839569,adult,7.9,5.8,4.4
Diaphus luetkeni,adult,0,7.75767,10.33197498,7.75767,75.08409585,17.33971076,46.59090909,adult,2.857142857,0,0
Diaphus ostenfeldi,none,0,9.61765,15.19915311,9.61765,63.27753875,17.33971076,55.03212622,adult,0.7,0,0
Diaphus perspicillatus,none,0,9.61765,8.756025667,8.756025667,100,17.33971076,57.10353293,adult,7.9,5.8,5
Diaphus theta,adult,6.6,7.97988,11.4,6.6,57.89473684,12.01754386,48.24561404,adult,1,0,0.1
Diaphus theta,none,0,7.106738725,11.4,7.106738725,62.33981338,12.01754386,48.24561404,adult,5.6,9.8,0.2
Diplodus sargus,none,0,7.75767,45,7.75767,17.23926667,2.222222222,46.66666667,juvenile,2.857142857,0,0
Diplospinus multistriatus,none,16.42202764,10.0703,35.88919949,16.42202764,45.75757576,5.272727273,48.48484848,juvenile,8,0,0
Diretmus argenteus,none,0,9.61765,27.6,9.61765,34.84655797,7.261305637,47.42857143,juvenile,11.4,2.6,4.6
Doryteuthis opalescens,juvenile,0.06,7.97988,29.13081929,0.06,0.205967431,7.894736842,36.84210526,juvenile,9,1,3.3
Doryteuthis opalescens,none,0,7.505832,29.13081929,7.505832,25.76594885,7.894736842,36.84210526,juvenile,13.4,6.044376435,22.66385602
Dosidicus gigas,none,0,7.6836,400,7.6836,1.9209,0.257281832,7.425,juvenile,1.162790698,0.1,3.350838928
Echinosquilla guerinii,none,0,7.2721,8.1,7.2721,89.77901235,13.22770383,35.93848364,adult,0.6,#DIV/0!,0
Electrona risso,adult,0,7.75767,9.876791714,7.75767,78.54443249,12.19512195,70.73170732,adult,5.714285714,0,0
Electrona risso,none,0,9.61765,9.876791714,9.61765,97.37625616,12.19512195,70.73170732,adult,0.5,0.1,0.1
Eledone cirrhosa,none,0,7.7770105,55,7.7770105,14.14001909,6.090503312,20.18181818,juvenile,8,0.16,0
