"","StudyID","rep_ID","YearEnd","OceanBasin","prob.clust.num","clustFO","totalFO","relFO"
"58","Clemens&Iselin1963","Clemens&Iselin1963_12",1961,"N Pacific","5",0,0,NA
"59","Clemens&Iselin1963","Clemens&Iselin1963_13",1961,"N Pacific","2",0,0,NA
"60","Clemens&Iselin1963","Clemens&Iselin1963_13",1961,"N Pacific","4",0,0,NA
"61","Clemens&Iselin1963","Clemens&Iselin1963_13",1961,"N Pacific","5",0,0,NA
"62","Clemens&Iselin1963","Clemens&Iselin1963_14",1961,"N Pacific","1",0,0,NA
"63","Clemens&Iselin1963","Clemens&Iselin1963_14",1961,"N Pacific","2",0,0,NA
"64","Clemens&Iselin1963","Clemens&Iselin1963_14",1961,"N Pacific","3",0,0,NA
"65","Clemens&Iselin1963","Clemens&Iselin1963_14",1961,"N Pacific","4",0,0,NA
"66","Clemens&Iselin1963","Clemens&Iselin1963_14",1961,"N Pacific","5",0,0,NA
"67","Clemens&Iselin1963","Clemens&Iselin1963_14",1961,"N Pacific","6",0,0,NA
"68","Clemens&Iselin1963","Clemens&Iselin1963_15",1961,"N Pacific","1",0,0,NA
"69","Clemens&Iselin1963","Clemens&Iselin1963_15",1961,"N Pacific","4",0,0,NA
"70","Clemens&Iselin1963","Clemens&Iselin1963_15",1961,"N Pacific","5",0,0,NA
"71","Clemens&Iselin1963","Clemens&Iselin1963_15",1961,"N Pacific","7",0,0,NA
"72","Clemens&Iselin1963","Clemens&Iselin1963_16",1961,"N Pacific","1",0,0,NA
"73","Clemens&Iselin1963","Clemens&Iselin1963_16",1961,"N Pacific","2",0,0,NA
"74","Clemens&Iselin1963","Clemens&Iselin1963_16",1961,"N Pacific","3",0,0,NA
"75","Clemens&Iselin1963","Clemens&Iselin1963_16",1961,"N Pacific","4",0,0,NA
"76","Clemens&Iselin1963","Clemens&Iselin1963_16",1961,"N Pacific","5",0,0,NA
"77","Clemens&Iselin1963","Clemens&Iselin1963_16",1961,"N Pacific","6",0,0,NA
"78","Clemens&Iselin1963","Clemens&Iselin1963_16",1961,"N Pacific","7",0,0,NA
"79","Clemens&Iselin1963","Clemens&Iselin1963_17",1961,"N Pacific","1",0,0,NA
"80","Consoli2008","Consoli2008_18",2006,"Mediterranean","1",9.4827586205,18.965517241,0.5
"81","Consoli2008","Consoli2008_18",2006,"Mediterranean","2",0.8620689655,18.965517241,0.0454545454545455
"82","Consoli2008","Consoli2008_18",2006,"Mediterranean","3",3.448275862,18.965517241,0.181818181818182
"83","Consoli2008","Consoli2008_18",2006,"Mediterranean","5",2.5862068965,18.965517241,0.136363636363636
"84","Consoli2008","Consoli2008_18",2006,"Mediterranean","6",2.5862068965,18.965517241,0.136363636363636
"85","DosSantos&Haimovici2002","DosSantos&Haimovici2002_19",1998,"S Atlantic","1",12,88,0.136363636363636
"86","DosSantos&Haimovici2002","DosSantos&Haimovici2002_19",1998,"S Atlantic","2",12,88,0.136363636363636
"87","DosSantos&Haimovici2002","DosSantos&Haimovici2002_19",1998,"S Atlantic","3",29,88,0.329545454545455
"88","DosSantos&Haimovici2002","DosSantos&Haimovici2002_19",1998,"S Atlantic","4",20,88,0.227272727272727
"89","DosSantos&Haimovici2002","DosSantos&Haimovici2002_19",1998,"S Atlantic","5",15,88,0.170454545454545
"90","Glaser2015","Glaser2015_20",2006,"N Pacific","1",30,170,0.176470588235294
"91","Glaser2015","Glaser2015_20",2006,"N Pacific","2",12,170,0.0705882352941176
"92","Glaser2015","Glaser2015_20",2006,"N Pacific","4",22,170,0.129411764705882
