"","StudyID","CiteAuth","CiteYear","OceanBasin","OceanBasinQ","LocatName","LocatLatitude","LocatLongitude","MonthRange","YearEnd","stomachs_used","pred_life","pred_life_est","pred_age","pred_age_est","pred_flmean","pred_flmean_se","pred_flmean_est","pred_flmin","pred_flmax","pred_flest","est_note","est_ref","prey_class","prey_order","prey_family","prey_sp","prey_age_reported_1","prey_age_reported_2","prey_age_use","Include","FO","pFOuse","N","pN","Total Mass (g)","pM","maxl_use","maxl_type","gape_lmax","gape_height_limit","b_shape_r","eye_body_r","standard_total","maxtl_use"
"1","Aloncle1973","Aloncle, H.","1973.0","N Atlantic","NE Atlantic","NE Atlantic, Spain, France, Azores",44.632016,-5.5,"May–Sep",1971,"1754.0","juvenile, adult","NH estimated based on geography","1–5 yo","estimated (N Atlantic growth curve)",72.9,NA,"ICCAT data, 1970's ll estimate",39,83,"measured",NA,"Aloncle & Delaporte (1974); Goni et al. (2011); Santiago & Arrizabalaga (2005) for growth curve","Actinopterygii","Perciformes","Nomeidae","Cubiceps gracilis","none",NA,"0","Yes",0,10,0,0,0,0,120,"TL",7.75767,6.39634,4.70501050417852,0.0648165101356274,0.796390424852737,120
"2","Aloncle1973","Aloncle, H.","1973.0","N Atlantic","NE Atlantic","NE Atlantic, Spain, France, Azores",44.632016,-5.5,"May–Sep",1971,"1754.0","juvenile, adult","NH estimated based on geography","1–5 yo","estimated (N Atlantic growth curve)",72.9,NA,"ICCAT data, 1970's ll estimate",39,83,"measured",NA,"Aloncle & Delaporte (1974); Goni et al. (2011); Santiago & Arrizabalaga (2005) for growth curve","Malacostraca","Euphausiacea","Euphausiidae","Nematoscelis megalops","adult",NA,"3","Yes",0,15.5,0,0,0,0,40,"TL",7.75767,6.39634,NA,NA,NA,40
"3","Aloncle1973","Aloncle, H.","1973.0","N Atlantic","NE Atlantic","NE Atlantic, Spain, France, Azores",44.632016,-5.5,"May–Sep",1971,"1754.0","juvenile, adult","NH estimated based on geography","1–5 yo","estimated (N Atlantic growth curve)",72.9,NA,"ICCAT data, 1970's ll estimate",39,83,"measured",NA,"Aloncle & Delaporte (1974); Goni et al. (2011); Santiago & Arrizabalaga (2005) for growth curve","Malacostraca","Decapoda","Scyllaridae","Scyllarus arctus","adult",NA,"3","Yes",15,0.1,173,0,0,0,0,"NO",7.75767,6.39634,3.76001132176856,0.0373931413000973,0.839270023685461,0
"4","Aloncle1973","Aloncle, H.","1973.0","N Atlantic","NE Atlantic","NE Atlantic, Spain, France, Azores",44.632016,-5.5,"May–Sep",1971,"1754.0","juvenile, adult","NH estimated based on geography","1–5 yo","estimated (N Atlantic growth curve)",72.9,NA,"ICCAT data, 1970's ll estimate",39,83,"measured",NA,"Aloncle & Delaporte (1974); Goni et al. (2011); Santiago & Arrizabalaga (2005) for growth curve","Actinopterygii","Sygnathiformes","Centriscidae","Macroramphosus scolopax","none",NA,"0","Yes",0,30,0,0,0,0,0,"NO",7.75767,6.39634,4.17374262668894,0.0748579500793388,0.864082841873616,0
"5","Aloncle1973","Aloncle, H.","1973.0","N Atlantic","NE Atlantic","NE Atlantic, Spain, France, Azores",44.632016,-5.5,"May–Sep",1971,"1754.0","juvenile, adult","NH estimated based on geography","1–5 yo","estimated (N Atlantic growth curve)",72.9,NA,"ICCAT data, 1970's ll estimate",39,83,"measured",NA,"Aloncle & Delaporte (1974); Goni et al. (2011); Santiago & Arrizabalaga (2005) for growth curve","Malacostraca","Decapoda","Acanthephyridae","Acanthephyra pelagica","adult",NA,"3","Yes",0,0.1,0,0,0,0,0,"NO",7.75767,6.39634,6.23705788599511,0.0221404596661903,0.800545022150694,0
"6","Aloncle1973","Aloncle, H.","1973.0","N Atlantic","NE Atlantic","NE Atlantic, Spain, France, Azores",44.632016,-5.5,"May–Sep",1971,"1754.0","juvenile, adult","NH estimated based on geography","1–5 yo","estimated (N Atlantic growth curve)",72.9,NA,"ICCAT data, 1970's ll estimate",39,83,"measured",NA,"Aloncle & Delaporte (1974); Goni et al. (2011); Santiago & Arrizabalaga (2005) for growth curve","Actinopterygii","Aulopiformes","Paralepididae","Lestidiops sphyrenoides","none",NA,"0","Yes",0,8.25,0,0,0,0,0,"NO",7.75767,6.39634,10.7012438507586,0.0407191255136835,0.929965209781006,0
"7","Aloncle1973","Aloncle, H.","1973.0","N Atlantic","NE Atlantic","NE Atlantic, Spain, France, Azores",44.632016,-5.5,"May–Sep",1971,"1754.0","juvenile, adult","NH estimated based on geography","1–5 yo","estimated (N Atlantic growth curve)",72.9,NA,"ICCAT data, 1970's ll estimate",39,83,"measured",NA,"Aloncle & Delaporte (1974); Goni et al. (2011); Santiago & Arrizabalaga (2005) for growth curve","Actinopterygii","Aulopiformes","Paralepididae","Arctozenus risso","none",NA,"0","Yes",0,8.25,0,0,0,0,0,"NO",7.75767,6.39634,13.1973470810214,0.0307084096156233,0.916094246251108,0
"8","Aloncle1973","Aloncle, H.","1973.0","N Atlantic","NE Atlantic","NE Atlantic, Spain, France, Azores",44.632016,-5.5,"May–Sep",1971,"1754.0","juvenile, adult","NH estimated based on geography","1–5 yo","estimated (N Atlantic growth curve)",72.9,NA,"ICCAT data, 1970's ll estimate",39,83,"measured",NA,"Aloncle & Delaporte (1974); Goni et al. (2011); Santiago & Arrizabalaga (2005) for growth curve","Actinopterygii","Aulopiformes","Paralepididae","Paralepis coregonoides","none",NA,"0","Yes",0,8.25,0,0,0,0,0,"NO",7.75767,6.39634,9.11753676406396,0.0420292661291814,0.889706862308886,0
"9","Aloncle1973","Aloncle, H.","1973.0","N Atlantic","NE Atlantic","NE Atlantic, Spain, France, Azores",44.632016,-5.5,"May–Sep",1971,"1754.0","juvenile, adult","NH estimated based on geography","1–5 yo","estimated (N Atlantic growth curve)",72.9,NA,"ICCAT data, 1970's ll estimate",39,83,"measured",NA,"Aloncle & Delaporte (1974); Goni et al. (2011); Santiago & Arrizabalaga (2005) for growth curve","Actinopterygii","Beloniformes","Scomberesocidae","Scomberesox saurus","none",NA,"0","Yes",0,16,0,0,0,0,0,"NO",7.75767,6.39634,NA,NA,NA,0
"10","Aloncle1973","Aloncle, H.","1973.0","N Atlantic","NE Atlantic","NE Atlantic, Spain, France, Azores",44.632016,-5.5,"May–Sep",1971,"1754.0","juvenile, adult","NH estimated based on geography","1–5 yo","estimated (N Atlantic growth curve)",72.9,NA,"ICCAT data, 1970's ll estimate",39,83,"measured",NA,"Aloncle & Delaporte (1974); Goni et al. (2011); Santiago & Arrizabalaga (2005) for growth curve","Malacostraca","Euphausiacea","Euphausiidae","Meganyctiphanes norvegica","adult",NA,"3","Yes",0,34.25,0,0,0,0,0,"NO",7.75767,6.39634,10.4618702268278,0.0467019428692065,0.826092344196988,0
