"prey_sp","b_shape_r","eye_body_r","standard_total"
"Abralia redfieldi",3.91441550657428,0.0848775355631824,0.526756112303038
"Abraliopsis affinis",5.34538495821609,0.0697949529570643,0.456921391606816
"Abraliopsis felis",5.28057889844523,0.050754532481781,0.458302808973147
"Abraliopsis gilchristi",5.63084699136462,0.0501037359549266,0.422439939371084
"Abraliopsis morisii",8.38990602283222,0.0421377421237308,0.349336874571408
"Acanthephyra pelagica",6.23705788599511,0.0221404596661903,0.800545022150694
"Alepisaurus ferox",14.3410788483398,0.0260265732773525,0.881745650515243
"Alloteuthis subulata",7.0034787439957,0.0558524682657779,0.72505559450195
"Alpheus glaber",5.77047205247166,0.0282400040246912,0.880318216897512
"Ammodytes tobianus",11.3523436326923,0.0281744212699575,1.91282657932961
"Anarrhichthys ocellatus",9.95801472670632,0.016591182179499,1
"Ancistrocheirus lesueurii",6.53010348142899,0.0619700709073132,0.415195399779098
"Ancistroteuthis lichtensteinii",8.59555139407798,0.0444971717754115,0.560045638956997
"Anoplopoma fimbria",5.49404925178233,0.0257709118576891,0.849833637963547
"Anotopterus nikparini",14.4544897925629,0.019153685579617,0.937415037925359
"Anotopterus pharao",14.608832623648,0.0312489094290915,0.927838531772894
"Antigonia capros",1.12770537703403,0.0968418878724362,0.754523587756125
"Antimora rostrata",5.15575784349625,0.0428873675194979,0.89197088973677
"Arctozenus risso",13.1973470810214,0.0307084096156233,0.916094246251108
"Argonauta argo",2.77803979041028,0.0687717239198642,0.500065631996491
"Argonauta nodosus",1.74109797924799,0.100304885680282,0.444491217911405
"Argyropelecus aculeatus",1.68311866984355,0.109884274313756,0.841177800826606
"Argyropelecus olfersii",1.97490772453378,0.0879693791807599,0.759731568098875
"Arnoglossus imperialis",2.95439822313399,0.0599815112173624,0.843008555060385
"Ateleopus natalensis",13.3488106490233,0.0181441084752163,0.94681268494452
"Atherinopsis californiensis",6.09838378126636,0.0363555883334569,0.82531001977582
"Atlanta peronii",1.60585905475616,0.0559896299204382,1
"Axius stirhynchus",5.40001686237732,0.0153916311884278,0.841473690276954
"Balistes punctatus",2.31521759704951,0.0583284431658351,0.817719444437945
"Barathronus parfaiti",5.51114255394411,0,1
"Bathophilus flemingi",8.63390629331855,0.0230372481335795,0.913341896122662
"Bathyagonus pentacanthus",10.6982645836794,0.0476063468486023,0.89496442103633
"Bathylagoides wesethi",7.92963727743795,0.0851668058762836,0.859175551515747
"Belone belone",16.6221510919748,0.0222358496041477,0.882398975225071
"Benthosema glaciale",4.76479999027014,0.0736038935586767,0.769068343602686
"Berryteuthis anonychus",5.41472852037061,0.0539881723935213,0.606897526662022
"Beryx splendens",3.31717375787226,0.096372301793021,0.786926233530097
"Blennius ocellaris",4.27898298111615,0.128342694057521,0.794358354390595
"Boops boops",4.6049216738429,0.0729212876457039,0.817281480481137
"Brachioteuthis riisei",6.88338765892976,0.0672648224495483,0.645379956290468
"Brachyscelus crusculum",4.25470332127997,0.117075714794915,0.778255217418605
"Brama brama",2.83664382008211,0.0478158503032996,0.757359497010879
"Brama orcini",2.65651997711393,0.0628232329953204,0.692844722207276
"Bregmaceros mcclellandi",6.39146003196012,0.0409421713537944,0.911375302229822
"Calanus finmarchicus",4.41728752798318,0,0.677102832890904
"Canthidermis maculata",3.07111547875522,0.0462861369896785,0.830266635429824
"Capros aper",2.2884468276774,0.114707019421275,0.761140992517296
"Carinaria lamarckii",4.27872275311848,0,1
"Centrolophus niger",4.21282623849809,0.0392637426586238,0.798607587415024
"Ceratias tentaculatus",2.87649927478139,0.016449969931753,0.716383849548678
"Ceratoscopelus maderensis",6.06699915722744,0.0821437739952277,0.769065335336972
"Ceratoscopelus townsendi",5.81498036971857,0.0788866667037566,0.771725736829658
"Ceratoscopelus warmingii",5.95778808142091,0.0724484697762948,0.755350796135803
"Chelophyes appendiculata",4.10585429301604,0,1
"Chiasmodon niger",7.12672753263239,0.0396079535991368,0.835047279971112
"Chilara taylori",6.88167236075799,0.0412058946597092,1
"Chiroteuthis veranii",11.6644740226409,0.0586785201725694,0.271312387273858
"Chlorophthalmus agassizi",6.81360990942104,0.108228867341122,0.82346975625736
"Chromis punctipinnis",3.12502130748632,0.0579942294591556,0.768342147826665
"Chtenopteryx sicula",4.00770390564239,0.0953678953034641,0.494758846292766
"Citharichthys sordidus",2.93052140880576,0.069999433867943,0.837175390427177
"Clausocalanus furcatus",4.03446365232285,0,0.673972171989902
"Clupea pallasii",5.20221713727506,0.0561951864483175,0.825122567585587
"Cololabis saira",8.49401274727012,0.0318175447821097,0.893821207124173
"Cookeolus japonicus",3.1977366407454,0.0920740252315363,0.780618531163437
"Coryphaena hippurus",5.51641012123528,0.0235684456096152,0.780066691479545
"Cosmocalanus darwinii",3.94692871790111,0.0228536608832302,0.600942881883198
"Cranchia scabra",2.48701521305014,0.071597931105658,0.720488112559805
"Cubiceps capensis",4.36444781004189,0.0550284965003339,0.846594016997028
"Cubiceps gracilis",4.70501050417852,0.0648165101356274,0.796390424852737
"Cubiceps pauciradiatus",4.56836672675342,0.0741774131177847,0.826186562516286
"Cymatogaster aggregata",3.15000114304272,0.0738456376905071,0.796069697673337
"Dactyloptena orientalis",6.40668171580325,0.08811843850673,0.835581269521768
"Decapterus macarellus",5.21135981976042,0.0534379996856572,0.860141523125019
"Decapterus macrosoma",5.91040197007838,0.0599157525191535,0.8611871294407
"Desmodema polystictum",8.33741098344183,0.0331874830787504,1
"Diaphus effulgens",3.80107485115547,0.24434932875668,2.47667187636059
"Diaphus lucidus",5.55089427775088,0.0519066044562339,0.797003410114818
"Diaphus luetkeni",5.05257815836263,0.0808503759301906,0.851724865175762
"Diaphus ostenfeldi",4.7674860998262,0.0623316940455414,0.789517673191642
"Diaphus perspicillatus",5.10726879170806,0.0735945023970887,0.810870167624793
"Diaphus theta",5.15876325040132,0.0696944354281764,0.778387809129909
"Diplodus sargus",2.63511927228258,0.0749142729997986,0.775717974240165
"Diplospinus multistriatus",15.823188860179,0.0354008522630266,0.919496686185104
"Diretmus argenteus",1.61586696177017,0.177904491377918,0.848252449000288
"Doryteuthis opalescens",6.3168634731471,0.0786422429115184,0.652230196750622
"Dosidicus gigas",6.12184249318679,0.0326599143341147,0.583018236731316
"Echinosquilla guerinii",5.05842312885701,0.040512385831237,0.765909652814434
"Electrona risso",3.54334752444828,0.128149897723071,0.830229110553092
"Eledone cirrhosa",4.53636848852893,0.036985363042043,0.298527350690224
"Engraulis capensis",5.44691662214013,0.0652579846829429,1.1066477173981
"Engraulis encrasicolus",6.72879463123401,0.0483216472803161,0.849129133329125
"Engraulis japonicus",6.26684961558926,0.0537760888707213,0.843716614900789
"Engraulis mordax",5.94195536299165,0.0507285341763106,0.851299405873863
"Entelurus aequoreus",43.6346062047949,0.011636577001968,1
"Eucleoteuthis luminosa",6.65779074673977,0.0431757062823878,0.617539336090291
"Euphausia pacifica",10.5898904840173,0.0600867421253654,0.839843473229237
"Eusergestes arcticus",8.8580992758633,0.0309819418689772,0.820557585951111
"Eusergestes similis",8.23421273219414,0.0250970751388895,0.832763026335911
"Eutrigla gurnardus",6.40572232260977,0.0602178177136664,0.821775902482851
"Farranula gibbula",3.77559603155814,0.076180969174325,0.789886783462311
