"prey_class","prey_order","prey_family","measure","larva_adult_f","juve_adult_f","larva_adult_o","juve_adult_o","larva_adult_c","juve_adult_c","larva_adult_u","juve_adult_u"
"Actinopterygii","Argentiniformes","Bathylagidae","l_max",18.3359303556639,NA,18.3359303556639,NA,9.15408758669817,42.1173584659917,18.3359303556639,42.1173584659917
"Actinopterygii","Ateleopodiformes","Ateleopodidae","l_max",NA,43,NA,43,9.15408758669817,42.1173584659917,9.15408758669817,43
"Actinopterygii","Atheriniformes","Atherinidae","l_max",5.25055219190287,35.5555555555556,5.25055219190287,35.5555555555556,9.15408758669817,42.1173584659917,5.25055219190287,35.5555555555556
"Actinopterygii","Aulopiformes","Alepisauridae","l_max",NA,NA,10.4054536978785,40.2230160108363,9.15408758669817,42.1173584659917,10.4054536978785,40.2230160108363
"Actinopterygii","Aulopiformes","Anotopteridae","l_max",5.20833333333335,54.2572773972605,10.4054536978785,40.2230160108363,9.15408758669817,42.1173584659917,5.20833333333335,54.2572773972605
"Actinopterygii","Aulopiformes","Chlorothalmidae","l_max",7.5,28.75,10.4054536978785,40.2230160108363,9.15408758669817,42.1173584659917,7.5,28.75
"Actinopterygii","Aulopiformes","Notosudidae","l_max",NA,NA,10.4054536978785,40.2230160108363,9.15408758669817,42.1173584659917,10.4054536978785,40.2230160108363
"Actinopterygii","Aulopiformes","Omosudidae","l_max",7.50888418883229,NA,10.4054536978785,40.2230160108363,9.15408758669817,42.1173584659917,7.50888418883229,40.2230160108363
"Actinopterygii","Aulopiformes","Paralepididae","l_max",10.9322069467605,36.0741393203333,10.4054536978785,40.2230160108363,9.15408758669817,42.1173584659917,10.9322069467605,36.0741393203333
"Actinopterygii","Aulopiformes","Scopelarchidae","l_max",18.2440777760563,NA,10.4054536978785,40.2230160108363,9.15408758669817,42.1173584659917,18.2440777760563,40.2230160108363
"Actinopterygii","Beloniformes","Belonidae","l_max",5.21105964980475,27.536231884058,6.35552982490238,34.762077294686,9.15408758669817,42.1173584659917,5.21105964980475,27.536231884058
"Actinopterygii","Beloniformes","Scomberesocidae","l_max",7.5,38.375,6.35552982490238,34.762077294686,9.15408758669817,42.1173584659917,7.5,38.375
"Actinopterygii","Beryciformes","Berycidae","l_max",2.72307244510636,47.4285714285714,4.99218904124783,47.4285714285714,9.15408758669817,42.1173584659917,2.72307244510636,47.4285714285714
"Actinopterygii","Beryciformes","Diretmidae","l_max",7.26130563738931,NA,4.99218904124783,47.4285714285714,9.15408758669817,42.1173584659917,7.26130563738931,47.4285714285714
"Actinopterygii","Clupeiformes","Clupeidae","l_max",6.86099776355224,40.2357282233451,9.17746695236479,44.273639135296,9.15408758669817,42.1173584659917,6.86099776355224,40.2357282233451
"Actinopterygii","Clupeiformes","Engraulidae","l_max",12.2660925374482,48.3115500472468,9.17746695236479,44.273639135296,9.15408758669817,42.1173584659917,12.2660925374482,48.3115500472468
"Actinopterygii","Gadiformes","Bregmacerotidae","l_max",NA,NA,4.54964248169341,34.4913628905432,9.15408758669817,42.1173584659917,4.54964248169341,34.4913628905432
"Actinopterygii","Gadiformes","Gadidae","l_max",5.26583961010191,21.1528577758086,4.54964248169341,34.4913628905432,9.15408758669817,42.1173584659917,5.26583961010191,21.1528577758086
"Actinopterygii","Gadiformes","Lotidae","l_max",3.07692307692308,41.5384615384615,4.54964248169341,34.4913628905432,9.15408758669817,42.1173584659917,3.07692307692308,41.5384615384615
"Actinopterygii","Gadiformes","Merlucciidae","l_max",4.58996762964676,37.3626373626374,4.54964248169341,34.4913628905432,9.15408758669817,42.1173584659917,4.58996762964676,37.3626373626374
"Actinopterygii","Gadiformes","Moridae","l_max",NA,51.25,4.54964248169341,34.4913628905432,9.15408758669817,42.1173584659917,4.54964248169341,51.25
"Actinopterygii","Lampriformes","Trachipteridae","l_max",2.32579518206717,60,2.32579518206717,60,9.15408758669817,42.1173584659917,2.32579518206717,60
"Actinopterygii","Lophiiformes","Ceratiidae","l_max",NA,NA,NA,NA,9.15408758669817,42.1173584659917,9.15408758669817,42.1173584659917
"Actinopterygii","Myctophiformes","Myctophidae","l_max",17.3397107607587,55.0321262222587,17.3397107607587,55.0321262222587,9.15408758669817,42.1173584659917,17.3397107607587,55.0321262222587
"Actinopterygii","Ophidiiformes","Aphyonidae","l_max",NA,NA,17.3267326732673,NA,9.15408758669817,42.1173584659917,17.3267326732673,42.1173584659917
"Actinopterygii","Ophidiiformes","Ophdiidae","l_max",17.3267326732673,NA,17.3267326732673,NA,9.15408758669817,42.1173584659917,17.3267326732673,42.1173584659917
"Actinopterygii","Osmeriformes","Microstomatidae","l_max",NA,NA,12.7168836124561,47.0588235294118,9.15408758669817,42.1173584659917,12.7168836124561,47.0588235294118
"Actinopterygii","Osmeriformes","Opisthoproctidae","l_max",NA,NA,12.7168836124561,47.0588235294118,9.15408758669817,42.1173584659917,12.7168836124561,47.0588235294118
"Actinopterygii","Osmeriformes","Osmeridae","l_max",12.7168836124561,47.0588235294118,12.7168836124561,47.0588235294118,9.15408758669817,42.1173584659917,12.7168836124561,47.0588235294118
"Actinopterygii","Perciformes","Ammodytidae","l_max",11.5,32.4999999999999,4.87857020853057,36.7942330347152,9.15408758669817,42.1173584659917,11.5,32.4999999999999
"Actinopterygii","Perciformes","Anarhichadidae","l_max",3.41666666666667,20.8333333333333,4.87857020853057,36.7942330347152,9.15408758669817,42.1173584659917,3.41666666666667,20.8333333333333
"Actinopterygii","Perciformes","Blenniidae","l_max",NA,48.65,4.87857020853057,36.7942330347152,9.15408758669817,42.1173584659917,4.87857020853057,48.65
