dendlabs,prey_class,prey_order,prey_family,prey_sp,prey_age_reported_1,life_stage,vert_habitat,horz_habitat,diel_migrant_cat,season_cat,gregarious,prob.clust.num
1,Malacostraca,Decapoda,Acanthephyridae,Acanthephyra pelagica,adult,adult,mesopelagic,oceanic,diel (yes),season (yes),schooling,1
6,Actinopterygii,Aulopiformes,Paralepididae,Arctozenus risso,none,adult,mesopelagic,oceanic,diel (yes),season (yes),solitary,1
14,Actinopterygii,Myctophiformes,Myctophidae,Benthosema glaciale,none,adult,mesopelagic,oceanic,diel (yes),season (yes),schooling,1
20,Hexanauplia,Calanoida,Calanidae,Calanus finmarchicus,none,adult,epipelagic,oceanic,diel (yes),season (yes),schooling,1
22,Actinopterygii,Myctophiformes,Myctophidae,Ceratoscopelus maderensis,adult,adult,mesopelagic,oceanic,diel (yes),season (yes),schooling,1
24,Actinopterygii,Myctophiformes,Myctophidae,Ceratoscopelus warmingii,none,adult,mesopelagic,oceanic,diel (yes),season (yes),schooling,1
36,Actinopterygii,Myctophiformes,Myctophidae,Diaphus lucidus,none,adult,mesopelagic,oceanic,diel (yes),season (yes),schooling,1
37,Actinopterygii,Myctophiformes,Myctophidae,Diaphus ostenfeldi,none,adult,mesopelagic,oceanic,diel (yes),season (yes),schooling,1
38,Actinopterygii,Myctophiformes,Myctophidae,Diaphus perspicillatus,none,adult,mesopelagic,oceanic,diel (yes),season (yes),schooling,1
39,Actinopterygii,Myctophiformes,Myctophidae,Diaphus theta,none,adult,mesopelagic,oceanic,diel (yes),season (yes),schooling,1
45,Actinopterygii,Clupeiformes,Engraulidae,Engraulis capensis,none,adult,epipelagic,coastal,diel (yes),season (yes),schooling,1
52,Malacostraca,Decapoda,Sergestidae,Eusergestes similis,adult,adult,epipelagic,oceanic,diel (yes),season (yes),schooling,1
67,Actinopterygii,Myctophiformes,Myctophidae,Hygophum hygomii,none,adult,mesopelagic,oceanic,diel (yes),season (yes),schooling,1
68,Malacostraca,Amphipoda,Hyperiidae,Hyperia galba,none,adult,epipelagic,oceanic,diel (yes),season (yes),schooling,1
70,Cephalopoda,Oegopsida,Ommastrephidae,Illex argentinus,adult,adult,epipelagic,continental slope,diel (yes),season (yes),schooling,1
76,Actinopterygii,Myctophiformes,Myctophidae,Lampanyctodes hectoris,none,adult,mesopelagic,oceanic,diel (yes),season (yes),schooling,1
77,Actinopterygii,Myctophiformes,Myctophidae,Lampanyctus alatus,adult,adult,mesopelagic,oceanic,diel (yes),season (yes),schooling,1
78,Actinopterygii,Myctophiformes,Myctophidae,Lampanyctus crocodilus,adult,adult,bathypelagic,oceanic,diel (yes),season (yes),schooling,1
79,Actinopterygii,Myctophiformes,Myctophidae,Lampanyctus intricarius,adult,adult,mesopelagic,oceanic,diel (yes),season (yes),schooling,1
81,Malacostraca,Amphipoda,Oxyccephalidae,Leptocotis tenuirostris,none,adult,epipelagic,oceanic,diel (yes),season (yes),schooling,1
83,Actinopterygii,Argentiniformes,Bathylagidae,Leuroglossus stilbius,none,adult,mesopelagic,oceanic,diel (yes),season (yes),schooling,1
84,Actinopterygii,Myctophiformes,Myctophidae,Lobianchia gemellarii,adult,adult,mesopelagic,oceanic,diel (yes),season (yes),schooling,1
90,Actinopterygii,Stomiiformes,Sternoptychidae,Maurolicus imperatorius,none,adult,mesopelagic,oceanic,diel (yes),season (yes),schooling,1
101,Actinopterygii,Myctophiformes,Myctophidae,Myctophum asperum,none,adult,mesopelagic,oceanic,diel (yes),season (yes),schooling,1
102,Actinopterygii,Myctophiformes,Myctophidae,Myctophum punctatum,adult,adult,mesopelagic,oceanic,diel (yes),season (yes),schooling,1
106,Malacostraca,Euphausiacea,Euphausiidae,Nyctiphanes australis,none,adult,epipelagic,coastal,diel (yes),season (yes),schooling,1
141,Actinopterygii,Myctophiformes,Myctophidae,Symbolophorus barnardi,none,adult,mesopelagic,oceanic,diel (yes),season (yes),schooling,1
142,Actinopterygii,Myctophiformes,Myctophidae,Symbolophorus evermanni,none,adult,mesopelagic,oceanic,diel (yes),season (yes),schooling,1
143,Malacostraca,Decapoda,Oplophpridae,Systellaspis debilis,none,adult,mesopelagic,oceanic,diel (yes),season (yes),schooling,1
147,Malacostraca,Amphipoda,Hyperiidae,Themisto gaudichaudii,none,adult,epipelagic,oceanic,diel (yes),season (yes),schooling,1
155,Actinopterygii,Myctophiformes,Myctophidae,Triphoturus mexicanus,none,adult,mesopelagic,oceanic,diel (yes),season (yes),schooling,1
2,Malacostraca,Decapoda,Alpheidae,Alpheus glaber,none,adult,benthic,coastal,diel (yes),season (no),schooling,2
9,Actinopterygii,Stomiiformes,Sternoptychidae,Argyropelecus aculeatus,none,adult,mesopelagic,oceanic,diel (yes),season (no),solitary,2
12,Gastropoda,Littorinimorpha,Atlantidae,Atlanta peronii,none,adult,epipelagic,oceanic,diel (yes),season (no),solitary,2
18,Malacostraca,Amphipoda,Brachyscelidae,Brachyscelus crusculum,adult,adult,epipelagic,continental shelf,diel (yes),season (no),schooling,2
33,Actinopterygii,Perciformes,Nomeidae,Cubiceps pauciradiatus,none,adult,mesopelagic,oceanic,diel (yes),season (no),schooling,2
