"prey_sp","prey_age_reported_1","maxl_type","maxFO","maxN","maxM","maxL"
"Eledone cirrhosa","none","NO",8,0.16,0,0
"Engraulis capensis","none","NO",10,3.8,4.4,0
"Engraulis encrasicolus","juvenile","NO",29.2,0,20,0
"Engraulis encrasicolus","none","NO",25.9259259259259,1.5,4.6,130
"Engraulis japonicus","juvenile","NO",85.4,52.8,95.2,0
"Engraulis mordax","juvenile","NO",12.75,0,2,0
"Engraulis mordax","juvenile","PB",53,27,23,34.7
"Engraulis mordax","juvenile","SL",69.7,34.938768479977,0,47
"Engraulis mordax","juvenile","TL",26.5,40.4,0,40
"Engraulis mordax","none","NO",15.4,1.2,0.974789506390964,0
"Entelurus aequoreus","none","NO",41,0,35,0
"Eucleoteuthis luminosa","none","NO",4.9,1.3,1.9,0
"Euphausia pacifica","adult","NO",38.9,43.1,0,0
"Eusergestes arcticus","adult","NO",52,0,0,0
"Eusergestes arcticus","juvenile","NO",3.7037037037037,0,0,0
"Eusergestes similis","adult","NO",45,76.5,0,0
"Eusergestes similis","none","PB",0,0,0,36
"Eutrigla gurnardus","none","NO",4,0,0,0
"Funchalia taaningi","none","NO",1.6,0.2,0.3,0
"Funchalia woodwardi","none","NO",0.7,0.1,0.1,0
"Gaidropsarus vulgaris","none","NO",8,0,0,0
"Galiteuthis armata","none","NO",54.2857142857143,0,0,0
"Galiteuthis phyllura","none","NO",0,0,0,0
"Gempylus serpens","none","NO",5.2,0.7487653338,0.5,0
"Gennadas elegans","juvenile","NO",4,0,0,0
"Glyptocephalus zachirus","none","NO",0,0,0,0
"Gonatopsis borealis","juvenile","NO",12.5,1.7,0.3,0
"Gonatopsis borealis","none","NO",28.8,15.8,10.8,0
"Gonatus berryi","none","NO",1.5,0.1,0.1,0
"Gonatus californiensis","juvenile","PB",0,0,0,1.2
"Gonatus onyx","juvenile","PB",1,0,0,1.5
"Gonatus pyros","juvenile","NO",0,0,0.1,0
"Gonatus steenstrupi","none","ML",20,2,0,108
"Gonatus steenstrupi","none","NO",23.5,3.5,0.3,0
"Grimalditeuthis bonplandi","none","NO",0.5,0,0,0
"Halichoeres nicholsi","none","NO",0,0,0,0
"Haliphron atlanticus","none","NO",5,0,0,0
"Helicocranchia pfefferi","none","NO",7.40740740740741,0,0,0
"Helicolenus dactylopterus","none","NO",16,0,0,0
"Heterocarpus laevigatus","none","NO",3.2,0.3,0.1,0
"Heteroteuthis dispar","adult","ML",58.1,88.2,0,25.8
"Heteroteuthis dispar","adult","NO",66,65,3.68,0
