"","dendlabs","prey_class","prey_order","prey_family","prey_sp","life_stage","vert_habitat","horz_habitat","diel_migrant_cat","season_cat","gregarious","maxFO","maxN","maxM","prob.clust.num.aggl"
"162","162","Actinopterygii","Tetraodontiformes","Ostraciidae","Ostracion cubicus","juvenile","epipelagic","oceanic","diel (no)","season (no)","non-schooling",1.6,0.2,0,4
"163","163","Actinopterygii","Tetraodontiformes","Tetraodontidae","Lagocephalus lagocephalus","juvenile","epipelagic","coastal","diel (no)","season (yes)","non-schooling",1.6,0,0,5
"164","164","Cephalopoda","Decapodiformes","Chtenopterygidae","Chtenopteryx sicula","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",33.3333333333333,0,0,1
"165","165","Cephalopoda","Myopsida","Loliginidae","Alloteuthis subulata","juvenile","demersal","continental shelf","diel (yes)","season (yes)","schooling",1,0.43,0.08,1
"166","166","Cephalopoda","Myopsida","Loliginidae","Doryteuthis opalescens","juvenile","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",13.4,6.04437643458301,22.6638560235899,1
"167","167","Cephalopoda","Octopoda","Alloposidae","Haliphron atlanticus","juvenile","epipelagic","continental shelf","diel (yes)","season (no)","non-schooling",5,0,0,2
"168","168","Cephalopoda","Octopoda","Argonautidae","Argonauta argo","juvenile","epipelagic","oceanic","diel (no)","season (yes)","schooling",13.11,2.37,1.6,1
"169","169","Cephalopoda","Octopoda","Argonautidae","Argonauta nodosus","juvenile","epipelagic","oceanic","diel (no)","season (yes)","schooling",5,0,0.1,1
"170","170","Cephalopoda","Octopoda","Argonautidae","Argonauta nouryi","juvenile","epipelagic","oceanic","diel (no)","season (yes)","schooling",0.5,0.1,0,1
"171","171","Cephalopoda","Octopoda","Eledonidae","Eledone cirrhosa","juvenile","demersal","continental shelf","diel (yes)","season (no)","non-schooling",8,0.16,0,2
"172","172","Cephalopoda","Octopoda","Octopodidae","Octopus bimaculatus","juvenile","epipelagic","coastal","diel (no)","season (yes)","schooling",15.9,1.8362662586075,0.182773032448306,1
"173","173","Cephalopoda","Octopoda","Octopodidae","Octopus vulgaris","juvenile","epipelagic","coastal","diel (no)","season (yes)","schooling",16.6666666666667,0,0,1
"174","174","Cephalopoda","Octopoda","Octopodidae","Pteroctopus tetracirrhus","juvenile","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",24,3.4,0,1
"175","175","Cephalopoda","Octopoda","Octopodidae","Scaeurgus unicirrhus","juvenile","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",5,1.6,0,1
"176","176","Cephalopoda","Octopoda","Opisthoteuthidae","Opisthoteuthis californiana","juvenile","mesopelagic","continental shelf","diel (yes)","season (no)","non-schooling",0.5,0.1,0,2
"177","177","Cephalopoda","Octopoda","Tremoctopodidae","Tremoctopus gracilis","juvenile","epipelagic","oceanic","diel (no)","season (yes)","non-schooling",3.2,0.1,1.5,5
"178","178","Cephalopoda","Octopoda","Tremoctopodidae","Tremoctopus violaceus","juvenile","epipelagic","oceanic","diel (no)","season (yes)","non-schooling",21.31,7.42,0,5
"179","179","Cephalopoda","Oegopsida","Ancistrocheiridae","Ancistrocheirus lesueurii","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","schooling",7,0.4,0.5,1
"180","180","Cephalopoda","Oegopsida","Brachioteuthidae","Brachioteuthis riisei","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",29.6296296296296,0,0,1
"181","181","Cephalopoda","Oegopsida","Chiroteuthidae","Chiroteuthis veranii","juvenile","epipelagic","oceanic","diel (yes)","season (no)","schooling",36.06,8.69,0,3
"182","182","Cephalopoda","Oegopsida","Chiroteuthidae","Grimalditeuthis bonplandi","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling",0.5,0,0,3
"183","183","Cephalopoda","Oegopsida","Cranchiidae","Cranchia scabra","juvenile","epipelagic","oceanic","diel (no)","season (no)","non-schooling",1.1,0.1,0,4
"184","184","Cephalopoda","Oegopsida","Cranchiidae","Galiteuthis armata","juvenile","epipelagic","oceanic","diel (yes)","season (no)","non-schooling",54.2857142857143,0,0,2
"185","185","Cephalopoda","Oegopsida","Cranchiidae","Galiteuthis phyllura","juvenile","epipelagic","oceanic","diel (no)","season (no)","non-schooling",0,0,0,4
"186","186","Cephalopoda","Oegopsida","Cranchiidae","Helicocranchia pfefferi","adult","mesopelagic","oceanic","diel (no)","season (no)","non-schooling",7.40740740740741,0,0,6
"187","187","Cephalopoda","Oegopsida","Cranchiidae","Liocranchia reinhardtii","juvenile","epipelagic","oceanic","diel (yes)","season (no)","non-schooling",1.85185185185185,0,0,2
"188","188","Cephalopoda","Oegopsida","Cranchiidae","Teuthowenia megalops","juvenile","epipelagic","oceanic","diel (yes)","season (no)","non-schooling",16.6666666666667,0.1,0,2
"189","189","Cephalopoda","Oegopsida","Enoploteuthidae","Abralia redfieldi","adult","epipelagic","oceanic","diel (yes)","season (yes)","schooling",5,0,0,1
"190","190","Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis affinis","adult","epipelagic","oceanic","diel (yes)","season (no)","schooling",1.16279069767442,0.0765110941086457,0.00609243441494352,3
"191","191","Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis felis","adult","epipelagic","oceanic","diel (yes)","season (yes)","schooling",36.4,11.3,2.13235204523023,1
"192","192","Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis gilchristi","adult","mesopelagic","continental shelf","diel (yes)","season (yes)","schooling",0.7,0.2,0.1,1
"193","193","Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis morisii","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",4.9,3.4,3.4,1
"194","194","Cephalopoda","Oegopsida","Gonatidae","Berryteuthis anonychus","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",38.5,9,0,1
"195","195","Cephalopoda","Oegopsida","Gonatidae","Gonatopsis borealis","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling",28.8,15.8,10.8,3
"196","196","Cephalopoda","Oegopsida","Gonatidae","Gonatus berryi","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",1.5,0.1,0.1,1
"197","197","Cephalopoda","Oegopsida","Gonatidae","Gonatus californiensis","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",0,0,0,1
"198","198","Cephalopoda","Oegopsida","Gonatidae","Gonatus onyx","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",1,0,0,1
"199","199","Cephalopoda","Oegopsida","Gonatidae","Gonatus pyros","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",0,0,0.1,1
"200","200","Cephalopoda","Oegopsida","Gonatidae","Gonatus steenstrupi","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",23.5,3.5,0.3,1
"201","201","Cephalopoda","Oegopsida","Histioteuthidae","Histioteuthis bonnellii","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling",63.2,38.4,0,3
"202","202","Cephalopoda","Oegopsida","Histioteuthidae","Histioteuthis heteropsis","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling",1.5,0.1,0,3
"203","203","Cephalopoda","Oegopsida","Histioteuthidae","Histioteuthis meleagroteuthis","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling",0.5,0,0,3
"204","204","Cephalopoda","Oegopsida","Histioteuthidae","Histioteuthis reversa","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling",28,2.05,0.86,3
"205","205","Cephalopoda","Oegopsida","Histioteuthidae","Stigmatoteuthis dofleini","juvenile","mesopelagic","oceanic","diel (no)","season (no)","schooling",2.2,0.6,0.5,6
"206","206","Cephalopoda","Oegopsida","Histioteuthidae","Stigmatoteuthis hoylei","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling",1.6,0.6,1.1,3
"207","207","Cephalopoda","Oegopsida","Lycoteuthidae","Lycoteuthis lorigera","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling",32.8,17.3,25.8,3
"208","208","Cephalopoda","Oegopsida","Mastigoteuthidae","Mastigoteuthis dentata","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","non-schooling",22.5,1.8,0.2,2
"209","209","Cephalopoda","Oegopsida","Octopoteuthidae","Octopoteuthis nielseni","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","non-schooling",0.332225913621262,0,0,2
"210","210","Cephalopoda","Oegopsida","Octopoteuthidae","Octopoteuthis rugosa","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","non-schooling",1,0.1,0.2,2
"211","211","Cephalopoda","Oegopsida","Octopoteuthidae","Octopoteuthis sicula","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","non-schooling",32.7,2.37,0.609243441494352,2
"212","212","Cephalopoda","Oegopsida","Octopoteuthidae","Taningia danae","juvenile","epipelagic","oceanic","diel (yes)","season (no)","non-schooling",3.3,0.2,0,2
"213","213","Cephalopoda","Oegopsida","Ocythoidae","Ocythoe tuberculata","juvenile","epipelagic","oceanic","diel (no)","season (yes)","non-schooling",17.2,0.7,0.6,5
"214","214","Cephalopoda","Oegopsida","Ommastrephidae","Dosidicus gigas","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",1.16279069767442,0.1,3.35083892821894,1
"215","215","Cephalopoda","Oegopsida","Ommastrephidae","Eucleoteuthis luminosa","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","schooling",4.9,1.3,1.9,1
"216","216","Cephalopoda","Oegopsida","Ommastrephidae","Hyaloteuthis pelagica","juvenile","epipelagic","oceanic","diel (yes)","season (no)","schooling",2.9,0,0.5,3
"217","217","Cephalopoda","Oegopsida","Ommastrephidae","Illex argentinus","juvenile","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",12,0,0,1
"218","218","Cephalopoda","Oegopsida","Ommastrephidae","Illex coindetii","juvenile","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",10.3,2.13,3.3,1
"219","219","Cephalopoda","Oegopsida","Ommastrephidae","Ommastrephes bartramii","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","schooling",5,1.6,6.2,1
"220","220","Cephalopoda","Oegopsida","Ommastrephidae","Ornithoteuthis antillarum","juvenile","mesopelagic","continental shelf","diel (yes)","season (no)","schooling",12,0,0,3
"221","221","Cephalopoda","Oegopsida","Ommastrephidae","Ornithoteuthis volatilis","juvenile","mesopelagic","continental shelf","diel (yes)","season (yes)","schooling",20.7,3.3,2.8,1
"222","222","Cephalopoda","Oegopsida","Ommastrephidae","Sthenoteuthis oualaniensis","juvenile","mesopelagic","oceanic","diel (no)","season (yes)","schooling",17.9,7,8.5,1
"223","223","Cephalopoda","Oegopsida","Ommastrephidae","Todarodes pacificus","juvenile","demersal","continental shelf","diel (yes)","season (yes)","schooling",1.5,0.2,0.4,1
"224","224","Cephalopoda","Oegopsida","Ommastrephidae","Todarodes sagittatus","juvenile","demersal","continental shelf","diel (yes)","season (yes)","schooling",73.7,39.5,0.3,1
"225","225","Cephalopoda","Oegopsida","Ommastrephidae","Todaropsis eblanae","juvenile","demersal","continental shelf","diel (yes)","season (yes)","schooling",2.777777778,0,13.64,1
"226","226","Cephalopoda","Oegopsida","Onychoteuthidae","Ancistroteuthis lichtensteinii","juvenile","demersal","continental shelf","diel (yes)","season (yes)","schooling",33,4.9,0.71,1
"227","227","Cephalopoda","Oegopsida","Onychoteuthidae","Onychoteuthis banksii","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","schooling",83.3333333333333,12.32,5.5,1
"228","228","Cephalopoda","Oegopsida","Onychoteuthidae","Onychoteuthis borealijaponica","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","schooling",58.5,13.4,3.3,1
"229","229","Cephalopoda","Oegopsida","Onychoteuthidae","Onykia loennbergii","juvenile","mesopelagic","continental shelf","diel (yes)","season (yes)","non-schooling",0.5,0,0.3,2
"230","230","Cephalopoda","Oegopsida","Onychoteuthidae","Onykia robusta","juvenile","mesopelagic","continental shelf","diel (yes)","season (yes)","non-schooling",6,0.5,0.3,2
"231","231","Cephalopoda","Oegopsida","Onychoteuthidae","Walvisteuthis rancureli","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",26.6,8.6,11.3,1
"232","232","Cephalopoda","Oegopsida","Pyroteuthidae","Pterygioteuthis giardi","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",1.63,0.16,0,1
"233","233","Cephalopoda","Oegopsida","Pyroteuthidae","Pterygioteuthis microlampas","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",0.332225913621262,0,0,1
"234","234","Cephalopoda","Oegopsida","Pyroteuthidae","Pyroteuthis margaritifera","adult","mesopelagic","oceanic","diel (yes)","season (no)","schooling",1.63,0.16,0,3
"235","235","Cephalopoda","Oegopsida","Thysanoteuthidae","Thysanoteuthis rhombus","juvenile","epipelagic","oceanic","diel (no)","season (yes)","non-schooling",1.6,0,0.6,5
"236","236","Cephalopoda","Sepiida","Sepiolidae","Heteroteuthis dispar","adult","mesopelagic","continental shelf","diel (yes)","season (no)","non-schooling",66,88.2,3.68,2
"237","237","Cephalopoda","Sepiida","Sepiolidae","Sepietta oweniana","adult","demersal","continental shelf","diel (yes)","season (yes)","schooling",2.85714285714286,0,0,1
"238","238","Cephalopoda","Spirulida","Spirulidae","Spirula spirula","adult","mesopelagic","continental shelf","diel (yes)","season (no)","schooling",0.7,0.1,0,3
"239","239","Cephalopoda","Vampyromorpha","Vampyroteuthidae","Vampyroteuthis infernalis","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","non-schooling",0.5,0.1,0,2
"240","240","Gastropoda","Caenogastropoda","Epitoniodea","Janthina exigua","adult","epipelagic","oceanic","diel (no)","season (no)","non-schooling",5.71428571428571,0,0,4
"241","241","Gastropoda","Littorinimorpha","Atlantidae","Atlanta peronii","adult","epipelagic","oceanic","diel (yes)","season (no)","non-schooling",1.85185185185185,0,0,2
"242","242","Gastropoda","Littorinimorpha","Carinariidae","Carinaria lamarckii","adult","epipelagic","oceanic","diel (yes)","season (yes)","non-schooling",34.2857142857143,0,0,2
"243","243","Gastropoda","Pteropoda","Cavoliniidae","Cavolinia tridentata","adult","epipelagic","oceanic","diel (yes)","season (yes)","schooling",10,0,0.1,1
"244","244","Gastropoda","Pteropoda","Cliidae","Clio pyramidata","adult","epipelagic","oceanic","diel (yes)","season (yes)","schooling",11.1111111111111,0,0,1
"245","245","Hexanauplia","Calanoida","Calanidae","Calanus finmarchicus","adult","epipelagic","oceanic","diel (yes)","season (yes)","schooling",3.7037037037037,0,0,1
"246","246","Hydrozoa","Siphonophorae","Diphyidae","Chelophyes appendiculata","adult","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",16,0,0,1
"247","247","Malacostraca","Amphipoda","Brachyscelidae","Brachyscelus crusculum","adult","epipelagic","continental shelf","diel (yes)","season (no)","schooling",92.5925925925926,6.2,2.2,3
"248","248","Malacostraca","Amphipoda","Cyphocarididae","Cyphocaris faurei","adult","mesopelagic","continental shelf","diel (yes)","season (no)","schooling",1.6,0.1,0,3
"249","249","Malacostraca","Amphipoda","Eupronoidae","Parapronoe crustulum","adult","epipelagic","continental shelf","diel (yes)","season (no)","schooling",1.5,0.2,0.1,3
"250","250","Malacostraca","Amphipoda","Hyperiidae","Hyperia galba","adult","epipelagic","oceanic","diel (yes)","season (yes)","schooling",5.71428571428571,0,0,1
"251","251","Malacostraca","Amphipoda","Hyperiidae","Themisto gaudichaudii","adult","epipelagic","oceanic","diel (yes)","season (yes)","schooling",54.3,5.1,27.3,1
"252","252","Malacostraca","Amphipoda","Lanceolidae","Lanceola sayana","adult","mesopelagic","oceanic","diel (yes)","season (no)","schooling",1.85185185185185,0,0,3
"253","253","Malacostraca","Amphipoda","Oxyccephalidae","Leptocotis tenuirostris","adult","epipelagic","oceanic","diel (yes)","season (yes)","schooling",2.1,0.1,0.1,1
"254","254","Malacostraca","Amphipoda","Oxyccephalidae","Streetsia challengeri","adult","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",40,0.19,0.05,1
"255","255","Malacostraca","Amphipoda","Phrosinidae","Anchylomera blossevillei","adult","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",4.2,1.65,3.3,1
"256","256","Malacostraca","Amphipoda","Phrosinidae","Phrosina semilunata","adult","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",65,4.2,6.5,1
"257","257","Malacostraca","Amphipoda","Phrosinidae","Primno macropa","adult","epipelagic","oceanic","diel (yes)","season (no)","schooling",2.85714285714286,0.49,0.24,3
"258","258","Malacostraca","Amphipoda","Platyscelidae","Platyscelus armatus","adult","epipelagic","continental shelf","diel (yes)","season (no)","schooling",0,0,0,3
"259","259","Malacostraca","Amphipoda","Platyscelidae","Platyscelus ovoides","adult","epipelagic","continental shelf","diel (yes)","season (no)","schooling",9.25925925925926,1.1,1.3,3
"260","260","Malacostraca","Amphipoda","Platyscelidae","Platyscelus serratulus","adult","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",1.85185185185185,0.06,0.08,1
"261","261","Malacostraca","Amphipoda","Vibiliidae","Vibilia gibbosa","adult","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",0.8620689655,0.24,0.05,1
"262","262","Malacostraca","Decapoda","Acanthephyridae","Acanthephyra pelagica","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",38.8888888888889,0,0,1
"263","263","Malacostraca","Decapoda","Alpheidae","Alpheus glaber","larva","epipelagic","coastal","diel (yes)","season (no)","schooling",11.1111111111111,0,0,3
"264","264","Malacostraca","Decapoda","Axiidae","Axius stirhynchus","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling",4,0,0,1
"265","265","Malacostraca","Decapoda","Benthesicymidae","Gennadas elegans","juvenile","demersal","continental shelf","diel (yes)","season (no)","schooling",4,0,0,1
"266","266","Malacostraca","Decapoda","Munididae","Pleuroncodes planipes","juvenile","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",27.75,1.3,23.3,1
"267","267","Malacostraca","Decapoda","Oplophoroidae","Janicella spinicauda","adult","mesopelagic","continental shelf","diel (yes)","season (no)","schooling",2.2,0.5,0.1,3
"268","268","Malacostraca","Decapoda","Oplophoroidae","Oplophorus typus","adult","mesopelagic","continental shelf","diel (yes)","season (no)","schooling",3.2,0.5,0.3,3
"269","269","Malacostraca","Decapoda","Oplophpridae","Systellaspis debilis","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",8,0,0,1
"270","270","Malacostraca","Decapoda","Palinuridae","Palinurus mauritanicus","larva","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",8,0,0,1
"271","271","Malacostraca","Decapoda","Pandalidae","Heterocarpus laevigatus","juvenile","demersal","continental shelf","diel (yes)","season (yes)","schooling",3.2,0.3,0.1,1
"272","272","Malacostraca","Decapoda","Pasiphaeidae","Parapasiphae sulcatifrons","adult","mesopelagic","oceanic","diel (yes)","season (no)","schooling",4,0,0,3
"273","273","Malacostraca","Decapoda","Penaeidae","Funchalia taaningi","adult","mesopelagic","continental shelf","diel (yes)","season (no)","schooling",1.6,0.2,0.3,3
"274","274","Malacostraca","Decapoda","Penaeidae","Funchalia woodwardi","adult","mesopelagic","continental shelf","diel (yes)","season (no)","schooling",0.7,0.1,0.1,3
"275","275","Malacostraca","Decapoda","Polybiidae","Polybius henslowii","larva","epipelagic","continental shelf","diel (no)","season (no)","schooling",51.4285714285714,0,1,3
"276","276","Malacostraca","Decapoda","Scyllaridae","Parribacus antarcticus","larva","epipelagic","coastal","diel (yes)","season (no)","schooling",0.5,0.1,0,3
"277","277","Malacostraca","Decapoda","Scyllaridae","Scyllarus arctus","larva","epipelagic","coastal","diel (yes)","season (yes)","schooling",20.7,0,4.1,1
"278","278","Malacostraca","Decapoda","Sergestidae","Eusergestes arcticus","adult","demersal","continental shelf","diel (yes)","season (yes)","schooling",52,0,0,1
"279","279","Malacostraca","Decapoda","Sergestidae","Eusergestes similis","adult","epipelagic","oceanic","diel (yes)","season (yes)","schooling",45,76.5,0,1
"280","280","Malacostraca","Decapoda","Sergestidae","Robustosergia robusta","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",2.85714285714286,0,0,1
"281","281","Malacostraca","Euphausiacea","Euphausiidae","Euphausia pacifica","adult","epipelagic","oceanic","diel (yes)","season (yes)","schooling",38.9,43.1,0,1
"282","282","Malacostraca","Euphausiacea","Euphausiidae","Meganyctiphanes norvegica","adult","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",89.7,7.3,84.3,1
"283","283","Malacostraca","Euphausiacea","Euphausiidae","Nematoscelis megalops","adult","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",80,0.61,4.2,1
"284","284","Malacostraca","Euphausiacea","Euphausiidae","Nyctiphanes australis","adult","epipelagic","coastal","diel (yes)","season (yes)","schooling",27.9,0,20.4,1
"285","285","Malacostraca","Euphausiacea","Euphausiidae","Stylocheiron abbreviatum","adult","epipelagic","coastal","diel (no)","season (yes)","schooling",16.6666666666667,0,0,1
"286","286","Malacostraca","Isopoda","Idoteidae","Idotea metallica","adult","epipelagic","continental shelf","diel (no)","season (yes)","schooling",3.7037037037037,0,0,1
"287","287","Malacostraca","Lophogastrida","Gnathophausiidae","Neognathophausia gigas","adult","mesopelagic","oceanic","diel (yes)","season (no)","schooling",0.7,0.1,0,3
"288","288","Malacostraca","Lophogastrida","Gnathophausiidae","Neognathophausia ingens","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling",11.1111111111111,0,0,3
"289","289","Malacostraca","Stomatopoda","Lysiosquillidae","Lysiosquilla tredecimdentata","juvenile","epipelagic","coastal","diel (yes)","season (no)","schooling",7.9,0.9,0.7,3
"290","290","Malacostraca","Stomatopoda","Odontodacylidae","Odontodactylus scyllarus","juvenile","epipelagic","continental shelf","diel (yes)","season (no)","schooling",27,5.1,2.4,3
"291","291","Thaliacea","Salpida","Salpidae","Salpa maxima","adult","epipelagic","oceanic","diel (yes)","season (yes)","schooling",4.8,1.9,1.3,1
"292","292","Thaliacea","Salpida","Salpidae","Soestia zonaria","adult","epipelagic","coastal","diel (yes)","season (yes)","schooling",8.57142857142857,0,0,1
