"prey_sp","prey_age_reported_1","maxl_type","maxL (cm)","maxGape (cm)","life_stage","life_note"
"Sebastes wilsoni","juvenile","PB",1.3,7.97988,"juvenile","Based on life stage reported by Glaser (2010), but could also be larvae"
"Sebastes zacentrus","juvenile","PB",1.93,7.97988,"juvenile","Based on life stage reported by Glaser (2010), but could also be larvae"
"Selene setapinnis","none","NO",0,10.0703,"juvenile",NA
"Sepietta oweniana","none","NO",0,7.75767,"adult",NA
"Soestia zonaria","none","NO",0,7.75767,"adult",NA
"Spirula spirula","none","NO",0,9.61765,"adult",NA
"Spondyliosoma cantharus","none","NO",0,7.75767,"juvenile",NA
"Stenobrachius leucopsarus","adult","PB",5.98,7.97988,"adult","Glaser (2010) reported age, length info"
"Stenobrachius leucopsarus","none","NO",0,7.38732,"adult","Glaser (2010) reported age, length info"
"Sternoptyx diaphana","none","NO",0,10.0703,"adult",NA
"Sternoptyx obscura","adult","NO",0,7.38732,"adult",NA
"Sthenoteuthis oualaniensis","none","NO",0,9.61765,"juvenile",NA
"Stigmatoteuthis dofleini","none","NO",0,9.61765,"juvenile",NA
"Stigmatoteuthis hoylei","none","NO",0,9.61765,"juvenile",NA
"Streetsia challengeri","none","NO",0,9.52712,"adult",NA
"Strongylura exilis","adult","NO",0,7.38732,"juvenile","Can eat larvae based on size"
"Stylocheiron abbreviatum","none","NO",0,7.75767,"adult",NA
"Sudis hyalina","adult","NO",0,9.52712,"juvenile","Consoli et al. (2008) reported"
"Symbolophorus barnardi","none","NO",0,9.61765,"juvenile",NA
"Symbolophorus evermanni","none","NO",0,9.61765,"adult",NA
"Syngnathus californiensis","none","NO",0,7.97988,"juvenile","Most likely juvenile / young-of-year"
"Systellaspis debilis","none","NO",0,7.75767,"adult",NA
"Taningia danae","none","NO",0,9.61765,"juvenile","Most likely juvenile / young-of-year"
"Taractes asper","none","NO",0,7.38732,"juvenile",NA
"Tarletonbeania crenularis","adult","NO",7.48,7.97988,"adult","Glaser (2010) reported adults, McHugh (1952) - post-larvae"
"Tarletonbeania crenularis","larva","NO",0,7.38732,"adult","Glaser (2010) reported adults, McHugh (1952) - post-larvae"
"Tarletonbeania crenularis","none","NO",0,7.38732,"adult","Glaser (2010) reported adults, McHugh (1952) - post-larvae"
"Tetragonurus atlanticus","none","NO",0,7.75767,"juvenile","Could explain tunicates in albacore diets?"
"Tetragonurus cuvieri","none","NO",0,7.38732,"juvenile","Could explain tunicates in albacore diets?"
"Teuthowenia megalops","none","ML",12.9,7.75767,"juvenile","Pusineri et al. (2005) reported 20 cm total lengths, and juvenile sizes"
"Teuthowenia megalops","none","NO",0,7.75767,"juvenile","Pusineri et al. (2005) reported 20 cm total lengths, and juvenile sizes"
"Thaleichthys pacificus","none","NO",0,7.38732,"juvenile",NA
"Themisto gaudichaudii","adult","NO",0,7.75767,"adult",NA
"Themisto gaudichaudii","none","NO",0,7.75767,"adult",NA
"Themisto gaudichaudii","none","TL",1.8,7.75767,"adult",NA
"Thyrsitoides marleyi","none","NO",0,9.61765,"juvenile","Based on size and other traits"
"Thysanoteuthis rhombus","none","NO",0,9.61765,"juvenile","Most likely juvenile / young-of-year"
"Todarodes pacificus","none","NO",0,7.0256938,"juvenile",NA
"Todarodes sagittatus","juvenile","NO",0,7.1075,"juvenile","Bello et al. (1999) reported juveniles"
"Todarodes sagittatus","none","NO",0,7.83997,"juvenile","Bello et al. (1999) reported juveniles"
"Todaropsis eblanae","none","NO",0,9.20615,"juvenile",NA
"Trachinotus ovatus","none","NO",0,7.75767,"juvenile",NA
"Trachipterus trachypterus","none","NO",0,7.38732,"juvenile",NA
"Trachurus japonicus","none","NO",0,6.2649949,"juvenile",NA
"Trachurus symmetricus","juvenile","NO",0,7.38732,"juvenile",NA
"Trachurus symmetricus","juvenile","TL",0,7.97988,"juvenile",NA
"Trachurus symmetricus","none","NO",0,7.38732,"juvenile",NA
"Trachurus symmetricus","none","PB",6.47,7.97988,"juvenile",NA
"Trachurus trachurus","none","NO",12,7.75767,"juvenile",NA
"Tremoctopus gracilis","none","NO",0,9.61765,"juvenile","Most likely juvenile / young-of-year"
"Tremoctopus violaceus","none","NO",0,9.15677,"juvenile","Most likely juvenile / young-of-year"
"Triphoturus mexicanus","none","NO",0,7.97988,"adult",NA
"Vampyroteuthis infernalis","none","NO",0,7.38732,"juvenile",NA
"Vampyroteuthis infernalis","none","PB",0.28,7.97988,"juvenile",NA
"Vibilia gibbosa","none","NO",0,9.52712,"adult",NA
"Vinciguerria lucetia","juvenile","NO",0,7.38732,"juvenile","McHugh (1952) reported juveniles"
"Vinciguerria lucetia","none","NO",0,7.38732,"juvenile","McHugh (1952) reported juveniles"
"Walvisteuthis rancureli","none","NO",0,9.61765,"juvenile",NA
