"prey_sp","prey_age_reported_1","maxl_type","maxL (cm)","maxGape (cm)","life_stage","life_note"
"Cymatogaster aggregata","none","NO",0,7.38732,"adult",NA
"Cyphocaris faurei","none","NO",0,9.61765,"adult",NA
"Dactyloptena orientalis","none","NO",0,9.61765,"juvenile",NA
"Decapterus macarellus","none","NO",0,9.61765,"juvenile",NA
"Decapterus macrosoma","none","NO",0,9.61765,"juvenile",NA
"Desmodema polystictum","none","NO",0,7.38732,"juvenile",NA
"Diacria trispinosa","none","NO",0,9.61765,"adult",NA
"Diaphus effulgens","none","NO",0,9.61765,"juvenile",NA
"Diaphus lucidus","none","NO",0,9.61765,"juvenile",NA
"Diaphus luetkeni","adult","NO",0,7.75767,"adult","Bouxin & Legendre reported age"
"Diaphus ostenfeldi","none","NO",0,9.61765,"adult",NA
"Diaphus perspicillatus","none","NO",0,9.61765,"adult","Based on diel migration, could be juvenile."
"Diaphus theta","adult","PB",6.6,7.97988,"adult","Glaser (2010) reported, Based on diel migration, could be juvenile."
"Diaphus theta","none","NO",0,7.38732,"adult","Glaser (2010) reported, Based on diel migration, could be juvenile."
"Diplodus sargus","none","NO",0,7.75767,"juvenile",NA
"Diplospinus multistriatus","none","SL",15.1,10.0703,"juvenile","We've noted that there are pelagic eggs and larvae"
"Diretmus argenteus","none","NO",0,9.61765,"juvenile",NA
"Doryteuthis opalescens","juvenile","PB",0.06,7.97988,"juvenile","Glaser (2010)"
"Doryteuthis opalescens","none","NO",0,7.97988,"juvenile","Glaser (2010)"
"Dosidicus gigas","none","ML",0,7.97988,"juvenile","Most likely juvenile / young-of-year"
"Dosidicus gigas","none","NO",0,7.38732,"juvenile","Most likely juvenile / young-of-year"
"Echinosquilla guerinii","none","NO",0,7.2721,"juvenile","Most likely juvenile / young-of-year"
"Electrona risso","adult","NO",0,7.75767,"adult","Bouxin & Legendre reported age"
"Electrona risso","none","NO",0,9.61765,"adult","Bouxin & Legendre reported age"
"Eledone cirrhosa","none","NO",0,7.83997,"juvenile",NA
"Engraulis capensis","none","NO",0,9.61765,"juvenile",NA
"Engraulis encrasicolus","juvenile","NO",0,7.9305,"juvenile","Goni et al. (2011) reported juvenile life stage"
"Engraulis encrasicolus","none","NO",13,7.75767,"juvenile","Goni et al. (2011) reported juvenile life stage"
"Engraulis japonicus","juvenile","NO",0,7.0256938,"juvenile","Watanabe et al. (2004) repoted juvenile primarily consumed, secondary was the adult life stage."
"Engraulis mordax","juvenile","NO",0,7.38732,"juvenile","McHugh (1952), Pinkas et al. (1971), Glaser (2010) and Bernard et al. (1985) all reported juvenile life stage consumed"
"Engraulis mordax","juvenile","PB",3.47,7.97988,"juvenile","McHugh (1952), Pinkas et al. (1971), Glaser (2010) and Bernard et al. (1985) all reported juvenile life stage consumed"
"Engraulis mordax","juvenile","SL",4.7,7.46139,"juvenile","McHugh (1952), Pinkas et al. (1971), Glaser (2010) and Bernard et al. (1985) all reported juvenile life stage consumed"
