"","prey_sp","vertical.habitat","horizontal.habitat","diel.migrant","refuge.use","seasonal.migrant","gregarious","adult.clust.num"
"Macroramphosus_scolopax","Macroramphosus_scolopax","demersal","continental shelf","diel (yes)","refuge (yes)","season (yes)","schooling","5"
"Maurolicus_muelleri","Maurolicus_muelleri","mesopelagic","continental shelf","diel (yes)","refuge (no)","season (yes)","schooling","1"
"Medialuna_californiensis","Medialuna_californiensis","demersal","reef-associated","diel (no)","refuge (yes)","season (yes)","schooling","8"
"Meganyctiphanes_norvegica","Meganyctiphanes_norvegica","epipelagic","continental shelf","diel (yes)","refuge (no)","season (yes)","schooling","1"
"Merluccius_productus","Merluccius_productus","demersal","continental shelf","diel (yes)","refuge (no)","season (yes)","schooling","1"
"Microgadus_proximus","Microgadus_proximus","demersal","continental shelf","diel (yes)","refuge (yes)","season (yes)","schooling","5"
"Micromesistius_poutassou","Micromesistius_poutassou","mesopelagic","oceanic","diel (yes)","refuge (no)","season (yes)","schooling","2"
"Mullus_barbatus_barbatus","Mullus_barbatus_barbatus","demersal","continental shelf","diel (no)","refuge (yes)","season (yes)","schooling","8"
"Myctophum_asperum","Myctophum_asperum","mesopelagic","oceanic","diel (yes)","refuge (no)","season (yes)","schooling","2"
"Myctophum_punctatum","Myctophum_punctatum","mesopelagic","oceanic","diel (yes)","refuge (no)","season (yes)","schooling","2"
"Nannobrachium_regale","Nannobrachium_regale","mesopelagic","oceanic","diel (yes)","refuge (no)","season (yes)","schooling","2"
"Nannobrachium_ritteri","Nannobrachium_ritteri","mesopelagic","oceanic","diel (yes)","refuge (no)","season (yes)","schooling","2"
"Nyctiphanes_australis","Nyctiphanes_australis","epipelagic","coastal","diel (yes)","refuge (no)","season (yes)","schooling","1"
"Ocythoe_tuberculata","Ocythoe_tuberculata","epipelagic","oceanic","diel (no)","refuge (no)","season (yes)","solitary","6"
"Ommastrephes_bartramii","Ommastrephes_bartramii","epipelagic","oceanic","diel (yes)","refuge (no)","season (yes)","schooling","1"
"Onychoteuthis_borealijaponica","Onychoteuthis_borealijaponica","epipelagic","oceanic","diel (yes)","refuge (no)","season (yes)","schooling","1"
"Ornithoteuthis_antillarum","Ornithoteuthis_antillarum","mesopelagic","oceanic","diel (yes)","refuge (no)","season (no)","schooling","2"
"Ostracion_cubicus","Ostracion_cubicus","demersal","reef-associated","diel (no)","refuge (yes)","season (no)","solitary","9"
"Palinurus_mauritanicus","Palinurus_mauritanicus","benthic","continental shelf","diel (no)","refuge (yes)","season (yes)","solitary","3"
"Parapronoe_crustulum","Parapronoe_crustulum","epipelagic","continental shelf","diel (yes)","refuge (no)","season (no)","schooling","7"
"Phrosina_semilunata","Phrosina_semilunata","epipelagic","continental shelf","diel (yes)","refuge (no)","season (yes)","schooling","1"
"Platyscelus_serratulus","Platyscelus_serratulus","epipelagic","continental shelf","diel (yes)","refuge (no)","season (yes)","schooling","1"
"Pleuroncodes_planipes","Pleuroncodes_planipes","demersal","continental shelf","diel (yes)","refuge (yes)","season (yes)","schooling","5"
"Pteroctopus_tetracirrhus","Pteroctopus_tetracirrhus","benthic","continental shelf","diel (yes)","refuge (yes)","season (yes)","solitary","3"
"Sardina_pilchardus","Sardina_pilchardus","epipelagic","coastal","diel (yes)","refuge (no)","season (yes)","schooling","1"
"Sardinops_sagax","Sardinops_sagax","epipelagic","coastal","diel (yes)","refuge (no)","season (yes)","schooling","1"
"Scaeurgus_unicirrhus","Scaeurgus_unicirrhus","benthic","continental shelf","diel (yes)","refuge (yes)","season (yes)","solitary","3"
"Scomber_japonicus","Scomber_japonicus","epipelagic","continental shelf","diel (yes)","refuge (no)","season (yes)","schooling","1"
"Scomber_scombrus","Scomber_scombrus","epipelagic","continental shelf","diel (yes)","refuge (no)","season (yes)","schooling","1"
"Scyllarus_arctus","Scyllarus_arctus","benthic","reef-associated","diel (yes)","refuge (yes)","season (yes)","solitary","3"
"Sebastes_brevispinis","Sebastes_brevispinis","demersal","continental shelf","diel (no)","refuge (yes)","season (yes)","schooling","8"
"Sebastes_diploproa","Sebastes_diploproa","demersal","continental shelf","diel (no)","refuge (yes)","season (yes)","schooling","8"
"Sebastes_proriger","Sebastes_proriger","demersal","continental shelf","diel (no)","refuge (yes)","season (yes)","schooling","8"
"Sebastes_wilsoni","Sebastes_wilsoni","demersal","continental shelf","diel (yes)","refuge (yes)","season (yes)","schooling","5"
"Spondyliosoma_cantharus","Spondyliosoma_cantharus","demersal","coastal","diel (no)","refuge (yes)","season (yes)","schooling","8"
"Streetsia_challengeri","Streetsia_challengeri","epipelagic","continental shelf","diel (yes)","refuge (no)","season (yes)","schooling","1"
"Stylocheiron_abbreviatum","Stylocheiron_abbreviatum","epipelagic","coastal","diel (no)","refuge (no)","season (yes)","schooling","1"
"Symbolophorus_barnardi","Symbolophorus_barnardi","mesopelagic","oceanic","diel (yes)","refuge (no)","season (yes)","schooling","2"
"Systellaspis_debilis","Systellaspis_debilis","mesopelagic","oceanic","diel (yes)","refuge (no)","season (yes)","schooling","2"
"Tetragonurus_atlanticus","Tetragonurus_atlanticus","mesopelagic","oceanic","diel (yes)","refuge (no)","season (yes)","schooling","2"
"Thaleichthys_pacificus","Thaleichthys_pacificus","epipelagic","coastal","diel (yes)","refuge (no)","season (yes)","schooling","1"
"Themisto_gaudichaudii","Themisto_gaudichaudii","epipelagic","oceanic","diel (yes)","refuge (no)","season (yes)","schooling","1"
"Thysanoteuthis_rhombus","Thysanoteuthis_rhombus","mesopelagic","oceanic","diel (yes)","refuge (no)","season (yes)","solitary","2"
"Todarodes_pacificus","Todarodes_pacificus","demersal","oceanic","diel (yes)","refuge (no)","season (yes)","schooling","1"
"Todarodes_sagittatus","Todarodes_sagittatus","demersal","continental shelf","diel (yes)","refuge (no)","season (yes)","schooling","1"
"Todaropsis_eblanae","Todaropsis_eblanae","demersal","continental shelf","diel (yes)","refuge (yes)","season (yes)","schooling","5"
"Trachinotus_ovatus","Trachinotus_ovatus","epipelagic","coastal","diel (no)","refuge (no)","season (yes)","schooling","1"
"Trachurus_japonicus","Trachurus_japonicus","epipelagic","coastal","diel (yes)","refuge (no)","season (yes)","schooling","1"
"Trachurus_symmetricus","Trachurus_symmetricus","epipelagic","oceanic","diel (yes)","refuge (no)","season (yes)","schooling","1"
"Trachurus_trachurus","Trachurus_trachurus","epipelagic","coastal","diel (yes)","refuge (no)","season (yes)","schooling","1"
"Triphoturus_mexicanus","Triphoturus_mexicanus","mesopelagic","oceanic","diel (yes)","refuge (no)","season (yes)","schooling","2"
"Vinciguerria_lucetia","Vinciguerria_lucetia","mesopelagic","oceanic","diel (yes)","refuge (no)","season (yes)","schooling","2"
