dendlabs,prey_class,prey_order,prey_family,prey_sp,prey_age_reported_1,life_stage,vert_habitat,horz_habitat,diel_migrant_cat,refuge_cat,season_cat,gregarious,prob.clust.num
4,Cephalopoda,Oegopsida,Onychoteuthidae,Ancistroteuthis lichtensteinii,none,juvenile,demersal,continental shelf,diel (yes),refuge (no),season (yes),schooling,3
19,Actinopterygii,Perciformes,Bramidae,Brama brama,none,juvenile,epipelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,3
25,Hydrozoa,Siphonophorae,Diphyidae,Chelophyes appendiculata,none,adult,epipelagic,continental shelf,diel (yes),refuge (no),season (yes),schooling,3
27,Actinopterygii,Perciformes,Pomacentridae,Chromis punctipinnis,none,juvenile,epipelagic,coastal,diel (yes),refuge (yes),season (yes),schooling,3
28,Actinopterygii,Pleuronectiformes,Paralichthyidae,Citharichthys sordidus,none,juvenile,demersal,continental shelf,diel (yes),refuge (yes),season (yes),schooling,3
29,Actinopterygii,Clupeiformes,Clupeidae,Clupea pallasii,none,juvenile,epipelagic,coastal,diel (yes),refuge (no),season (yes),schooling,3
42,Cephalopoda,Myopsida,Loliginidae,Doryteuthis opalescens,none,juvenile,epipelagic,continental shelf,diel (yes),refuge (no),season (yes),schooling,3
45,Actinopterygii,Clupeiformes,Engraulidae,Engraulis capensis,none,adult,epipelagic,coastal,diel (yes),refuge (no),season (yes),schooling,3
46,Actinopterygii,Clupeiformes,Engraulidae,Engraulis encrasicolus,juvenile,juvenile,epipelagic,coastal,diel (yes),refuge (no),season (yes),schooling,3
48,Actinopterygii,Clupeiformes,Engraulidae,Engraulis mordax,juvenile,juvenile,epipelagic,coastal,diel (yes),refuge (no),season (yes),schooling,3
51,Malacostraca,Decapoda,Sergestidae,Eusergestes arcticus,adult,adult,demersal,continental shelf,diel (yes),refuge (yes),season (yes),schooling,3
70,Cephalopoda,Oegopsida,Ommastrephidae,Illex argentinus,adult,adult,epipelagic,continental slope,diel (yes),refuge (no),season (yes),schooling,3
74,Actinopterygii,Perciformes,Scombridae,Katsuwonus pelamis,none,juvenile,epipelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,3
82,Actinopterygii,Aulopiformes,Paralepididae,Lestidiops sphyrenoides,none,juvenile,epipelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,3
87,Actinopterygii,Sygnathiformes,Centriscidae,Macroramphosus scolopax,none,adult,demersal,continental shelf,diel (yes),refuge (yes),season (yes),schooling,3
88,Actinopterygii,Perciformes,Istiophoridae,Makaira mazara,none,juvenile,epipelagic,oceanic,diel (yes),refuge (no),season (yes),solitary,3
93,Malacostraca,Euphausiacea,Euphausiidae,Meganyctiphanes norvegica,none,adult,epipelagic,continental shelf,diel (yes),refuge (no),season (yes),schooling,3
95,Actinopterygii,Gadiformes,Merlucciidae,Merluccius productus,none,juvenile,demersal,continental shelf,diel (yes),refuge (no),season (yes),schooling,3
96,Actinopterygii,Gadiformes,Gadidae,Microgadus proximus,none,adult,demersal,continental shelf,diel (yes),refuge (yes),season (yes),schooling,3
98,Actinopterygii,Pleuronectiformes,Pleutonectidae,Microstomus pacificus,none,juvenile,demersal,continental shelf,diel (yes),refuge (yes),season (yes),schooling,3
